"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"PA","prot_pseaac",0.959,0.511,0.952,0.964,0.958,0.43,0.161,0.92,0.561,0.976,0.507,0.981,0.507,0.561,0.533,0.042,0.024,0.047,0.769
"PB1","cds_compbias",0.961,0.537,0.955,0.967,0.958,0.139,0.322,0.953,0.578,0.978,0.537,0.981,0.537,0.578,0.557,0.042,0.024,0.045,0.778
"PB1","nuc_2mer",0.959,0.491,0.953,0.965,0.958,0.401,1,0.944,0.513,0.978,0.511,0.979,0.511,0.513,0.512,0.042,0.022,0.042,0.746
"PB1","nuc_3mer",0.962,0.535,0.956,0.968,0.958,0.071,1,0.947,0.556,0.98,0.553,0.981,0.553,0.556,0.555,0.042,0.023,0.042,0.768
"PB1","nuc_4mer",0.962,0.537,0.956,0.968,0.958,0.071,0.877,0.955,0.561,0.98,0.553,0.981,0.553,0.561,0.557,0.042,0.024,0.043,0.771
"PB1","nuc_5mer",0.961,0.534,0.955,0.966,0.958,0.196,0.174,0.948,0.583,0.977,0.529,0.982,0.529,0.583,0.555,0.042,0.025,0.046,0.78
"PB1","nuc_6mer",0.962,0.549,0.955,0.967,0.958,0.123,0.092,0.951,0.604,0.977,0.538,0.983,0.538,0.604,0.569,0.042,0.025,0.047,0.791
"PB1","prot_2mer",0.954,0.53,0.947,0.96,0.958,0.915,0,0.949,0.679,0.966,0.467,0.986,0.467,0.679,0.553,0.042,0.029,0.061,0.823
"PB1","prot_ctdc",0.945,0.461,0.938,0.952,0.958,1,0,0.915,0.62,0.96,0.403,0.983,0.403,0.62,0.488,0.042,0.026,0.065,0.79
"PB1","prot_ctdd",0.957,0.519,0.951,0.963,0.958,0.607,0.005,0.933,0.599,0.973,0.493,0.982,0.493,0.599,0.541,0.042,0.025,0.051,0.786
"PB1","prot_ctdt",0.957,0.521,0.95,0.962,0.958,0.689,0.001,0.942,0.615,0.972,0.487,0.983,0.487,0.615,0.544,0.042,0.026,0.053,0.793
"PB1","prot_ctriad",0.94,0.468,0.933,0.947,0.958,1,0,0.946,0.701,0.951,0.385,0.986,0.385,0.701,0.497,0.042,0.029,0.076,0.826
"PB1","prot_pseaac",0.962,0.539,0.956,0.967,0.958,0.094,0.538,0.929,0.572,0.979,0.546,0.981,0.546,0.572,0.559,0.042,0.024,0.044,0.776
"PB2","cds_compbias",0.969,0.596,0.963,0.974,0.958,0,0.148,0.958,0.583,0.986,0.645,0.982,0.645,0.583,0.612,0.042,0.025,0.038,0.784
"PB2","nuc_2mer",0.964,0.517,0.958,0.969,0.958,0.026,0.04,0.934,0.497,0.984,0.581,0.978,0.581,0.497,0.536,0.042,0.021,0.036,0.741
"PB2","nuc_3mer",0.966,0.57,0.961,0.971,0.958,0.002,0.462,0.956,0.572,0.984,0.605,0.981,0.605,0.572,0.588,0.042,0.024,0.04,0.778
"PB2","nuc_4mer",0.971,0.62,0.965,0.976,0.958,0,0.136,0.96,0.604,0.987,0.669,0.983,0.669,0.604,0.635,0.042,0.025,0.038,0.796
"PB2","nuc_5mer",0.967,0.582,0.962,0.972,0.958,0.001,0.456,0.959,0.583,0.984,0.616,0.982,0.616,0.583,0.599,0.042,0.025,0.04,0.783
"PB2","nuc_6mer",0.963,0.571,0.957,0.968,0.958,0.044,0.051,0.957,0.631,0.978,0.554,0.984,0.554,0.631,0.59,0.042,0.027,0.048,0.804
"PB2","prot_2mer",0.964,0.599,0.958,0.969,0.958,0.022,0.001,0.957,0.69,0.976,0.558,0.986,0.558,0.69,0.617,0.042,0.029,0.052,0.833
"PB2","prot_ctdc",0.959,0.541,0.953,0.965,0.958,0.372,0.002,0.942,0.626,0.974,0.511,0.983,0.511,0.626,0.562,0.042,0.026,0.051,0.8
"PB2","prot_ctdd",0.963,0.577,0.957,0.968,0.958,0.052,0.008,0.958,0.652,0.977,0.55,0.985,0.55,0.652,0.597,0.042,0.027,0.05,0.814
"PB2","prot_ctdt",0.967,0.591,0.961,0.972,0.958,0.002,0.623,0.942,0.62,0.982,0.598,0.983,0.598,0.62,0.609,0.042,0.026,0.044,0.801
"PB2","prot_ctriad",0.962,0.582,0.956,0.968,0.958,0.082,0,0.952,0.679,0.975,0.54,0.986,0.54,0.679,0.602,0.042,0.029,0.053,0.827
"PB2","prot_pseaac",0.965,0.575,0.959,0.97,0.958,0.008,0.63,0.951,0.604,0.981,0.582,0.983,0.582,0.604,0.593,0.042,0.025,0.044,0.793
