"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"HA","cds_compbias",0.969,0.615,0.963,0.974,0.958,0,0.865,0.959,0.636,0.983,0.626,0.984,0.626,0.636,0.631,0.042,0.027,0.043,0.81
"HA","nuc_2mer",0.965,0.575,0.96,0.971,0.958,0.006,0.809,0.947,0.599,0.981,0.586,0.982,0.586,0.599,0.593,0.042,0.025,0.043,0.79
"HA","nuc_3mer",0.965,0.58,0.959,0.97,0.958,0.01,0.298,0.959,0.62,0.98,0.577,0.983,0.577,0.62,0.598,0.042,0.026,0.045,0.8
"HA","nuc_4mer",0.97,0.632,0.964,0.974,0.958,0,0.491,0.966,0.663,0.983,0.633,0.985,0.633,0.663,0.648,0.042,0.028,0.044,0.823
"HA","nuc_5mer",0.967,0.614,0.962,0.972,0.958,0.001,0.135,0.965,0.663,0.981,0.602,0.985,0.602,0.663,0.631,0.042,0.028,0.046,0.822
"HA","nuc_6mer",0.967,0.618,0.961,0.972,0.958,0.002,0.005,0.966,0.695,0.978,0.586,0.987,0.586,0.695,0.636,0.042,0.029,0.05,0.837
"HA","prot_2mer",0.961,0.579,0.955,0.966,0.958,0.196,0,0.964,0.701,0.972,0.524,0.987,0.524,0.701,0.6,0.042,0.029,0.056,0.836
"HA","prot_ctdc",0.969,0.624,0.963,0.974,0.958,0,0.444,0.96,0.658,0.983,0.624,0.985,0.624,0.658,0.641,0.042,0.028,0.044,0.82
"HA","prot_ctdd",0.968,0.613,0.963,0.973,0.958,0,0.613,0.961,0.642,0.983,0.619,0.984,0.619,0.642,0.63,0.042,0.027,0.044,0.812
"HA","prot_ctdt",0.967,0.593,0.961,0.972,0.958,0.002,0.512,0.962,0.626,0.981,0.597,0.984,0.597,0.626,0.611,0.042,0.026,0.044,0.804
"HA","prot_ctriad",0.962,0.596,0.956,0.967,0.958,0.094,0,0.963,0.722,0.973,0.536,0.988,0.536,0.722,0.615,0.042,0.03,0.057,0.847
"HA","prot_pseaac",0.967,0.589,0.961,0.972,0.958,0.001,0.934,0.947,0.61,0.982,0.603,0.983,0.603,0.61,0.606,0.042,0.026,0.042,0.796
"M1","cds_compbias",0.956,0.516,0.95,0.962,0.958,0.74,0.001,0.945,0.61,0.971,0.483,0.983,0.483,0.61,0.539,0.042,0.026,0.053,0.79
"M1","nuc_2mer",0.964,0.548,0.958,0.969,0.958,0.031,1,0.943,0.567,0.981,0.567,0.981,0.567,0.567,0.567,0.042,0.024,0.042,0.774
"M1","nuc_3mer",0.961,0.527,0.955,0.966,0.958,0.196,0.364,0.952,0.567,0.978,0.53,0.981,0.53,0.567,0.548,0.042,0.024,0.045,0.772
"M1","nuc_4mer",0.962,0.553,0.956,0.967,0.958,0.108,0.078,0.956,0.61,0.977,0.54,0.983,0.54,0.61,0.573,0.042,0.026,0.047,0.793
"M1","nuc_5mer",0.96,0.546,0.953,0.965,0.958,0.317,0.002,0.955,0.631,0.974,0.515,0.984,0.515,0.631,0.567,0.042,0.027,0.051,0.802
"M1","nuc_6mer",0.956,0.533,0.95,0.962,0.958,0.715,0,0.953,0.647,0.97,0.486,0.984,0.486,0.647,0.555,0.042,0.027,0.056,0.809
"M1","prot_2mer",0.847,0.272,0.836,0.858,0.958,1,0,0.93,0.861,0.847,0.198,0.993,0.198,0.861,0.321,0.042,0.036,0.183,0.854
"M1","prot_ctdc",0.848,0.265,0.837,0.858,0.958,1,0,0.92,0.834,0.848,0.194,0.991,0.194,0.834,0.315,0.042,0.035,0.181,0.841
"M1","prot_ctdd",0.855,0.276,0.845,0.865,0.958,1,0,0.917,0.829,0.856,0.202,0.991,0.202,0.829,0.325,0.042,0.035,0.172,0.843
"M1","prot_ctdt",0.855,0.272,0.844,0.865,0.958,1,0,0.925,0.818,0.856,0.2,0.991,0.2,0.818,0.321,0.042,0.034,0.172,0.837
"M1","prot_ctriad",0.846,0.276,0.836,0.857,0.958,1,0,0.918,0.882,0.845,0.2,0.994,0.2,0.882,0.326,0.042,0.037,0.186,0.864
"M1","prot_pseaac",0.858,0.276,0.848,0.868,0.958,1,0,0.916,0.813,0.86,0.203,0.991,0.203,0.813,0.325,0.042,0.034,0.168,0.836
"NA","cds_compbias",0.969,0.621,0.963,0.974,0.958,0,0.67,0.958,0.647,0.983,0.627,0.984,0.627,0.647,0.637,0.042,0.027,0.043,0.815
"NA","nuc_2mer",0.967,0.603,0.962,0.972,0.958,0.001,0.456,0.939,0.636,0.982,0.604,0.984,0.604,0.636,0.62,0.042,0.027,0.044,0.809
"NA","nuc_3mer",0.971,0.646,0.966,0.976,0.958,0,1,0.949,0.663,0.985,0.66,0.985,0.66,0.663,0.661,0.042,0.028,0.042,0.824
"NA","nuc_4mer",0.973,0.668,0.968,0.977,0.958,0,0.585,0.96,0.695,0.985,0.67,0.987,0.67,0.695,0.682,0.042,0.029,0.044,0.84
"NA","nuc_5mer",0.969,0.644,0.964,0.974,0.958,0,0.032,0.963,0.706,0.981,0.62,0.987,0.62,0.706,0.66,0.042,0.03,0.048,0.843
"NA","nuc_6mer",0.967,0.63,0.962,0.972,0.958,0.001,0.001,0.959,0.717,0.978,0.59,0.987,0.59,0.717,0.647,0.042,0.03,0.051,0.847
"NA","prot_2mer",0.962,0.583,0.956,0.967,0.958,0.094,0,0.958,0.684,0.974,0.538,0.986,0.538,0.684,0.602,0.042,0.029,0.054,0.829
"NA","prot_ctdc",0.965,0.596,0.959,0.97,0.958,0.012,0.011,0.947,0.668,0.978,0.568,0.985,0.568,0.668,0.614,0.042,0.028,0.049,0.823
"NA","prot_ctdd",0.967,0.599,0.961,0.972,0.958,0.001,0.509,0.959,0.631,0.982,0.602,0.984,0.602,0.631,0.616,0.042,0.027,0.044,0.806
"NA","prot_ctdt",0.967,0.605,0.961,0.972,0.958,0.001,0.162,0.957,0.652,0.981,0.595,0.985,0.595,0.652,0.622,0.042,0.027,0.046,0.816
"NA","prot_ctriad",0.96,0.576,0.954,0.966,0.958,0.218,0,0.951,0.695,0.972,0.522,0.986,0.522,0.695,0.596,0.042,0.029,0.056,0.834
"NA","prot_pseaac",0.968,0.6,0.962,0.973,0.958,0,0.934,0.944,0.62,0.983,0.614,0.983,0.614,0.62,0.617,0.042,0.026,0.042,0.802
"NP","cds_compbias",0.964,0.538,0.958,0.969,0.958,0.031,0.582,0.953,0.545,0.982,0.57,0.98,0.57,0.545,0.557,0.042,0.023,0.04,0.764
"NP","nuc_2mer",0.961,0.523,0.955,0.967,0.958,0.156,0.761,0.937,0.551,0.979,0.536,0.98,0.536,0.551,0.544,0.042,0.023,0.043,0.765
"NP","nuc_3mer",0.963,0.568,0.957,0.969,0.958,0.037,0.117,0.952,0.62,0.978,0.558,0.983,0.558,0.62,0.587,0.042,0.026,0.047,0.799
"NP","nuc_4mer",0.963,0.572,0.957,0.968,0.958,0.061,0.016,0.95,0.642,0.977,0.548,0.984,0.548,0.642,0.591,0.042,0.027,0.049,0.809
"NP","nuc_5mer",0.962,0.565,0.956,0.967,0.958,0.108,0.007,0.953,0.642,0.976,0.538,0.984,0.538,0.642,0.585,0.042,0.027,0.05,0.809
"NP","nuc_6mer",0.961,0.559,0.955,0.966,0.958,0.176,0.003,0.955,0.642,0.975,0.529,0.984,0.529,0.642,0.58,0.042,0.027,0.051,0.808
"NP","prot_2mer",0.92,0.394,0.911,0.927,0.958,1,0,0.945,0.722,0.928,0.306,0.987,0.306,0.722,0.43,0.042,0.03,0.099,0.825
"NP","prot_ctdc",0.918,0.372,0.91,0.926,0.958,1,0,0.922,0.674,0.929,0.294,0.985,0.294,0.674,0.409,0.042,0.028,0.096,0.801
"NP","prot_ctdd",0.925,0.389,0.917,0.932,0.958,1,0,0.934,0.658,0.936,0.312,0.984,0.312,0.658,0.423,0.042,0.028,0.089,0.797
"NP","prot_ctdt",0.926,0.401,0.918,0.934,0.958,1,0,0.938,0.674,0.938,0.321,0.985,0.321,0.674,0.435,0.042,0.028,0.088,0.806
"NP","prot_ctriad",0.916,0.39,0.907,0.924,0.958,1,0,0.929,0.743,0.923,0.299,0.988,0.299,0.743,0.426,0.042,0.031,0.105,0.833
"NP","prot_pseaac",0.931,0.399,0.923,0.938,0.958,1,0,0.924,0.626,0.944,0.33,0.983,0.33,0.626,0.432,0.042,0.026,0.08,0.785
"NS1","cds_compbias",0.968,0.609,0.963,0.973,0.958,0,0.866,0.964,0.631,0.983,0.621,0.984,0.621,0.631,0.626,0.042,0.027,0.043,0.807
"NS1","nuc_2mer",0.966,0.573,0.96,0.971,0.958,0.003,0.745,0.949,0.583,0.983,0.599,0.982,0.599,0.583,0.591,0.042,0.025,0.041,0.783
"NS1","nuc_3mer",0.969,0.617,0.963,0.974,0.958,0,0.932,0.959,0.636,0.984,0.63,0.984,0.63,0.636,0.633,0.042,0.027,0.042,0.81
"NS1","nuc_4mer",0.968,0.613,0.963,0.973,0.958,0,0.613,0.964,0.642,0.983,0.619,0.984,0.619,0.642,0.63,0.042,0.027,0.044,0.812
"NS1","nuc_5mer",0.965,0.588,0.959,0.97,0.958,0.012,0.055,0.962,0.647,0.979,0.571,0.984,0.571,0.647,0.607,0.042,0.027,0.048,0.813
"NS1","nuc_6mer",0.963,0.578,0.957,0.968,0.958,0.061,0.004,0.961,0.658,0.976,0.547,0.985,0.547,0.658,0.597,0.042,0.028,0.051,0.817
"NS1","prot_2mer",0.95,0.523,0.943,0.956,0.958,0.996,0,0.952,0.722,0.96,0.441,0.987,0.441,0.722,0.548,0.042,0.03,0.069,0.841
"NS1","prot_ctdc",0.952,0.506,0.945,0.958,0.958,0.978,0,0.949,0.647,0.965,0.45,0.984,0.45,0.647,0.531,0.042,0.027,0.06,0.806
"NS1","prot_ctdd",0.96,0.555,0.954,0.966,0.958,0.241,0.002,0.959,0.642,0.974,0.522,0.984,0.522,0.642,0.576,0.042,0.027,0.052,0.808
"NS1","prot_ctdt",0.96,0.558,0.954,0.965,0.958,0.29,0,0.958,0.658,0.973,0.517,0.985,0.517,0.658,0.579,0.042,0.028,0.054,0.815
"NS1","prot_ctriad",0.949,0.506,0.942,0.955,0.958,0.998,0,0.946,0.69,0.96,0.433,0.986,0.433,0.69,0.532,0.042,0.029,0.067,0.825
"NS1","prot_pseaac",0.959,0.548,0.953,0.965,0.958,0.401,0,0.95,0.647,0.973,0.508,0.984,0.508,0.647,0.569,0.042,0.027,0.054,0.81
"PA","cds_compbias",0.969,0.572,0.963,0.973,0.958,0,0.005,0.954,0.535,0.988,0.654,0.98,0.654,0.535,0.588,0.042,0.022,0.034,0.761
"PA","nuc_2mer",0.964,0.535,0.958,0.969,0.958,0.026,0.344,0.93,0.535,0.983,0.575,0.98,0.575,0.535,0.554,0.042,0.022,0.039,0.759
"PA","nuc_3mer",0.968,0.569,0.962,0.973,0.958,0,0.019,0.954,0.54,0.987,0.639,0.98,0.639,0.54,0.586,0.042,0.023,0.036,0.763
"PA","nuc_4mer",0.964,0.54,0.959,0.97,0.958,0.015,0.233,0.95,0.535,0.983,0.585,0.98,0.585,0.535,0.559,0.042,0.022,0.038,0.759
"PA","nuc_5mer",0.963,0.545,0.957,0.968,0.958,0.044,0.938,0.954,0.567,0.981,0.561,0.981,0.561,0.567,0.564,0.042,0.024,0.042,0.774
"PA","nuc_6mer",0.962,0.56,0.956,0.968,0.958,0.071,0.089,0.955,0.615,0.978,0.548,0.983,0.548,0.615,0.579,0.042,0.026,0.047,0.796
"PA","prot_2mer",0.954,0.527,0.947,0.96,0.958,0.926,0,0.943,0.674,0.966,0.465,0.985,0.465,0.674,0.55,0.042,0.028,0.061,0.82
"PA","prot_ctdc",0.952,0.474,0.945,0.958,0.958,0.982,0,0.914,0.572,0.968,0.442,0.981,0.442,0.572,0.499,0.042,0.024,0.054,0.77
"PA","prot_ctdd",0.961,0.545,0.955,0.967,0.958,0.139,0.109,0.941,0.599,0.977,0.536,0.982,0.536,0.599,0.566,0.042,0.025,0.047,0.788
"PA","prot_ctdt",0.96,0.53,0.954,0.966,0.958,0.265,0.115,0.937,0.583,0.977,0.522,0.982,0.522,0.583,0.551,0.042,0.025,0.047,0.78
"PA","prot_ctriad",0.953,0.525,0.947,0.959,0.958,0.935,0,0.938,0.674,0.966,0.463,0.985,0.463,0.674,0.549,0.042,0.028,0.061,0.82
