"cluster_set","featset","focgene","subtype","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","nuc_2mer","HA","H7N3","gini",45,4,0.937118304983809,0.59694894482564,0.00962526433990351,0.0610806172593242
"70_7","nuc_2mer","HA","H7N4","gini",5,4,0.94310317353453,0.620946108677735,0.0138421273233623,0.0803355530727884
"70_7","nuc_2mer","HA","H7N4","gini",25,4,0.9397584480063,0.612630390173662,0.0106947790350239,0.0659810072071355
"70_7","nuc_2mer","HA","H7N4","gini",45,4,0.935456784679027,0.604248713437118,0.0103701820121828,0.0650507406726178
"70_7","nuc_2mer","HA","H7N7","gini",5,4,0.946482370047749,0.644208147376561,0.00786269910844416,0.0389252049350895
"70_7","nuc_2mer","HA","H7N7","gini",25,4,0.943170431232702,0.64224759576696,0.0110036202835238,0.0585906064763608
"70_7","nuc_2mer","HA","H7N7","gini",45,4,0.939378956715774,0.6269059267717,0.00899705006398597,0.0507124649131002
"70_7","nuc_2mer","HA","H7N9","gini",5,4,0.974085099006174,0.28068842582606,0.0095153978860739,0.24620847561864
"70_7","nuc_2mer","HA","H7N9","gini",25,4,0.972532040665551,0.329551096903078,0.0101216944911732,0.192722491899976
"70_7","nuc_2mer","HA","H7N9","gini",45,4,0.969945390593661,0.363601778873514,0.00975282338208216,0.145522115079251
"70_7","nuc_2mer","HA","H8N4","gini",5,4,0.950489345959179,0.64768519687562,0.00869929148504694,0.0547534524485505
"70_7","nuc_2mer","HA","H8N4","gini",25,4,0.943890001390627,0.620207681321996,0.0065851849091597,0.0409800884150453
"70_7","nuc_2mer","HA","H8N4","gini",45,4,0.939646927632287,0.609908210265439,0.0068298433654339,0.0319794768302346
"70_7","nuc_2mer","HA","H9N2","gini",5,4,0.956471551371265,0.706618965753194,0.00425446250869315,0.0134970087288052
"70_7","nuc_2mer","HA","H9N2","gini",25,4,0.953033155955792,0.694256906623538,0.00596261739436338,0.00917474188219678
"70_7","nuc_2mer","HA","H9N2","gini",45,4,0.945011870650839,0.661533529107916,0.0155028787191372,0.0427035084346587
"70_7","nuc_3mer","HA","H10N8","gini",5,8,0.945360589625921,0.611576159459209,0.00769361051736311,0.0470398938911591
"70_7","nuc_3mer","HA","H10N8","gini",25,8,0.943948824920039,0.619108654317821,0.00900868212244881,0.0474681161927213
"70_7","nuc_3mer","HA","H10N8","gini",45,8,0.943944374913086,0.62899130806765,0.00772313878867044,0.0437510272096002
"70_7","nuc_3mer","HA","H16N3","gini",5,8,0.950354493660062,0.655473753519181,0.0104398285901183,0.0715397263149057
"70_7","nuc_3mer","HA","H16N3","gini",25,8,0.947991537306816,0.649376875730783,0.00944804335703497,0.0657273884421624
"70_7","nuc_3mer","HA","H16N3","gini",45,8,0.948464345260632,0.656168191776614,0.00824713467299126,0.0493367767126021
"70_7","nuc_3mer","HA","H3N8","gini",5,8,0.949070045543597,0.670591255655399,0.0057180664562361,0.038984532298191
"70_7","nuc_3mer","HA","H3N8","gini",25,8,0.949576368216167,0.678029675506014,0.00558276369772039,0.0394752879412968
"70_7","nuc_3mer","HA","H3N8","gini",45,8,0.949072589878635,0.679081592927939,0.0056902138300782,0.0403086195499676
"70_7","nuc_3mer","HA","H4N6","gini",5,8,0.947133653152412,0.657294761857459,0.0123169103033056,0.0696777304853628
"70_7","nuc_3mer","HA","H4N6","gini",25,8,0.945119805577003,0.654575935374192,0.0118415470849633,0.070900143890178
"70_7","nuc_3mer","HA","H4N6","gini",45,8,0.945624849689252,0.66347437477928,0.0104335445911632,0.0642379205531009
"70_7","nuc_3mer","HA","H4N8","gini",5,8,0.952673859702195,0.674778484582315,0.0107194138220429,0.0588611856585718
"70_7","nuc_3mer","HA","H4N8","gini",25,8,0.953144432119929,0.689002765775689,0.0136515085015823,0.0710102605994747
"70_7","nuc_3mer","HA","H4N8","gini",45,8,0.95077700469452,0.678399688621988,0.0127008364509432,0.0652792770507609
"70_7","nuc_3mer","HA","H5N1","gini",5,8,0.962406015037594,0.722223171962313,0.00831234283297091,0.0579045468488089
"70_7","nuc_3mer","HA","H5N1","gini",25,8,0.959398496240601,0.709234072638901,0.0102420134043622,0.0579927158153734
"70_7","nuc_3mer","HA","H5N1","gini",45,8,0.958395989974937,0.707407942421497,0.0104243781168348,0.0602383721095492
"70_7","nuc_3mer","HA","H5N6","gini",5,8,0.948463235420024,0.655409290041862,0.00634417436566782,0.0427748505483948
"70_7","nuc_3mer","HA","H5N6","gini",25,8,0.945626350702445,0.651276119550313,0.00554510547393866,0.0324123479001635
"70_7","nuc_3mer","HA","H5N6","gini",45,8,0.943268980546925,0.645314437825982,0.00758849072803874,0.0255064449475494
"70_7","nuc_3mer","HA","H7N3","gini",5,8,0.948092151462141,0.639279200884639,0.0101211064861544,0.0599364016926356
"70_7","nuc_3mer","HA","H7N3","gini",25,8,0.945599620352105,0.633362635582135,0.0109933148523621,0.0668664595982927
"70_7","nuc_3mer","HA","H7N3","gini",45,8,0.944599620352105,0.632129185884922,0.0110095862106669,0.0574727227774131
"70_7","nuc_3mer","HA","H7N4","gini",5,8,0.952183810727394,0.678054455137867,0.00995041113347681,0.0667437699329881
"70_7","nuc_3mer","HA","H7N4","gini",25,8,0.95218609458849,0.686127689953193,0.00784886293061665,0.054144619029576
"70_7","nuc_3mer","HA","H7N4","gini",45,8,0.951708767619516,0.685600526616268,0.0079149824349387,0.054244744995688
"70_7","nuc_3mer","HA","H7N7","gini",5,8,0.955006458594458,0.70107666527852,0.00796347138882521,0.0443509077902626
"70_7","nuc_3mer","HA","H7N7","gini",25,8,0.953586893145012,0.7007857428162,0.0100644529675724,0.055885311501764
"70_7","nuc_3mer","HA","H7N7","gini",45,8,0.95358801355553,0.70258487668713,0.011730217068736,0.0662132332217096
"70_7","nuc_3mer","HA","H7N9","gini",5,8,0.975643547519677,0.394270885274385,0.00697048094576907,0.161140732625821
"70_7","nuc_3mer","HA","H7N9","gini",25,8,0.973569655900057,0.372154249614111,0.00667178384271373,0.14914981097207
"70_7","nuc_3mer","HA","H7N9","gini",45,8,0.972016583649311,0.358621546098567,0.00736752923680742,0.144704081973987
"70_7","nuc_3mer","HA","H8N4","gini",5,8,0.950967719082816,0.654380894487811,0.00714568137517951,0.0412115659870836
"70_7","nuc_3mer","HA","H8N4","gini",25,8,0.949552614247894,0.654722863874364,0.00809686141911969,0.0531485002167711
"70_7","nuc_3mer","HA","H8N4","gini",45,8,0.94907869113121,0.661314487599061,0.00638735120917764,0.0466096314230513
"70_7","nuc_3mer","HA","H9N2","gini",5,8,0.957047891936144,0.714660098524944,0.00669034525277609,0.0407257228483492
"70_7","nuc_3mer","HA","H9N2","gini",25,8,0.955330331559558,0.709168997213689,0.00770918207055434,0.0405681860349654
"70_7","nuc_3mer","HA","H9N2","gini",45,8,0.9541841997544,0.703734527449813,0.00832874966226733,0.0439086292054526
"70_7","nuc_4mer","HA","H10N8","gini",5,16,0.951953274926992,0.672891160100278,0.0106095886554199,0.0539036135840955
"70_7","nuc_4mer","HA","H10N8","gini",25,16,0.950068696982339,0.67028007890439,0.00872296306974265,0.049606803421887
"70_7","nuc_4mer","HA","H10N8","gini",45,16,0.949595883743568,0.66755277952831,0.00758412577089347,0.0483761650164848
"70_7","nuc_4mer","HA","H16N3","gini",5,16,0.956023797308013,0.701397602042203,0.0104107010340455,0.0716505888916659
"70_7","nuc_4mer","HA","H16N3","gini",25,16,0.955080395796643,0.699865702237348,0.00917301813949388,0.0612727087706994
"70_7","nuc_4mer","HA","H16N3","gini",45,16,0.954134769319101,0.695504680009997,0.0105339924771836,0.0689591701952793
"70_7","nuc_4mer","HA","H3N8","gini",5,16,0.953104088746406,0.69770279266159,0.00487950793167395,0.0368308301998748
"70_7","nuc_4mer","HA","H3N8","gini",25,16,0.951591481566293,0.695405160630649,0.0054294091732778,0.0409226015640336
"70_7","nuc_4mer","HA","H3N8","gini",45,16,0.953607867083938,0.709666842746378,0.00519981569246936,0.0384547365171902
"70_7","nuc_4mer","HA","H4N6","gini",5,16,0.952670151766389,0.691575532506181,0.00572755996424306,0.0282977329364398
"70_7","nuc_4mer","HA","H4N6","gini",25,16,0.951668923964913,0.697967577987496,0.0112700709810234,0.0591850290010364
"70_7","nuc_4mer","HA","H4N6","gini",45,16,0.951667658190195,0.699375686456315,0.0102491358535077,0.0529110143395726
"70_7","nuc_4mer","HA","H4N8","gini",5,16,0.955510739134819,0.704704907328068,0.0105239076615413,0.0511781463773368
"70_7","nuc_4mer","HA","H4N8","gini",25,16,0.955037925896048,0.70440823508698,0.00918220681483011,0.0486171993797729
"70_7","nuc_4mer","HA","H4N8","gini",45,16,0.953144432119929,0.693681840999759,0.00845741770358939,0.0389912625051723
"70_7","nuc_4mer","HA","H5N1","gini",5,16,0.962907268170426,0.729593791265984,0.0100875247105254,0.0742153374335424
"70_7","nuc_4mer","HA","H5N1","gini",25,16,0.962907268170426,0.732268083816823,0.0102420134043622,0.0695946820715576
"70_7","nuc_4mer","HA","H5N1","gini",45,16,0.96140350877193,0.725842042507576,0.0089666886315781,0.0570626778261793
"70_7","nuc_4mer","HA","H5N6","gini",5,16,0.95082619177327,0.674300229668391,0.0020165625553191,0.0282011046998835
"70_7","nuc_4mer","HA","H5N6","gini",25,16,0.949412217844165,0.673650680157772,0.00352069722455974,0.0149765040429458
"70_7","nuc_4mer","HA","H5N6","gini",45,16,0.949883910672418,0.677854408231233,0.00451226314551222,0.0187086616327067
"70_7","nuc_4mer","HA","H7N3","gini",5,16,0.951088417017159,0.663607224136093,0.00845913512365487,0.0511085821315733
"70_7","nuc_4mer","HA","H7N3","gini",25,16,0.946097132789916,0.644559883771425,0.0107426295219959,0.062282812634547
"70_7","nuc_4mer","HA","H7N3","gini",45,16,0.945593398344934,0.647420458448534,0.0124889014650575,0.0656643490944289
"70_7","nuc_4mer","HA","H7N4","gini",5,16,0.956010436423674,0.707419064868961,0.00957448496699202,0.0608594432891772
"70_7","nuc_4mer","HA","H7N4","gini",25,16,0.955535398792681,0.708514907827372,0.00861311320600862,0.0506209939910279
"70_7","nuc_4mer","HA","H7N4","gini",45,16,0.955534256862133,0.711366468506976,0.00971231829539697,0.0582134472850072
"70_7","nuc_4mer","HA","H7N7","gini",5,16,0.95737837830717,0.718294997025599,0.0101158984255244,0.0563190665454518
"70_7","nuc_4mer","HA","H7N7","gini",25,16,0.955959938590858,0.715916399897473,0.0119535369716525,0.0665072919701193
"70_7","nuc_4mer","HA","H7N7","gini",45,16,0.955014306790702,0.715755310889429,0.0150000353505249,0.0863930081120906
"70_7","nuc_4mer","HA","H7N9","gini",5,16,0.978231543396021,0.356671782606719,0.00699673897199549,0.259521034129811
"70_7","nuc_4mer","HA","H7N9","gini",25,16,0.978232889200476,0.401954071379094,0.00674451765034824,0.198789113610182
"70_7","nuc_4mer","HA","H7N9","gini",45,16,0.978751023915502,0.423068017035053,0.00694119711120195,0.206495157444529
"70_7","nuc_4mer","HA","H8N4","gini",5,16,0.956618102292436,0.699955317038098,0.00925688619603665,0.0643992352496839
"70_7","nuc_4mer","HA","H8N4","gini",25,16,0.953320649763987,0.686109035619413,0.00736897384512149,0.0561102608855349
"70_7","nuc_4mer","HA","H8N4","gini",45,16,0.951906654806978,0.680471434443435,0.00721550722507481,0.0584039148218868
"70_7","nuc_4mer","HA","H9N2","gini",5,16,0.957047891936144,0.718776044985983,0.00807997541116287,0.0375695670652473
"70_7","nuc_4mer","HA","H9N2","gini",25,16,0.95876545231273,0.737268897928444,0.0104354052013019,0.0537386624377458
"70_7","nuc_4mer","HA","H9N2","gini",45,16,0.957617683176422,0.729971199794884,0.00958754910266543,0.0419036392044322
"70_7","nuc_5mer","HA","H10N8","gini",5,32,0.947245167570574,0.637453158711713,0.00919797185537815,0.0531367328311785
"70_7","nuc_5mer","HA","H10N8","gini",25,32,0.946306216103463,0.645412162707313,0.0126955535424445,0.062417959694526
"70_7","nuc_5mer","HA","H10N8","gini",45,32,0.945362814629398,0.646555658818638,0.011195588018622,0.0506956345108965
"70_7","nuc_5mer","HA","H16N3","gini",5,32,0.952243521648974,0.67733519003206,0.00995940204593808,0.0680338484472369
"70_7","nuc_5mer","HA","H16N3","gini",25,32,0.954606467432309,0.694267334759674,0.00793940780270708,0.0524553952691928
"70_7","nuc_5mer","HA","H16N3","gini",45,32,0.951769577429774,0.682523862498364,0.00896755167265053,0.0549807854395735
"70_7","nuc_5mer","HA","H3N8","gini",5,32,0.952093987736305,0.692894348634652,0.00469753261140626,0.0351393000745852
"70_7","nuc_5mer","HA","H3N8","gini",25,32,0.94957255171361,0.685916062696419,0.00641043748539115,0.0457489539797711
"70_7","nuc_5mer","HA","H3N8","gini",45,32,0.948564995038547,0.683135015099604,0.00577537502832144,0.0414823580872145
"70_7","nuc_5mer","HA","H4N6","gini",5,32,0.949652544840069,0.678897791961189,0.0131803578147314,0.0700303104742691
"70_7","nuc_5mer","HA","H4N6","gini",25,32,0.947639963039378,0.671046938133233,0.0122188328699927,0.0634983857916277
"70_7","nuc_5mer","HA","H4N6","gini",45,32,0.946633672139033,0.668144917878526,0.0124689430155286,0.0661140847049768
"70_7","nuc_5mer","HA","H4N8","gini",5,32,0.955039046306567,0.698340654293698,0.00917787235670901,0.0466480473731826
"70_7","nuc_5mer","HA","H4N8","gini",25,32,0.954093419829025,0.696638592134524,0.00926318970043025,0.0473045435645919
"70_7","nuc_5mer","HA","H4N8","gini",45,32,0.951250938343809,0.686735704180357,0.0101498348459964,0.0453495183230338
"70_7","nuc_5mer","HA","H5N1","gini",5,32,0.963408521303258,0.734466490344266,0.0094775290231524,0.0685857448568928
"70_7","nuc_5mer","HA","H5N1","gini",25,32,0.96140350877193,0.725982580073112,0.0104243781168348,0.0684507829935225
"70_7","nuc_5mer","HA","H5N1","gini",45,32,0.959398496240601,0.714742662501374,0.00927656918462242,0.0609005709075868
"70_7","nuc_5mer","HA","H5N6","gini",5,32,0.949881675136336,0.67418842193744,0.00423009970908081,0.0253493231479625
"70_7","nuc_5mer","HA","H5N6","gini",25,32,0.949409977023128,0.675466444170566,0.00459113608511702,0.0245497415274001
"70_7","nuc_5mer","HA","H5N6","gini",45,32,0.948937163784358,0.675142124248604,0.00488611394372149,0.0235994992470325
"70_7","nuc_5mer","HA","H7N3","gini",5,32,0.948094645227727,0.648978091270808,0.00946443201171309,0.0615196958207324
"70_7","nuc_5mer","HA","H7N3","gini",25,32,0.946092163868935,0.651493609700121,0.0129936029255276,0.0725103915999862
"70_7","nuc_5mer","HA","H7N3","gini",45,32,0.944599626555502,0.646038816432603,0.0116883076960999,0.0661264417794072
"70_7","nuc_5mer","HA","H7N4","gini",5,32,0.953145338156169,0.684894852439884,0.0113359464700566,0.0748280682639662
"70_7","nuc_5mer","HA","H7N4","gini",25,32,0.951714499179795,0.683752533284065,0.00888931226484717,0.0488187087479404
"70_7","nuc_5mer","HA","H7N4","gini",45,32,0.950759850718733,0.681421427630541,0.0105328479930935,0.0552945958398341
"70_7","nuc_5mer","HA","H7N7","gini",5,32,0.956903324247363,0.712087639560664,0.00869370962312641,0.0505256569186285
"70_7","nuc_5mer","HA","H7N7","gini",25,32,0.952645758954775,0.698725231271213,0.0132091930378888,0.0719339278365495
"70_7","nuc_5mer","HA","H7N7","gini",45,32,0.950274964975195,0.684873626707913,0.0107632415993134,0.0586785088887229
"70_7","nuc_5mer","HA","H7N9","gini",5,32,0.976157651776401,0.324254639208868,0.00381212059750431,0.139573406860631
"70_7","nuc_5mer","HA","H7N9","gini",25,32,0.976157651776401,0.324254639208868,0.00381212059750431,0.139573406860631
"70_7","nuc_5mer","HA","H7N9","gini",45,32,0.975640855910768,0.331434182642807,0.00466763390138589,0.162361218593194
"70_7","nuc_5mer","HA","H8N4","gini",5,32,0.954260716356662,0.688151326425179,0.00796719259485372,0.0569940526113994
"70_7","nuc_5mer","HA","H8N4","gini",25,32,0.952376133164359,0.682377834050214,0.00658777592971023,0.0582587225075477
"70_7","nuc_5mer","HA","H8N4","gini",45,32,0.949545933989814,0.669170769239219,0.00724603123158411,0.0597109282419825
"70_7","nuc_5mer","HA","H9N2","gini",5,32,0.957049529267294,0.722208978418417,0.00635779501703093,0.0369142849576723
"70_7","nuc_5mer","HA","H9N2","gini",25,32,0.955905034793287,0.719334584169684,0.00869233262789167,0.0477381859343377
"70_7","nuc_5mer","HA","H9N2","gini",45,32,0.955905034793287,0.720700361403434,0.0093739968177988,0.0539462389486612
"70_7","nuc_6mer","HA","H10N8","gini",5,64,0.947249617577527,0.651067791614514,0.0105720957363145,0.0481697566195804
"70_7","nuc_6mer","HA","H10N8","gini",25,64,0.94489445139758,0.648996383495612,0.0127108536670315,0.0510557277348021
"70_7","nuc_6mer","HA","H10N8","gini",45,64,0.943953274926992,0.646488939534893,0.011896430714659,0.0460069845684593
"70_7","nuc_6mer","HA","H16N3","gini",5,64,0.952244636774537,0.682392512514091,0.0110191347312239,0.0742260782941166
"70_7","nuc_6mer","HA","H16N3","gini",25,64,0.949880560010773,0.670807206852621,0.0090731224385949,0.0616791231247945
"70_7","nuc_6mer","HA","H16N3","gini",45,64,0.950827301613877,0.68075652114148,0.00980496590893045,0.0635393376618819
"70_7","nuc_6mer","HA","H3N8","gini",5,64,0.948564995038547,0.674798185234254,0.00578370224546463,0.0423285614724656
"70_7","nuc_6mer","HA","H3N8","gini",25,64,0.946042286848332,0.670053722446046,0.00521705298045946,0.0397798512762089
"70_7","nuc_6mer","HA","H3N8","gini",45,64,0.947556166195965,0.680154311952665,0.00513933516614484,0.0395740279852892
"70_7","nuc_6mer","HA","H4N6","gini",5,64,0.947638697264661,0.671880618525773,0.00977799868009667,0.051369842531339
"70_7","nuc_6mer","HA","H4N6","gini",25,64,0.945627381238687,0.665847697844712,0.0128626025095347,0.0644954812548791
"70_7","nuc_6mer","HA","H4N6","gini",45,64,0.94411731200081,0.661479321737699,0.0139003853071711,0.0667180919668953
"70_7","nuc_6mer","HA","H4N8","gini",5,64,0.954563992246759,0.702025340413323,0.00954243318387512,0.0507778874421431
"70_7","nuc_6mer","HA","H4N8","gini",25,64,0.952671618881158,0.69381673868395,0.0101983683424022,0.0468435976420896
"70_7","nuc_6mer","HA","H4N8","gini",45,64,0.952195444410832,0.696577168257372,0.0122601964718466,0.0581201378585745
"70_7","nuc_6mer","HA","H5N1","gini",5,64,0.962907268170426,0.738267895708188,0.00944433267238935,0.0564534405239775
"70_7","nuc_6mer","HA","H5N1","gini",25,64,0.959398496240601,0.717843333960301,0.0108379690779146,0.0638856880057015
"70_7","nuc_6mer","HA","H5N1","gini",45,64,0.958395989974937,0.713271600627379,0.01209776279313,0.0687692613818068
"70_7","nuc_6mer","HA","H5N6","gini",5,64,0.950828422024396,0.6841553672672,0.00421110778571958,0.0163677169572642
"70_7","nuc_6mer","HA","H5N6","gini",25,64,0.946101399477297,0.662171868108441,0.004511715204726,0.0204910737306191
"70_7","nuc_6mer","HA","H5N6","gini",45,64,0.945156888125319,0.658092654783301,0.00507607516310046,0.0216493952391167
"70_7","nuc_6mer","HA","H7N3","gini",5,64,0.948589676306746,0.659672959745967,0.01088989749443,0.0685324578134727
"70_7","nuc_6mer","HA","H7N3","gini",25,64,0.944098392079503,0.642941823600083,0.0113182208017006,0.0685296353853956
"70_7","nuc_6mer","HA","H7N3","gini",45,64,0.944100873438295,0.645244579079174,0.0107435580125641,0.0622461703213499
"70_7","nuc_6mer","HA","H7N4","gini",5,64,0.953148763947812,0.69322336797019,0.0069366338856262,0.0422681740718299
"70_7","nuc_6mer","HA","H7N4","gini",25,64,0.950283665680307,0.684939243962929,0.00934151302699172,0.0542431546779824
"70_7","nuc_6mer","HA","H7N4","gini",45,64,0.949805196780785,0.682918561010594,0.0100253637041229,0.0568370228312481
"70_7","nuc_6mer","HA","H7N7","gini",5,64,0.953588024200761,0.696891367364337,0.00838874262121353,0.0484557057894952
"70_7","nuc_6mer","HA","H7N7","gini",25,64,0.949325966620868,0.683127851149473,0.0114748908712571,0.0648581816252047
