"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0.001,0.111111111111111,0.918522752497225,0.528140977955826,0.0145079471437903,0.0588605012537851
"70_7","cds_compbias","HA","H10N8",0.001,0.166666666666667,0.930300776914539,0.565932516013427,0.0152473052849489,0.0702738851620117
"70_7","cds_compbias","HA","H10N8",0.001,0.333333333333333,0.939716981132075,0.603063691232942,0.0105509483020856,0.0539345433172431
"70_7","cds_compbias","HA","H10N8",0.1,0.111111111111111,0.923221975582686,0.587035311192389,0.0142982408102857,0.0547223394311798
"70_7","cds_compbias","HA","H10N8",0.1,0.166666666666667,0.930764705882353,0.608198724952813,0.0118041075787948,0.0526380366843543
"70_7","cds_compbias","HA","H10N8",0.1,0.333333333333333,0.935947835738069,0.602278741697278,0.010659830205259,0.0411558963670583
"70_7","cds_compbias","HA","H10N8",1,0.111111111111111,0.916635960044395,0.564293146242149,0.0189911269441259,0.0725975772111627
"70_7","cds_compbias","HA","H10N8",1,0.166666666666667,0.923700332963374,0.580196973604105,0.0177102964250926,0.0752183465325909
"70_7","cds_compbias","HA","H10N8",1,0.333333333333333,0.941128745837958,0.637322287979794,0.0111289667155282,0.0527594440854257
"70_7","cds_compbias","HA","H10N8",10,0.111111111111111,0.915220865704772,0.558314099820571,0.0172670187817082,0.0712020740706869
"70_7","cds_compbias","HA","H10N8",10,0.166666666666667,0.923701442841287,0.576002344173067,0.0176214755678119,0.076031959397279
"70_7","cds_compbias","HA","H10N8",10,0.333333333333333,0.942069922308546,0.636663022051976,0.0105679553655812,0.0579074504729155
"70_7","cds_compbias","HA","H16N3",0.001,0.111111111111111,0.916784869976359,0.525748820559889,0.0129916138666989,0.104226343862507
"70_7","cds_compbias","HA","H16N3",0.001,0.166666666666667,0.93096926713948,0.572361809468351,0.0190156761722839,0.128819763259088
"70_7","cds_compbias","HA","H16N3",0.001,0.333333333333333,0.940898345153664,0.610045525291616,0.018388119605324,0.136142124351227
"70_7","cds_compbias","HA","H16N3",0.1,0.111111111111111,0.926713947990544,0.600298623039069,0.00668658894739053,0.0444874858160789
"70_7","cds_compbias","HA","H16N3",0.1,0.166666666666667,0.930023640661939,0.603275028172488,0.00997400619845344,0.063781946420755
"70_7","cds_compbias","HA","H16N3",0.1,0.333333333333333,0.933806146572104,0.596161741562457,0.0143800532631164,0.098101654242676
"70_7","cds_compbias","HA","H16N3",1,0.111111111111111,0.918676122931442,0.573241197079928,0.00862155202307825,0.0438919973110954
"70_7","cds_compbias","HA","H16N3",1,0.166666666666667,0.922458628841608,0.5736624009335,0.00921682680360187,0.0608364277634156
"70_7","cds_compbias","HA","H16N3",1,0.333333333333333,0.939952718676123,0.620920658299322,0.0116536714362801,0.0885020279879243
"70_7","cds_compbias","HA","H16N3",10,0.111111111111111,0.908747044917258,0.534497531698477,0.0114113649041581,0.0481160748026384
"70_7","cds_compbias","HA","H16N3",10,0.166666666666667,0.91725768321513,0.550381992426374,0.00747583371198199,0.0508537166454363
"70_7","cds_compbias","HA","H16N3",10,0.333333333333333,0.935697399527187,0.604219220110176,0.00676965534906684,0.0571913129454082
"70_7","cds_compbias","HA","H3N8",0.001,0.111111111111111,0.921318983283719,0.560973983583775,0.0149336412069414,0.0870165638995028
"70_7","cds_compbias","HA","H3N8",0.001,0.166666666666667,0.929893392361906,0.586531790283589,0.0140362324711433,0.0853707952747035
"70_7","cds_compbias","HA","H3N8",0.001,0.333333333333333,0.937961478767524,0.618664702470245,0.0137121080754838,0.0873818175309364
"70_7","cds_compbias","HA","H3N8",0.1,0.111111111111111,0.919300053431036,0.592816384016826,0.0155324256361745,0.0691850822468566
"70_7","cds_compbias","HA","H3N8",0.1,0.166666666666667,0.92585553265654,0.612887751895918,0.014092252732326,0.0683524132044107
"70_7","cds_compbias","HA","H3N8",0.1,0.333333333333333,0.942003154975447,0.655230322330437,0.00595790222567613,0.0486149047874703
"70_7","cds_compbias","HA","H3N8",1,0.111111111111111,0.909729537185457,0.556900188610935,0.00607399809164405,0.032986708588827
"70_7","cds_compbias","HA","H3N8",1,0.166666666666667,0.922335445131415,0.596310832162609,0.009026694640174,0.0474563084832472
"70_7","cds_compbias","HA","H3N8",1,0.333333333333333,0.934943897412411,0.624359643955215,0.00827148680635852,0.0598217087035906
"70_7","cds_compbias","HA","H3N8",10,0.111111111111111,0.90670432282523,0.54118828417876,0.00569338387370536,0.0418455298242491
