"cluster_set","featset","focgene","subtype","sigma","C","Weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0.001,1,0.111111111111111,0.908154273029967,0.52609532416957,0.02212986055861,0.0534364989946736
"70_7","cds_compbias","HA","H10N8",0.001,1,0.333333333333333,0.940188679245283,0.605274110063401,0.0108061898127124,0.0542997214121803
"70_7","cds_compbias","HA","H10N8",0.001,3,0.111111111111111,0.913325194228635,0.559145861034245,0.0143054041027425,0.0520246288893615
"70_7","cds_compbias","HA","H10N8",0.001,3,0.333333333333333,0.940188679245283,0.605274110063401,0.0108061898127124,0.0542997214121803
"70_7","cds_compbias","HA","H10N8",0.001,9,0.111111111111111,0.916623751387347,0.564575487705419,0.0145154940666026,0.0501237470099407
"70_7","cds_compbias","HA","H10N8",0.001,9,0.333333333333333,0.936419533851276,0.601360613673858,0.0102035079331541,0.0443449872350024
"70_7","cds_compbias","HA","H10N8",0.01,1,0.111111111111111,0.917094339622642,0.56416673147067,0.0144997434268675,0.0502985039576319
"70_7","cds_compbias","HA","H10N8",0.01,1,0.333333333333333,0.937834628190899,0.600472447658586,0.0122446186132171,0.0523287268382381
"70_7","cds_compbias","HA","H10N8",0.01,3,0.111111111111111,0.92369256381798,0.585648280781095,0.0098028294647174,0.0376849747054172
"70_7","cds_compbias","HA","H10N8",0.01,3,0.333333333333333,0.942542730299667,0.635099069901188,0.0128071990822222,0.0542081634256906
"70_7","cds_compbias","HA","H10N8",0.01,9,0.111111111111111,0.930763596004439,0.607578081450885,0.00837516109111576,0.0312850054651382
"70_7","cds_compbias","HA","H10N8",0.01,9,0.333333333333333,0.949132075471698,0.66024617742101,0.00454279585330733,0.0109224511625564
"70_7","cds_compbias","HA","H10N8",0.1,1,0.111111111111111,0.949133185349612,0.650497443396928,0.00977302837540167,0.0489809729525656
"70_7","cds_compbias","HA","H10N8",0.1,1,0.333333333333333,0.954311875693674,0.663300723183724,0.00754785529301976,0.05383547436385
"70_7","cds_compbias","HA","H10N8",0.1,3,0.111111111111111,0.948662597114317,0.650788579381844,0.00835999099927423,0.0478713198559536
"70_7","cds_compbias","HA","H10N8",0.1,3,0.333333333333333,0.95619422863485,0.681247505481511,0.00678901351415018,0.0553397448433049
"70_7","cds_compbias","HA","H10N8",0.1,9,0.111111111111111,0.951016648168701,0.655292428878252,0.00767549229203751,0.0540667232997301
"70_7","cds_compbias","HA","H10N8",0.1,9,0.333333333333333,0.956663706992231,0.676864664926773,0.00490007233673764,0.050007523714702
"70_7","cds_compbias","HA","H16N3",0.001,1,0.111111111111111,0.909219858156028,0.50894276449813,0.00968978795835424,0.049965473883213
"70_7","cds_compbias","HA","H16N3",0.001,1,0.333333333333333,0.941371158392435,0.612346100012689,0.0188681512427754,0.138448441633614
"70_7","cds_compbias","HA","H16N3",0.001,3,0.111111111111111,0.915839243498818,0.564068923728747,0.010651423476188,0.0396024165133875
"70_7","cds_compbias","HA","H16N3",0.001,3,0.333333333333333,0.940898345153664,0.610045525291616,0.018388119605324,0.136142124351227
"70_7","cds_compbias","HA","H16N3",0.001,9,0.111111111111111,0.922931442080378,0.585741640748783,0.00954450554996992,0.0467546988920492
"70_7","cds_compbias","HA","H16N3",0.001,9,0.333333333333333,0.93806146572104,0.607119845557734,0.0125540596192452,0.102764633209614
"70_7","cds_compbias","HA","H16N3",0.01,1,0.111111111111111,0.922458628841608,0.585650366110459,0.00791167873791089,0.04239392993863
"70_7","cds_compbias","HA","H16N3",0.01,1,0.333333333333333,0.939479905437352,0.60862160860656,0.016172701065236,0.125634984014837
"70_7","cds_compbias","HA","H16N3",0.01,3,0.111111111111111,0.931442080378251,0.619709986366799,0.00579075589310445,0.035406852805465
"70_7","cds_compbias","HA","H16N3",0.01,3,0.333333333333333,0.954609929078014,0.695849869107491,0.00966090626085223,0.0758358017841995
"70_7","cds_compbias","HA","H16N3",0.01,9,0.111111111111111,0.937115839243499,0.638538665614606,0.00893979687999483,0.0505824505896702
"70_7","cds_compbias","HA","H16N3",0.01,9,0.333333333333333,0.955555555555556,0.701748629722473,0.00736284231791838,0.0638648817646914
"70_7","cds_compbias","HA","H16N3",0.1,1,0.111111111111111,0.954609929078014,0.67432480228725,0.0132049551241314,0.113960160380551
"70_7","cds_compbias","HA","H16N3",0.1,1,0.333333333333333,0.957446808510638,0.686777543792157,0.0134772508876966,0.118469155865511
"70_7","cds_compbias","HA","H16N3",0.1,3,0.111111111111111,0.952718676122931,0.677362492945932,0.0101682331761733,0.0839279276421964
"70_7","cds_compbias","HA","H16N3",0.1,3,0.333333333333333,0.95886524822695,0.705852618167304,0.0109106201032759,0.0886259382463764
"70_7","cds_compbias","HA","H16N3",0.1,9,0.111111111111111,0.954609929078014,0.684934612154167,0.0135186557498778,0.0994651645624875
"70_7","cds_compbias","HA","H16N3",0.1,9,0.333333333333333,0.959338061465721,0.702505741230094,0.0139259352009675,0.113559723310371
"70_7","cds_compbias","HA","H3N8",0.001,1,0.111111111111111,0.907705518662698,0.554575089525382,0.0126530062198167,0.0553432020519874
"70_7","cds_compbias","HA","H3N8",0.001,1,0.333333333333333,0.938465257105056,0.620674953402836,0.0134822113042735,0.0867662881694701
"70_7","cds_compbias","HA","H3N8",0.001,3,0.111111111111111,0.90719665165509,0.561855403895962,0.0161937508559199,0.0636130496148821
"70_7","cds_compbias","HA","H3N8",0.001,3,0.333333333333333,0.938465257105056,0.620674953402836,0.0134822113042735,0.0867662881694701
"70_7","cds_compbias","HA","H3N8",0.001,9,0.111111111111111,0.914258453553164,0.575311643898024,0.0151144936145793,0.0717986364302094
"70_7","cds_compbias","HA","H3N8",0.001,9,0.333333333333333,0.934936264407297,0.624498699378482,0.011271141633468,0.0751553088227439
"70_7","cds_compbias","HA","H3N8",0.01,1,0.111111111111111,0.918292496755973,0.590580856745021,0.0154837640502008,0.0728638178590281
"70_7","cds_compbias","HA","H3N8",0.01,1,0.333333333333333,0.940480370455182,0.642390639748322,0.0134942065581412,0.0842086818806401
"70_7","cds_compbias","HA","H3N8",0.01,3,0.111111111111111,0.923334096633845,0.609316537866378,0.0149686818014502,0.0711632324043019
"70_7","cds_compbias","HA","H3N8",0.01,3,0.333333333333333,0.948051039360863,0.685939569880779,0.00958800006172633,0.0698134328788323
"70_7","cds_compbias","HA","H3N8",0.01,9,0.111111111111111,0.928882019184286,0.619138808297084,0.0168316137901052,0.0826609777882588
"70_7","cds_compbias","HA","H3N8",0.01,9,0.333333333333333,0.950573747551077,0.692128836890682,0.00753009081210107,0.0611837699421532
"70_7","cds_compbias","HA","H3N8",0.1,1,0.111111111111111,0.950067424878508,0.67151260117228,0.0117869555935081,0.0862701893925121
"70_7","cds_compbias","HA","H3N8",0.1,1,0.333333333333333,0.955611530926392,0.692896410912249,0.0118275038137389,0.0912473144623884
"70_7","cds_compbias","HA","H3N8",0.1,3,0.111111111111111,0.952586316566165,0.694649714008535,0.0116646584405073,0.0802385727982307
"70_7","cds_compbias","HA","H3N8",0.1,3,0.333333333333333,0.956621631936493,0.706246561538092,0.0116537572005842,0.0893498065105682
"70_7","cds_compbias","HA","H3N8",0.1,9,0.111111111111111,0.952586316566165,0.686410010557757,0.0116653460739393,0.0872365020688431
"70_7","cds_compbias","HA","H3N8",0.1,9,0.333333333333333,0.957630460779075,0.709480382435446,0.0101985493358269,0.0829452735612096
"70_7","cds_compbias","HA","H4N6",0.001,1,0.111111111111111,0.893750870220118,0.519465793436335,0.0120545023655782,0.0559877013923453
"70_7","cds_compbias","HA","H4N6",0.001,1,0.333333333333333,0.937553004316292,0.614667390216814,0.0139944661830106,0.075614194396803
"70_7","cds_compbias","HA","H4N6",0.001,3,0.111111111111111,0.904828930546941,0.548027307772019,0.00987321075298283,0.0484389072692812
