"cluster_set","featset","focgene","subtype","accuracy"
"60_6","cds_compbias","HA","H10N8",0
"60_6","cds_compbias","HA","H16N3",0.150943396226415
"60_6","cds_compbias","HA","H3N8",1
"60_6","cds_compbias","HA","H4N6",0.97780959198282
"60_6","cds_compbias","HA","H4N8",0.840336134453782
"60_6","cds_compbias","HA","H5N1",0.978102189781022
"60_6","cds_compbias","HA","H5N6",0.166666666666667
"60_6","cds_compbias","HA","H7N3",0
"60_6","cds_compbias","HA","H7N4",1
"60_6","cds_compbias","HA","H7N7",0
"60_6","cds_compbias","HA","H7N9",0
"60_6","cds_compbias","HA","H8N4",0.940789473684211
"60_6","cds_compbias","HA","H9N2",1
"60_6","nuc_2mer","HA","H10N8",1
"60_6","nuc_2mer","HA","H16N3",1
"60_6","nuc_2mer","HA","H3N8",1
"60_6","nuc_2mer","HA","H4N6",0.999284180386543
"60_6","nuc_2mer","HA","H4N8",0.949579831932773
"60_6","nuc_2mer","HA","H5N1",0
"60_6","nuc_2mer","HA","H5N6",0
"60_6","nuc_2mer","HA","H7N3",1
"60_6","nuc_2mer","HA","H7N4",0
"60_6","nuc_2mer","HA","H7N7",0
"60_6","nuc_2mer","HA","H7N9",1
"60_6","nuc_2mer","HA","H8N4",0.828947368421053
"60_6","nuc_2mer","HA","H9N2",0.384615384615385
"60_6","nuc_3mer","HA","H10N8",0
"60_6","nuc_3mer","HA","H16N3",0.867924528301887
"60_6","nuc_3mer","HA","H3N8",1
"60_6","nuc_3mer","HA","H4N6",0.852541159627774
"60_6","nuc_3mer","HA","H4N8",0.676470588235294
"60_6","nuc_3mer","HA","H5N1",0.963503649635037
"60_6","nuc_3mer","HA","H5N6",0
"60_6","nuc_3mer","HA","H7N3",1
"60_6","nuc_3mer","HA","H7N4",0
"60_6","nuc_3mer","HA","H7N7",0
"60_6","nuc_3mer","HA","H7N9",0
"60_6","nuc_3mer","HA","H8N4",0.388157894736842
"60_6","nuc_3mer","HA","H9N2",1
"60_6","nuc_4mer","HA","H10N8",0
"60_6","nuc_4mer","HA","H16N3",0.99622641509434
"60_6","nuc_4mer","HA","H3N8",0
"60_6","nuc_4mer","HA","H4N6",0.998568360773085
"60_6","nuc_4mer","HA","H4N8",1
"60_6","nuc_4mer","HA","H5N1",0
"60_6","nuc_4mer","HA","H5N6",0
"60_6","nuc_4mer","HA","H7N3",0
"60_6","nuc_4mer","HA","H7N4",0
"60_6","nuc_4mer","HA","H7N7",0
"60_6","nuc_4mer","HA","H7N9",0
"60_6","nuc_4mer","HA","H8N4",1
"60_6","nuc_4mer","HA","H9N2",1
"60_6","nuc_5mer","HA","H10N8",1
"60_6","nuc_5mer","HA","H16N3",0
"60_6","nuc_5mer","HA","H3N8",1
"60_6","nuc_5mer","HA","H4N6",0
"60_6","nuc_5mer","HA","H4N8",0.163865546218487
"60_6","nuc_5mer","HA","H5N1",0.788321167883212
