"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",0
"70_7","cds_compbias","HA","H16N3",0.690566037735849
"70_7","cds_compbias","HA","H3N8",0
"70_7","cds_compbias","HA","H4N6",0.934144595561918
"70_7","cds_compbias","HA","H4N8",0.983193277310924
"70_7","cds_compbias","HA","H5N1",0.897810218978102
"70_7","cds_compbias","HA","H5N6",0.916666666666667
"70_7","cds_compbias","HA","H7N3",0
"70_7","cds_compbias","HA","H7N4",1
"70_7","cds_compbias","HA","H7N7",1
"70_7","cds_compbias","HA","H7N9",1
"70_7","cds_compbias","HA","H8N4",0.25
"70_7","cds_compbias","HA","H9N2",0.923076923076923
"70_7","nuc_2mer","HA","H10N8",1
"70_7","nuc_2mer","HA","H16N3",0.132075471698113
"70_7","nuc_2mer","HA","H3N8",0
"70_7","nuc_2mer","HA","H4N6",0.919112383679313
"70_7","nuc_2mer","HA","H4N8",0.92436974789916
"70_7","nuc_2mer","HA","H5N1",0.708029197080292
"70_7","nuc_2mer","HA","H5N6",0.5
"70_7","nuc_2mer","HA","H7N3",1
"70_7","nuc_2mer","HA","H7N4",1
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",1
"70_7","nuc_2mer","HA","H8N4",0.190789473684211
"70_7","nuc_2mer","HA","H9N2",0.615384615384615
"70_7","nuc_3mer","HA","H10N8",0
"70_7","nuc_3mer","HA","H16N3",0.977358490566038
"70_7","nuc_3mer","HA","H3N8",0
"70_7","nuc_3mer","HA","H4N6",0.956335003579098
"70_7","nuc_3mer","HA","H4N8",1
"70_7","nuc_3mer","HA","H5N1",0.832116788321168
"70_7","nuc_3mer","HA","H5N6",1
"70_7","nuc_3mer","HA","H7N3",0
"70_7","nuc_3mer","HA","H7N4",0
"70_7","nuc_3mer","HA","H7N7",0
"70_7","nuc_3mer","HA","H7N9",1
"70_7","nuc_3mer","HA","H8N4",0.651315789473684
"70_7","nuc_3mer","HA","H9N2",0
"70_7","nuc_4mer","HA","H10N8",1
"70_7","nuc_4mer","HA","H16N3",1
"70_7","nuc_4mer","HA","H3N8",0.5
"70_7","nuc_4mer","HA","H4N6",0.732999284180387
"70_7","nuc_4mer","HA","H4N8",0.886554621848739
"70_7","nuc_4mer","HA","H5N1",0.941605839416058
"70_7","nuc_4mer","HA","H5N6",1
"70_7","nuc_4mer","HA","H7N3",0
"70_7","nuc_4mer","HA","H7N4",1
"70_7","nuc_4mer","HA","H7N7",1
"70_7","nuc_4mer","HA","H7N9",0.841517857142857
"70_7","nuc_4mer","HA","H8N4",0.513157894736842
"70_7","nuc_4mer","HA","H9N2",0.153846153846154
"70_7","nuc_5mer","HA","H10N8",1
"70_7","nuc_5mer","HA","H16N3",0.720754716981132
"70_7","nuc_5mer","HA","H3N8",0
"70_7","nuc_5mer","HA","H4N6",0.856120257695061
"70_7","nuc_5mer","HA","H4N8",0.840336134453782
"70_7","nuc_5mer","HA","H5N1",0.948905109489051
"70_7","nuc_5mer","HA","H5N6",1
"70_7","nuc_5mer","HA","H7N3",1
"70_7","nuc_5mer","HA","H7N4",1
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",0.897321428571429
"70_7","nuc_5mer","HA","H8N4",0.756578947368421
"70_7","nuc_5mer","HA","H9N2",0.769230769230769
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",0.924528301886792
"70_7","nuc_6mer","HA","H3N8",0
"70_7","nuc_6mer","HA","H4N6",0.721546170365068
"70_7","nuc_6mer","HA","H4N8",0.663865546218487
"70_7","nuc_6mer","HA","H5N1",0.54014598540146
"70_7","nuc_6mer","HA","H5N6",1
"70_7","nuc_6mer","HA","H7N3",0
"70_7","nuc_6mer","HA","H7N4",1
"70_7","nuc_6mer","HA","H7N7",0
"70_7","nuc_6mer","HA","H7N9",0.991071428571429
"70_7","nuc_6mer","HA","H8N4",0.585526315789474
"70_7","nuc_6mer","HA","H9N2",0.230769230769231
"70_7","prot_2mer","HA","H10N8",0
"70_7","prot_2mer","HA","H16N3",0.89811320754717
"70_7","prot_2mer","HA","H3N8",0
"70_7","prot_2mer","HA","H4N6",0.00858983536148891
"70_7","prot_2mer","HA","H4N8",0.0672268907563025
"70_7","prot_2mer","HA","H5N1",0.751824817518248
"70_7","prot_2mer","HA","H5N6",1
"70_7","prot_2mer","HA","H7N3",0
"70_7","prot_2mer","HA","H7N4",1
"70_7","prot_2mer","HA","H7N7",1
"70_7","prot_2mer","HA","H7N9",0.785714285714286
"70_7","prot_2mer","HA","H8N4",0.157894736842105
"70_7","prot_2mer","HA","H9N2",0.384615384615385
"70_7","prot_ctdc","HA","H10N8",0
"70_7","prot_ctdc","HA","H16N3",0.883018867924528
"70_7","prot_ctdc","HA","H3N8",0
"70_7","prot_ctdc","HA","H4N6",0.626342161775233
"70_7","prot_ctdc","HA","H4N8",0.894957983193277
"70_7","prot_ctdc","HA","H5N1",0.102189781021898
"70_7","prot_ctdc","HA","H5N6",1
"70_7","prot_ctdc","HA","H7N3",1
"70_7","prot_ctdc","HA","H7N4",1
"70_7","prot_ctdc","HA","H7N7",1
"70_7","prot_ctdc","HA","H7N9",0.879464285714286
"70_7","prot_ctdc","HA","H8N4",0.986842105263158
"70_7","prot_ctdc","HA","H9N2",0
"70_7","prot_ctdd","HA","H10N8",1
"70_7","prot_ctdd","HA","H16N3",0
"70_7","prot_ctdd","HA","H3N8",1
"70_7","prot_ctdd","HA","H4N6",0.998568360773085
"70_7","prot_ctdd","HA","H4N8",0.970588235294118
"70_7","prot_ctdd","HA","H5N1",0.613138686131387
"70_7","prot_ctdd","HA","H5N6",1
"70_7","prot_ctdd","HA","H7N3",1
