"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",0
"70_7","cds_compbias","HA","H16N3",0.947169811320755
"70_7","cds_compbias","HA","H3N8",0
"70_7","cds_compbias","HA","H4N6",0.90336435218325
"70_7","cds_compbias","HA","H4N8",0.932773109243697
"70_7","cds_compbias","HA","H5N1",0.0145985401459854
"70_7","cds_compbias","HA","H5N6",0.333333333333333
"70_7","cds_compbias","HA","H7N3",0
"70_7","cds_compbias","HA","H7N4",0
"70_7","cds_compbias","HA","H7N7",0
"70_7","cds_compbias","HA","H7N9",0.997767857142857
"70_7","cds_compbias","HA","H8N4",0.75
"70_7","cds_compbias","HA","H9N2",0
"70_7","nuc_2mer","HA","H10N8",0
"70_7","nuc_2mer","HA","H16N3",0.347169811320755
"70_7","nuc_2mer","HA","H3N8",0
"70_7","nuc_2mer","HA","H4N6",0.48890479599141
"70_7","nuc_2mer","HA","H4N8",0.529411764705882
"70_7","nuc_2mer","HA","H5N1",0.737226277372263
"70_7","nuc_2mer","HA","H5N6",0.666666666666667
"70_7","nuc_2mer","HA","H7N3",0
"70_7","nuc_2mer","HA","H7N4",0
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",0.383928571428571
"70_7","nuc_2mer","HA","H8N4",0.164473684210526
"70_7","nuc_2mer","HA","H9N2",0.384615384615385
"70_7","nuc_3mer","HA","H10N8",1
"70_7","nuc_3mer","HA","H16N3",0.0641509433962264
"70_7","nuc_3mer","HA","H3N8",0
"70_7","nuc_3mer","HA","H4N6",0.957766642806013
"70_7","nuc_3mer","HA","H4N8",0.957983193277311
"70_7","nuc_3mer","HA","H5N1",0.956204379562044
"70_7","nuc_3mer","HA","H5N6",1
"70_7","nuc_3mer","HA","H7N3",0
"70_7","nuc_3mer","HA","H7N4",0
"70_7","nuc_3mer","HA","H7N7",1
"70_7","nuc_3mer","HA","H7N9",0.953125
"70_7","nuc_3mer","HA","H8N4",0.776315789473684
"70_7","nuc_3mer","HA","H9N2",0
"70_7","nuc_4mer","HA","H10N8",1
"70_7","nuc_4mer","HA","H16N3",0.449056603773585
"70_7","nuc_4mer","HA","H3N8",1
"70_7","nuc_4mer","HA","H4N6",0.886900501073729
"70_7","nuc_4mer","HA","H4N8",0.668067226890756
"70_7","nuc_4mer","HA","H5N1",0.861313868613139
"70_7","nuc_4mer","HA","H5N6",0.916666666666667
"70_7","nuc_4mer","HA","H7N3",0
"70_7","nuc_4mer","HA","H7N4",0
"70_7","nuc_4mer","HA","H7N7",1
"70_7","nuc_4mer","HA","H7N9",0.848214285714286
"70_7","nuc_4mer","HA","H8N4",0.710526315789474
"70_7","nuc_4mer","HA","H9N2",1
"70_7","nuc_5mer","HA","H10N8",0
"70_7","nuc_5mer","HA","H16N3",0.433962264150943
"70_7","nuc_5mer","HA","H3N8",0
"70_7","nuc_5mer","HA","H4N6",0.853972798854689
"70_7","nuc_5mer","HA","H4N8",0.873949579831933
"70_7","nuc_5mer","HA","H5N1",0.839416058394161
"70_7","nuc_5mer","HA","H5N6",1
"70_7","nuc_5mer","HA","H7N3",0
"70_7","nuc_5mer","HA","H7N4",0
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",0.189732142857143
"70_7","nuc_5mer","HA","H8N4",0.585526315789474
"70_7","nuc_5mer","HA","H9N2",0.615384615384615
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",0.777358490566038
"70_7","nuc_6mer","HA","H3N8",0
"70_7","nuc_6mer","HA","H4N6",0.856836077308518
"70_7","nuc_6mer","HA","H4N8",0.932773109243697
"70_7","nuc_6mer","HA","H5N1",0.335766423357664
"70_7","nuc_6mer","HA","H5N6",0.75
"70_7","nuc_6mer","HA","H7N3",0
"70_7","nuc_6mer","HA","H7N4",1
"70_7","nuc_6mer","HA","H7N7",0
"70_7","nuc_6mer","HA","H7N9",0.982142857142857
"70_7","nuc_6mer","HA","H8N4",0.881578947368421
"70_7","nuc_6mer","HA","H9N2",0.153846153846154
"70_7","prot_2mer","HA","H10N8",0
