"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",0
"70_7","cds_compbias","HA","H16N3",0.90188679245283
"70_7","cds_compbias","HA","H3N8",0
"70_7","cds_compbias","HA","H4N6",0.587687902648533
"70_7","cds_compbias","HA","H4N8",1
"70_7","cds_compbias","HA","H5N1",0.992700729927007
"70_7","cds_compbias","HA","H5N6",1
"70_7","cds_compbias","HA","H7N3",0.5
"70_7","cds_compbias","HA","H7N4",1
"70_7","cds_compbias","HA","H7N7",1
"70_7","cds_compbias","HA","H7N9",0.790178571428571
"70_7","cds_compbias","HA","H8N4",0.256578947368421
"70_7","cds_compbias","HA","H9N2",0.538461538461538
"70_7","nuc_2mer","HA","H10N8",0
"70_7","nuc_2mer","HA","H16N3",0.411320754716981
"70_7","nuc_2mer","HA","H3N8",0
"70_7","nuc_2mer","HA","H4N6",0.902648532569792
"70_7","nuc_2mer","HA","H4N8",0.949579831932773
"70_7","nuc_2mer","HA","H5N1",0.321167883211679
"70_7","nuc_2mer","HA","H5N6",0.333333333333333
"70_7","nuc_2mer","HA","H7N3",0
"70_7","nuc_2mer","HA","H7N4",1
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",1
"70_7","nuc_2mer","HA","H8N4",0.440789473684211
"70_7","nuc_2mer","HA","H9N2",0.153846153846154
"70_7","nuc_3mer","HA","H10N8",0
"70_7","nuc_3mer","HA","H16N3",0.924528301886792
"70_7","nuc_3mer","HA","H3N8",0
"70_7","nuc_3mer","HA","H4N6",0.912670007158196
"70_7","nuc_3mer","HA","H4N8",1
"70_7","nuc_3mer","HA","H5N1",0.766423357664234
"70_7","nuc_3mer","HA","H5N6",1
"70_7","nuc_3mer","HA","H7N3",0
"70_7","nuc_3mer","HA","H7N4",0
"70_7","nuc_3mer","HA","H7N7",1
"70_7","nuc_3mer","HA","H7N9",1
"70_7","nuc_3mer","HA","H8N4",0.796052631578947
"70_7","nuc_3mer","HA","H9N2",0
"70_7","nuc_4mer","HA","H10N8",1
"70_7","nuc_4mer","HA","H16N3",0.679245283018868
"70_7","nuc_4mer","HA","H3N8",1
"70_7","nuc_4mer","HA","H4N6",0.542591267000716
"70_7","nuc_4mer","HA","H4N8",0.26890756302521
"70_7","nuc_4mer","HA","H5N1",1
"70_7","nuc_4mer","HA","H5N6",1
"70_7","nuc_4mer","HA","H7N3",1
"70_7","nuc_4mer","HA","H7N4",1
"70_7","nuc_4mer","HA","H7N7",1
"70_7","nuc_4mer","HA","H7N9",0.622767857142857
"70_7","nuc_4mer","HA","H8N4",0.164473684210526
"70_7","nuc_4mer","HA","H9N2",0.769230769230769
"70_7","nuc_5mer","HA","H10N8",1
"70_7","nuc_5mer","HA","H16N3",0.879245283018868
"70_7","nuc_5mer","HA","H3N8",0
"70_7","nuc_5mer","HA","H4N6",0.932712956335004
"70_7","nuc_5mer","HA","H4N8",0.777310924369748
"70_7","nuc_5mer","HA","H5N1",0.700729927007299
"70_7","nuc_5mer","HA","H5N6",0.916666666666667
"70_7","nuc_5mer","HA","H7N3",0
"70_7","nuc_5mer","HA","H7N4",1
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",1
"70_7","nuc_5mer","HA","H8N4",0.572368421052632
"70_7","nuc_5mer","HA","H9N2",0.0769230769230769
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",0.577358490566038
"70_7","nuc_6mer","HA","H3N8",0
"70_7","nuc_6mer","HA","H4N6",0.911954187544739
"70_7","nuc_6mer","HA","H4N8",0.907563025210084
"70_7","nuc_6mer","HA","H5N1",0.978102189781022
"70_7","nuc_6mer","HA","H5N6",0.916666666666667
"70_7","nuc_6mer","HA","H7N3",0.5
"70_7","nuc_6mer","HA","H7N4",1
"70_7","nuc_6mer","HA","H7N7",1
"70_7","nuc_6mer","HA","H7N9",0.779017857142857
"70_7","nuc_6mer","HA","H8N4",0.506578947368421
"70_7","nuc_6mer","HA","H9N2",0.615384615384615
"70_7","prot_2mer","HA","H10N8",0
"70_7","prot_2mer","HA","H16N3",0
"70_7","prot_2mer","HA","H3N8",0
"70_7","prot_2mer","HA","H4N6",0.829634931997137
"70_7","prot_2mer","HA","H4N8",0.995798319327731
"70_7","prot_2mer","HA","H5N1",0.854014598540146
"70_7","prot_2mer","HA","H5N6",1
"70_7","prot_2mer","HA","H7N3",0.5
"70_7","prot_2mer","HA","H7N4",1
"70_7","prot_2mer","HA","H7N7",1
"70_7","prot_2mer","HA","H7N9",0.225446428571429
"70_7","prot_2mer","HA","H8N4",0.440789473684211
"70_7","prot_2mer","HA","H9N2",0.461538461538462
"70_7","prot_ctdc","HA","H10N8",1
"70_7","prot_ctdc","HA","H16N3",0.988679245283019
"70_7","prot_ctdc","HA","H3N8",0
"70_7","prot_ctdc","HA","H4N6",0.950608446671439
"70_7","prot_ctdc","HA","H4N8",0.987394957983193
"70_7","prot_ctdc","HA","H5N1",0.54014598540146
"70_7","prot_ctdc","HA","H5N6",1
"70_7","prot_ctdc","HA","H7N3",1
"70_7","prot_ctdc","HA","H7N4",1
"70_7","prot_ctdc","HA","H7N7",1
"70_7","prot_ctdc","HA","H7N9",1
"70_7","prot_ctdc","HA","H8N4",0.815789473684211
"70_7","prot_ctdc","HA","H9N2",0.230769230769231
"70_7","prot_ctdd","HA","H10N8",1
"70_7","prot_ctdd","HA","H16N3",0.879245283018868
"70_7","prot_ctdd","HA","H3N8",0.5
"70_7","prot_ctdd","HA","H4N6",0.937723693629205
"70_7","prot_ctdd","HA","H4N8",0.983193277310924
"70_7","prot_ctdd","HA","H5N1",0.81021897810219
"70_7","prot_ctdd","HA","H5N6",1
"70_7","prot_ctdd","HA","H7N3",1
"70_7","prot_ctdd","HA","H7N4",1
"70_7","prot_ctdd","HA","H7N7",1
"70_7","prot_ctdd","HA","H7N9",0.946428571428571
"70_7","prot_ctdd","HA","H8N4",0.934210526315789
"70_7","prot_ctdd","HA","H9N2",0.0769230769230769
"70_7","prot_ctdt","HA","H10N8",0
"70_7","prot_ctdt","HA","H16N3",0.988679245283019
"70_7","prot_ctdt","HA","H3N8",0
"70_7","prot_ctdt","HA","H4N6",0.950608446671439
