"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.013,0.307,0.039,0.29,0.325,0.769,1,0,0.12,0.972,0.107,0.247,0.928,0.247,0.972,0.394,0.231,0.225,0.912,0.54
"70_7","nuc_2mer","HA",0.008,0.228,-0.082,0.212,0.244,0.769,1,0,0.104,0.772,0.064,0.199,0.482,0.199,0.772,0.316,0.231,0.179,0.898,0.418
"70_7","nuc_3mer","HA",0.023,0.656,-0.135,0.637,0.674,0.769,1,0,0.065,0.045,0.84,0.078,0.745,0.078,0.045,0.057,0.231,0.01,0.134,0.442
"70_7","nuc_4mer","HA",0.022,0.773,0.027,0.756,0.788,0.769,0.316,0,0.023,0.018,1,1,0.772,1,0.018,0.035,0.231,0.004,0.004,0.509
"70_7","nuc_5mer","HA",0.01,0.226,-0.042,0.21,0.243,0.769,1,0,0.105,0.883,0.028,0.215,0.446,0.215,0.883,0.346,0.231,0.204,0.951,0.456
"70_7","nuc_6mer","HA",0.024,0.772,0.025,0.756,0.788,0.769,0.333,0,0.023,0.016,1,1,0.771,1,0.016,0.032,0.231,0.004,0.004,0.508
"70_7","prot_2mer","HA",0.032,0.726,-0.064,0.709,0.743,0.769,1,0,0.05,0.013,0.941,0.062,0.76,0.062,0.013,0.021,0.231,0.003,0.048,0.477
"70_7","prot_ctdc","HA",0.008,0.563,0.19,0.543,0.581,0.769,1,0,0.602,0.796,0.492,0.321,0.889,0.321,0.796,0.457,0.231,0.184,0.575,0.644
"70_7","prot_ctdd","HA",0.018,0.528,-0.173,0.509,0.548,0.769,1,0,0.176,0.167,0.637,0.122,0.717,0.122,0.167,0.141,0.231,0.039,0.317,0.402
"70_7","prot_ctdt","HA",0.016,0.537,-0.12,0.518,0.556,0.769,1,0,0.231,0.231,0.629,0.158,0.731,0.158,0.231,0.188,0.231,0.054,0.339,0.43
"70_7","prot_ctriad","HA",0.037,0.771,0.017,0.755,0.787,0.769,0.384,0,0.038,0.011,1,1,0.771,1,0.011,0.022,0.231,0.003,0.003,0.506
"70_7","prot_pseaac","HA",0.01,0.594,0.262,0.575,0.613,0.769,1,0,0.554,0.905,0.501,0.353,0.946,0.353,0.905,0.508,0.231,0.209,0.593,0.703
"70_7","cds_compbias","M1",0.026,0.562,0.114,0.543,0.581,0.769,1,0,0.506,0.612,0.547,0.289,0.824,0.289,0.612,0.393,0.231,0.142,0.49,0.579
"70_7","nuc_2mer","M1",0.02,0.324,-0.221,0.306,0.342,0.769,1,0,0.231,0.337,0.32,0.13,0.615,0.13,0.337,0.187,0.231,0.078,0.601,0.328
"70_7","nuc_3mer","M1",0.029,0.633,0.057,0.614,0.651,0.769,1,0,0.398,0.343,0.72,0.269,0.784,0.269,0.343,0.302,0.231,0.079,0.295,0.531
"70_7","nuc_4mer","M1",0.025,0.657,0.02,0.638,0.675,0.769,1,0.391,0.311,0.236,0.783,0.247,0.773,0.247,0.236,0.242,0.231,0.055,0.221,0.51
"70_7","nuc_5mer","M1",0.022,0.631,0.139,0.613,0.65,0.769,1,0,0.62,0.495,0.673,0.313,0.816,0.313,0.495,0.383,0.231,0.115,0.366,0.584
"70_7","nuc_6mer","M1",0.02,0.288,-0.061,0.271,0.306,0.769,1,0,0.249,0.73,0.155,0.207,0.656,0.207,0.73,0.322,0.231,0.169,0.818,0.443
"70_7","prot_2mer","M1",0.038,0.89,0.668,0.878,0.902,0.769,0,0,0.662,0.66,0.96,0.831,0.904,0.831,0.66,0.736,0.231,0.153,0.184,0.81
"70_7","prot_ctdc","M1",0.037,0.917,0.749,0.906,0.927,0.769,0,0,0.731,0.72,0.976,0.901,0.92,0.901,0.72,0.8,0.231,0.167,0.185,0.848
"70_7","prot_ctdd","M1",0.038,0.782,0.172,0.765,0.797,0.769,0.056,0,0.173,0.159,0.969,0.609,0.793,0.609,0.159,0.252,0.231,0.037,0.06,0.564
"70_7","prot_ctdt","M1",0.035,0.775,0.092,0.758,0.79,0.769,0.239,0,0.117,0.081,0.983,0.595,0.78,0.595,0.081,0.142,0.231,0.019,0.031,0.532
"70_7","prot_ctriad","M1",0.041,0.898,0.687,0.886,0.909,0.769,0,0,0.681,0.657,0.971,0.871,0.904,0.871,0.657,0.749,0.231,0.152,0.175,0.814
"70_7","prot_pseaac","M1",0.038,0.797,0.21,0.782,0.812,0.769,0,0,0.261,0.163,0.988,0.808,0.797,0.808,0.163,0.272,0.231,0.038,0.047,0.576
"70_7","cds_compbias","NA",0.016,0.329,0.034,0.311,0.347,0.769,1,0,0.222,0.913,0.154,0.245,0.854,0.245,0.913,0.386,0.231,0.211,0.862,0.533
"70_7","nuc_2mer","NA",0.013,0.724,0.412,0.707,0.741,0.769,1,0,0.735,0.859,0.684,0.45,0.942,0.45,0.859,0.591,0.231,0.199,0.442,0.771
"70_7","nuc_3mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.014,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_3mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.014,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_4mer","NA",0.011,0.233,-0.003,0.217,0.249,0.769,1,0,0.014,0.989,0.005,0.23,0.588,0.23,0.989,0.374,0.231,0.229,0.994,0.497
"70_7","nuc_5mer","NA",0.017,0.555,-0.103,0.536,0.574,0.769,1,0,0.294,0.23,0.653,0.166,0.738,0.166,0.23,0.193,0.231,0.053,0.32,0.441
"70_7","nuc_6mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.004,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_6mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.004,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","prot_2mer","NA",0.021,0.545,0.155,0.526,0.564,0.769,1,0,0.471,0.751,0.483,0.304,0.866,0.304,0.751,0.433,0.231,0.174,0.571,0.617
"70_7","prot_ctdc","NA",0.027,0.488,-0.248,0.469,0.507,0.769,1,0,0.085,0.113,0.6,0.079,0.692,0.079,0.113,0.093,0.231,0.026,0.333,0.357
"70_7","prot_ctdd","NA",0.036,0.769,0.008,0.753,0.785,0.769,0.474,0,0.017,0.006,0.999,0.667,0.77,0.667,0.006,0.013,0.231,0.001,0.002,0.503
"70_7","prot_ctdt","NA",0.033,0.785,0.399,0.769,0.8,0.769,0.025,0.617,0.678,0.545,0.857,0.534,0.862,0.534,0.545,0.54,0.231,0.126,0.236,0.701
"70_7","prot_ctriad","NA",0.017,0.285,-0.058,0.268,0.303,0.769,1,0,0.167,0.743,0.148,0.208,0.656,0.208,0.743,0.325,0.231,0.172,0.827,0.445
"70_7","prot_pseaac","NA",0.015,0.329,-0.05,0.311,0.347,0.769,1,0,0.221,0.691,0.22,0.211,0.702,0.211,0.691,0.323,0.231,0.16,0.76,0.455
"70_7","cds_compbias","NP",0.018,0.58,0.008,0.561,0.599,0.769,1,0,0.471,0.364,0.645,0.236,0.771,0.236,0.364,0.286,0.231,0.084,0.357,0.505
"70_7","nuc_2mer","NP",0.021,0.688,0.193,0.67,0.706,0.769,1,0,0.518,0.45,0.76,0.361,0.821,0.361,0.45,0.401,0.231,0.104,0.288,0.605
"70_7","nuc_3mer","NP",0.031,0.748,0.13,0.731,0.764,0.769,0.995,0,0.221,0.191,0.915,0.404,0.79,0.404,0.191,0.259,0.231,0.044,0.109,0.553
"70_7","nuc_4mer","NP",0.022,0.666,0.176,0.647,0.683,0.769,1,0,0.539,0.479,0.722,0.341,0.821,0.341,0.479,0.399,0.231,0.111,0.325,0.6
"70_7","nuc_5mer","NP",0.023,0.741,0.2,0.724,0.757,0.769,1,0,0.418,0.312,0.87,0.42,0.808,0.42,0.312,0.358,0.231,0.072,0.172,0.591
"70_7","nuc_6mer","NP",0.034,0.761,0.006,0.744,0.777,0.769,0.827,0,0.08,0.019,0.984,0.273,0.769,0.273,0.019,0.036,0.231,0.004,0.016,0.502
"70_7","prot_2mer","NP",0.039,0.816,0.476,0.801,0.831,0.769,0,0.321,0.669,0.584,0.886,0.607,0.876,0.607,0.584,0.595,0.231,0.135,0.223,0.735
"70_7","prot_ctdc","NP",0.043,0.902,0.705,0.89,0.913,0.769,0,0,0.7,0.693,0.965,0.858,0.912,0.858,0.693,0.766,0.231,0.16,0.187,0.829
"70_7","prot_ctdd","NP",0.043,0.893,0.675,0.881,0.904,0.769,0,0,0.797,0.665,0.962,0.839,0.905,0.839,0.665,0.742,0.231,0.154,0.184,0.813
"70_7","prot_ctdt","NP",0.039,0.9,0.704,0.888,0.911,0.769,0,0,0.748,0.715,0.955,0.828,0.918,0.828,0.715,0.767,0.231,0.166,0.2,0.835
"70_7","prot_ctriad","NP",0.036,0.848,0.571,0.834,0.861,0.769,0,0.728,0.699,0.665,0.903,0.674,0.9,0.674,0.665,0.669,0.231,0.154,0.228,0.784
"70_7","prot_pseaac","NP",0.037,0.841,0.543,0.827,0.855,0.769,0,0.058,0.738,0.625,0.906,0.668,0.889,0.668,0.625,0.645,0.231,0.145,0.216,0.766
"70_7","cds_compbias","NS1",0.018,0.513,-0.073,0.494,0.532,0.769,1,0,0.408,0.343,0.564,0.192,0.74,0.192,0.343,0.246,0.231,0.079,0.414,0.454
"70_7","nuc_2mer","NS1",0.021,0.631,0.153,0.612,0.649,0.769,1,0,0.61,0.524,0.663,0.319,0.822,0.319,0.524,0.397,0.231,0.121,0.38,0.594
"70_7","nuc_3mer","NS1",0.031,0.719,0.005,0.701,0.736,0.769,1,0,0.215,0.099,0.905,0.239,0.769,0.239,0.099,0.14,0.231,0.023,0.096,0.502
"70_7","nuc_4mer","NS1",0.025,0.638,-0.079,0.62,0.656,0.769,1,0.001,0.267,0.136,0.789,0.163,0.752,0.163,0.136,0.148,0.231,0.031,0.193,0.463
"70_7","nuc_5mer","NS1",0.028,0.742,0.037,0.725,0.759,0.769,0.999,0,0.273,0.089,0.939,0.306,0.774,0.306,0.089,0.138,0.231,0.021,0.067,0.514
"70_7","nuc_6mer","NS1",0.03,0.381,-0.225,0.362,0.4,0.769,1,0,0.172,0.264,0.416,0.12,0.652,0.12,0.264,0.165,0.231,0.061,0.51,0.34
"70_7","prot_2mer","NS1",0.033,0.715,0.187,0.698,0.732,0.769,1,0.327,0.58,0.362,0.822,0.38,0.811,0.38,0.362,0.371,0.231,0.084,0.221,0.592
"70_7","prot_ctdc","NS1",0.037,0.838,0.516,0.823,0.852,0.769,0,0,0.593,0.566,0.92,0.68,0.876,0.68,0.566,0.618,0.231,0.131,0.193,0.743
"70_7","prot_ctdd","NS1",0.036,0.879,0.626,0.866,0.891,0.769,0,0,0.687,0.612,0.959,0.818,0.891,0.818,0.612,0.7,0.231,0.142,0.173,0.785
"70_7","prot_ctdt","NS1",0.037,0.837,0.505,0.822,0.851,0.769,0,0,0.577,0.544,0.925,0.686,0.871,0.686,0.544,0.606,0.231,0.126,0.184,0.734
"70_7","prot_ctriad","NS1",0.033,0.811,0.495,0.795,0.826,0.769,0,0,0.738,0.668,0.854,0.579,0.895,0.579,0.668,0.621,0.231,0.155,0.267,0.761
"70_7","prot_pseaac","NS1",0.036,0.814,0.452,0.799,0.828,0.769,0,0,0.734,0.534,0.898,0.612,0.865,0.612,0.534,0.57,0.231,0.124,0.202,0.716
"70_7","cds_compbias","PA",0.031,0.592,-0.157,0.573,0.61,0.769,1,0.694,0.183,0.107,0.738,0.109,0.733,0.109,0.107,0.108,0.231,0.025,0.226,0.422
"70_7","nuc_2mer","PA",0.013,0.283,-0.054,0.266,0.3,0.769,1,0,0.317,0.757,0.14,0.21,0.657,0.21,0.757,0.328,0.231,0.175,0.836,0.449
"70_7","nuc_3mer","PA",0.041,0.781,0.088,0.764,0.796,0.769,0.074,0,0.087,0.063,0.997,0.848,0.779,0.848,0.063,0.117,0.231,0.015,0.017,0.53
"70_7","nuc_4mer","PA",0.029,0.71,-0.056,0.692,0.727,0.769,1,0,0.059,0.047,0.91,0.136,0.76,0.136,0.047,0.07,0.231,0.011,0.08,0.478
"70_7","nuc_5mer","PA",0.017,0.474,-0.138,0.455,0.493,0.769,1,0,0.252,0.293,0.528,0.158,0.713,0.158,0.293,0.205,0.231,0.068,0.43,0.411
"70_7","nuc_6mer","PA",0.044,0.775,0.047,0.759,0.791,0.769,0.211,0,0.077,0.032,0.999,0.909,0.774,0.909,0.032,0.062,0.231,0.007,0.008,0.516
"70_7","prot_2mer","PA",0.026,0.818,0.533,0.802,0.832,0.769,0,0,0.866,0.748,0.839,0.583,0.917,0.583,0.748,0.655,0.231,0.173,0.297,0.793
