"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",1
"70_7","cds_compbias","HA","H16N3",0.0113207547169811
"70_7","cds_compbias","HA","H3N8",1
"70_7","cds_compbias","HA","H4N6",0.780243378668576
"70_7","cds_compbias","HA","H4N8",0.798319327731092
"70_7","cds_compbias","HA","H5N1",0.467153284671533
"70_7","cds_compbias","HA","H5N6",0.75
"70_7","cds_compbias","HA","H7N3",1
"70_7","cds_compbias","HA","H7N4",0
"70_7","cds_compbias","HA","H7N7",1
"70_7","cds_compbias","HA","H7N9",0.986607142857143
"70_7","cds_compbias","HA","H8N4",0
"70_7","cds_compbias","HA","H9N2",1
"70_7","nuc_2mer","HA","H10N8",0.5
"70_7","nuc_2mer","HA","H16N3",0.0264150943396226
"70_7","nuc_2mer","HA","H3N8",1
"70_7","nuc_2mer","HA","H4N6",0
"70_7","nuc_2mer","HA","H4N8",0.773109243697479
"70_7","nuc_2mer","HA","H5N1",0.583941605839416
"70_7","nuc_2mer","HA","H5N6",0
"70_7","nuc_2mer","HA","H7N3",0.5
"70_7","nuc_2mer","HA","H7N4",1
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",0.975446428571429
"70_7","nuc_2mer","HA","H8N4",0.203947368421053
"70_7","nuc_2mer","HA","H9N2",0.769230769230769
"70_7","nuc_3mer","HA","H10N8",0
"70_7","nuc_3mer","HA","H16N3",1
"70_7","nuc_3mer","HA","H3N8",1
"70_7","nuc_3mer","HA","H4N6",1
"70_7","nuc_3mer","HA","H4N8",0.932773109243697
"70_7","nuc_3mer","HA","H5N1",0
"70_7","nuc_3mer","HA","H5N6",0.166666666666667
"70_7","nuc_3mer","HA","H7N3",0
"70_7","nuc_3mer","HA","H7N4",0
"70_7","nuc_3mer","HA","H7N7",0
"70_7","nuc_3mer","HA","H7N9",0.0870535714285714
"70_7","nuc_3mer","HA","H8N4",0
"70_7","nuc_3mer","HA","H9N2",0
"70_7","nuc_4mer","HA","H10N8",1
"70_7","nuc_4mer","HA","H16N3",0
"70_7","nuc_4mer","HA","H3N8",1
"70_7","nuc_4mer","HA","H4N6",0.852541159627774
"70_7","nuc_4mer","HA","H4N8",0.903361344537815
"70_7","nuc_4mer","HA","H5N1",0.328467153284672
"70_7","nuc_4mer","HA","H5N6",1
"70_7","nuc_4mer","HA","H7N3",1
"70_7","nuc_4mer","HA","H7N4",1
"70_7","nuc_4mer","HA","H7N7",0
"70_7","nuc_4mer","HA","H7N9",0.0111607142857143
"70_7","nuc_4mer","HA","H8N4",0
"70_7","nuc_4mer","HA","H9N2",0.153846153846154
"70_7","nuc_5mer","HA","H10N8",1
"70_7","nuc_5mer","HA","H16N3",0.00377358490566038
"70_7","nuc_5mer","HA","H3N8",1
"70_7","nuc_5mer","HA","H4N6",0.494631352899069
"70_7","nuc_5mer","HA","H4N8",0.277310924369748
"70_7","nuc_5mer","HA","H5N1",0.299270072992701
"70_7","nuc_5mer","HA","H5N6",1
"70_7","nuc_5mer","HA","H7N3",1
"70_7","nuc_5mer","HA","H7N4",1
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",0.814732142857143
"70_7","nuc_5mer","HA","H8N4",0.0789473684210526
"70_7","nuc_5mer","HA","H9N2",0.615384615384615
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",1
"70_7","nuc_6mer","HA","H3N8",0
"70_7","nuc_6mer","HA","H4N6",1
"70_7","nuc_6mer","HA","H4N8",1
"70_7","nuc_6mer","HA","H5N1",0
"70_7","nuc_6mer","HA","H5N6",0.833333333333333
"70_7","nuc_6mer","HA","H7N3",0.5
"70_7","nuc_6mer","HA","H7N4",0
"70_7","nuc_6mer","HA","H7N7",0
"70_7","nuc_6mer","HA","H7N9",0
"70_7","nuc_6mer","HA","H8N4",0.0460526315789474
"70_7","nuc_6mer","HA","H9N2",0
"70_7","prot_2mer","HA","H10N8",0
"70_7","prot_2mer","HA","H16N3",0.0716981132075472
"70_7","prot_2mer","HA","H3N8",0
"70_7","prot_2mer","HA","H4N6",0.944166070150322
