"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0,0.874,0.681,0.861,0.887,0.769,0,0,0.946,0.883,0.871,0.674,0.961,0.674,0.883,0.765,0.231,0.204,0.303,0.877
"70_7","nuc_2mer","HA",0,0.527,0.084,0.508,0.546,0.769,1,0,0.56,0.625,0.498,0.272,0.815,0.272,0.625,0.379,0.231,0.145,0.531,0.561
"70_7","nuc_3mer","HA",0,0.786,0.51,0.77,0.802,0.769,0.016,0,0.804,0.861,0.764,0.523,0.948,0.523,0.861,0.651,0.231,0.199,0.381,0.812
"70_7","nuc_4mer","HA",0,0.729,0.426,0.712,0.746,0.769,1,0,0.782,0.882,0.683,0.456,0.95,0.456,0.882,0.601,0.231,0.204,0.448,0.782
"70_7","nuc_5mer","HA",0,0.704,0.38,0.687,0.722,0.769,1,0,0.754,0.848,0.661,0.43,0.935,0.43,0.848,0.57,0.231,0.196,0.457,0.755
"70_7","nuc_6mer","HA",0,0.849,0.617,0.835,0.862,0.769,0,0,0.895,0.827,0.856,0.633,0.943,0.633,0.827,0.717,0.231,0.191,0.302,0.841
"70_7","prot_2mer","HA",0,0.899,0.737,0.887,0.91,0.769,0,0,0.936,0.9,0.899,0.728,0.967,0.728,0.9,0.805,0.231,0.208,0.286,0.899
"70_7","prot_ctdc","HA",0,0.85,0.629,0.836,0.864,0.769,0,0,0.914,0.869,0.845,0.627,0.955,0.627,0.869,0.729,0.231,0.201,0.321,0.857
"70_7","prot_ctdd","HA",0,0.428,0.11,0.409,0.447,0.769,1,0,0.45,0.919,0.28,0.278,0.92,0.278,0.919,0.426,0.231,0.213,0.766,0.599
"70_7","prot_ctdt","HA",0,0.766,0.483,0.75,0.782,0.769,0.619,0,0.816,0.882,0.731,0.497,0.954,0.497,0.882,0.636,0.231,0.204,0.41,0.807
"70_7","prot_ctriad","HA",0,0.873,0.658,0.86,0.886,0.769,0,0,0.853,0.785,0.9,0.703,0.933,0.703,0.785,0.742,0.231,0.182,0.258,0.842
"70_7","prot_pseaac","HA",0,0.382,-0.022,0.364,0.401,0.769,1,0,0.435,0.667,0.296,0.222,0.747,0.222,0.667,0.333,0.231,0.154,0.695,0.481
"70_7","cds_compbias","M1",0,0.744,0.4,0.727,0.76,0.769,0.999,0,0.783,0.733,0.747,0.466,0.903,0.466,0.733,0.57,0.231,0.17,0.364,0.74
"70_7","nuc_2mer","M1",0,0.683,0.263,0.665,0.701,0.769,1,0,0.692,0.615,0.704,0.385,0.859,0.385,0.615,0.473,0.231,0.142,0.37,0.659
"70_7","nuc_3mer","M1",0,0.861,0.646,0.848,0.874,0.769,0,0,0.939,0.846,0.866,0.655,0.949,0.655,0.846,0.739,0.231,0.196,0.299,0.856
"70_7","nuc_4mer","M1",0,0.903,0.746,0.891,0.914,0.769,0,0,0.961,0.893,0.906,0.741,0.966,0.741,0.893,0.81,0.231,0.207,0.279,0.9
"70_7","nuc_5mer","M1",0,0.862,0.666,0.849,0.875,0.769,0,0,0.951,0.93,0.842,0.639,0.976,0.639,0.93,0.758,0.231,0.215,0.337,0.886
"70_7","nuc_6mer","M1",0,0.849,0.602,0.835,0.863,0.769,0,0,0.81,0.767,0.874,0.648,0.926,0.648,0.767,0.702,0.231,0.178,0.274,0.821
"70_7","prot_2mer","M1",0.021,0.937,0.805,0.927,0.946,0.769,0,0,0.779,0.739,0.996,0.983,0.927,0.983,0.739,0.844,0.231,0.171,0.174,0.868
"70_7","prot_ctdc","M1",0.021,0.931,0.785,0.92,0.94,0.769,0,0,0.752,0.714,0.996,0.982,0.92,0.982,0.714,0.827,0.231,0.165,0.168,0.855
"70_7","prot_ctdd","M1",0.021,0.948,0.841,0.939,0.956,0.769,0,0,0.801,0.777,1,0.998,0.937,0.998,0.777,0.874,0.231,0.18,0.18,0.888
"70_7","prot_ctdt","M1",0.025,0.935,0.799,0.925,0.944,0.769,0,0,0.766,0.73,0.997,0.985,0.925,0.985,0.73,0.838,0.231,0.169,0.172,0.863
"70_7","prot_ctriad","M1",0.02,0.946,0.84,0.937,0.954,0.769,0,0,0.83,0.807,0.988,0.952,0.945,0.952,0.807,0.874,0.231,0.187,0.196,0.898
"70_7","prot_pseaac","M1",0.022,0.921,0.748,0.91,0.931,0.769,0,0,0.731,0.662,0.999,0.995,0.907,0.995,0.662,0.795,0.231,0.153,0.154,0.83
"70_7","cds_compbias","NA",0,0.597,0.233,0.578,0.616,0.769,1,0,0.615,0.811,0.533,0.343,0.903,0.343,0.811,0.482,0.231,0.188,0.546,0.672
"70_7","nuc_2mer","NA",0.002,0.616,-0.161,0.597,0.635,0.769,1,0,0.152,0.07,0.781,0.087,0.736,0.087,0.07,0.077,0.231,0.016,0.185,0.425
"70_7","nuc_3mer","NA",0.05,0.749,-0.035,0.732,0.765,0.769,0.993,0,0.052,0.003,0.973,0.035,0.764,0.035,0.003,0.006,0.231,0.001,0.021,0.488
"70_7","nuc_4mer","NA",0,0.247,-0.222,0.231,0.264,0.769,1,0,0.164,0.421,0.194,0.136,0.527,0.136,0.421,0.205,0.231,0.097,0.716,0.308
"70_7","nuc_5mer","NA",0,0.36,-0.093,0.342,0.379,0.769,1,0,0.376,0.542,0.306,0.19,0.689,0.19,0.542,0.282,0.231,0.125,0.659,0.424
"70_7","nuc_6mer","NA",0,0.503,0.052,0.484,0.523,0.769,1,0,0.494,0.604,0.473,0.257,0.799,0.257,0.604,0.36,0.231,0.14,0.545,0.538
"70_7","prot_2mer","NA",0,0.746,0.393,0.729,0.763,0.769,0.997,0,0.663,0.702,0.76,0.468,0.894,0.468,0.702,0.562,0.231,0.163,0.347,0.731
"70_7","prot_ctdc","NA",0,0.679,0.255,0.661,0.696,0.769,1,0,0.609,0.61,0.699,0.379,0.856,0.379,0.61,0.468,0.231,0.141,0.372,0.655
"70_7","prot_ctdd","NA",0,0.819,0.554,0.804,0.834,0.769,0,0,0.842,0.806,0.824,0.579,0.934,0.579,0.806,0.674,0.231,0.187,0.322,0.815
"70_7","prot_ctdt","NA",0,0.797,0.532,0.782,0.812,0.769,0,0,0.857,0.874,0.774,0.538,0.953,0.538,0.874,0.666,0.231,0.202,0.376,0.824
"70_7","prot_ctriad","NA",0,0.75,0.44,0.733,0.766,0.769,0.989,0,0.817,0.825,0.727,0.477,0.932,0.477,0.825,0.604,0.231,0.191,0.401,0.776
"70_7","prot_pseaac","NA",0,0.727,0.413,0.71,0.744,0.769,1,0,0.75,0.848,0.691,0.453,0.938,0.453,0.848,0.59,0.231,0.196,0.434,0.769
"70_7","cds_compbias","NP",0,0.828,0.552,0.813,0.842,0.769,0,0,0.846,0.739,0.855,0.605,0.916,0.605,0.739,0.666,0.231,0.171,0.283,0.797
"70_7","nuc_2mer","NP",0,0.694,0.3,0.676,0.711,0.769,1,0,0.725,0.665,0.703,0.403,0.874,0.403,0.665,0.502,0.231,0.154,0.382,0.684
"70_7","nuc_3mer","NP",0,0.639,0.181,0.62,0.657,0.769,1,0,0.679,0.563,0.662,0.334,0.834,0.334,0.563,0.419,0.231,0.13,0.39,0.612
"70_7","nuc_4mer","NP",0,0.812,0.546,0.797,0.827,0.769,0,0,0.864,0.825,0.808,0.565,0.939,0.565,0.825,0.671,0.231,0.191,0.338,0.817
"70_7","nuc_5mer","NP",0,0.8,0.525,0.784,0.815,0.769,0,0,0.835,0.832,0.79,0.544,0.94,0.544,0.832,0.658,0.231,0.193,0.354,0.811
"70_7","nuc_6mer","NP",0.001,0.91,0.757,0.899,0.921,0.769,0,0,0.915,0.859,0.926,0.777,0.956,0.777,0.859,0.816,0.231,0.199,0.256,0.893
"70_7","prot_2mer","NP",0.002,0.916,0.77,0.905,0.926,0.769,0,0.001,0.929,0.858,0.933,0.795,0.956,0.795,0.858,0.825,0.231,0.199,0.25,0.895
"70_7","prot_ctdc","NP",0,0.891,0.725,0.879,0.903,0.769,0,0,0.959,0.93,0.879,0.699,0.977,0.699,0.93,0.798,0.231,0.215,0.308,0.905
"70_7","prot_ctdd","NP",0,0.84,0.575,0.826,0.854,0.769,0,0,0.805,0.733,0.873,0.634,0.916,0.634,0.733,0.68,0.231,0.17,0.267,0.803
"70_7","prot_ctdt","NP",0.001,0.882,0.685,0.869,0.894,0.769,0,0,0.911,0.824,0.899,0.711,0.944,0.711,0.824,0.763,0.231,0.191,0.268,0.861
"70_7","prot_ctriad","NP",0.001,0.717,0.347,0.7,0.734,0.769,1,0,0.76,0.701,0.722,0.432,0.889,0.432,0.701,0.534,0.231,0.162,0.376,0.711
"70_7","prot_pseaac","NP",0,0.797,0.501,0.781,0.812,0.769,0,0,0.864,0.765,0.807,0.544,0.919,0.544,0.765,0.636,0.231,0.177,0.326,0.786
"70_7","cds_compbias","NS1",0,0.785,0.5,0.769,0.801,0.769,0.02,0,0.85,0.83,0.772,0.523,0.938,0.523,0.83,0.642,0.231,0.192,0.367,0.801
"70_7","nuc_2mer","NS1",0.001,0.84,0.597,0.826,0.854,0.769,0,0,0.905,0.816,0.848,0.618,0.939,0.618,0.816,0.703,0.231,0.189,0.306,0.832
"70_7","nuc_3mer","NS1",0,0.813,0.547,0.797,0.827,0.769,0,0,0.858,0.828,0.808,0.565,0.94,0.565,0.828,0.672,0.231,0.192,0.339,0.818
"70_7","nuc_4mer","NS1",0,0.687,0.293,0.669,0.705,0.769,1,0,0.75,0.672,0.692,0.396,0.875,0.396,0.672,0.498,0.231,0.155,0.392,0.682
"70_7","nuc_5mer","NS1",0,0.84,0.575,0.826,0.854,0.769,0,0,0.81,0.736,0.871,0.633,0.916,0.633,0.736,0.681,0.231,0.17,0.269,0.804
"70_7","nuc_6mer","NS1",0,0.707,0.32,0.69,0.725,0.769,1,0,0.716,0.668,0.719,0.418,0.878,0.418,0.668,0.514,0.231,0.155,0.37,0.694
"70_7","prot_2mer","NS1",0,0.881,0.692,0.868,0.893,0.769,0,0,0.929,0.872,0.883,0.692,0.958,0.692,0.872,0.772,0.231,0.202,0.292,0.878
"70_7","prot_ctdc","NS1",0,0.874,0.69,0.861,0.887,0.769,0,0,0.938,0.93,0.857,0.662,0.976,0.662,0.93,0.774,0.231,0.215,0.325,0.894
"70_7","prot_ctdd","NS1",0,0.811,0.525,0.796,0.826,0.769,0,0,0.827,0.761,0.827,0.569,0.92,0.569,0.761,0.651,0.231,0.176,0.309,0.794
"70_7","prot_ctdt","NS1",0,0.912,0.758,0.9,0.922,0.769,0,0.001,0.938,0.85,0.93,0.786,0.954,0.786,0.85,0.816,0.231,0.197,0.25,0.89
"70_7","prot_ctriad","NS1",0.001,0.729,0.395,0.712,0.746,0.769,1,0,0.778,0.786,0.712,0.451,0.917,0.451,0.786,0.573,0.231,0.182,0.404,0.749
"70_7","prot_pseaac","NS1",0.001,0.888,0.71,0.875,0.899,0.769,0,0,0.949,0.887,0.888,0.704,0.963,0.704,0.887,0.785,0.231,0.205,0.291,0.887
"70_7","cds_compbias","PA",0,0.716,0.353,0.698,0.733,0.769,1,0,0.759,0.723,0.713,0.432,0.895,0.432,0.723,0.541,0.231,0.167,0.388,0.718
"70_7","nuc_2mer","PA",0,0.755,0.441,0.738,0.771,0.769,0.952,0,0.81,0.803,0.741,0.482,0.926,0.482,0.803,0.603,0.231,0.186,0.385,0.772
"70_7","nuc_3mer","PA",0,0.526,0.08,0.507,0.545,0.769,1,0,0.56,0.617,0.499,0.27,0.812,0.27,0.617,0.376,0.231,0.143,0.528,0.558
"70_7","nuc_4mer","PA",0,0.674,0.324,0.656,0.692,0.769,1,0,0.72,0.803,0.635,0.399,0.914,0.399,0.803,0.533,0.231,0.186,0.466,0.719
"70_7","nuc_5mer","PA",0,0.824,0.548,0.809,0.838,0.769,0,0,0.853,0.757,0.844,0.593,0.92,0.593,0.757,0.665,0.231,0.175,0.296,0.8
"70_7","nuc_6mer","PA",0,0.694,0.315,0.676,0.711,0.769,1,0,0.685,0.704,0.691,0.407,0.886,0.407,0.704,0.516,0.231,0.163,0.4,0.697
"70_7","prot_2mer","PA",0,0.833,0.583,0.818,0.847,0.769,0,0,0.895,0.82,0.836,0.601,0.939,0.601,0.82,0.694,0.231,0.19,0.316,0.828
"70_7","prot_ctdc","PA",0,0.753,0.386,0.736,0.769,0.769,0.971,0,0.652,0.654,0.783,0.476,0.882,0.476,0.654,0.551,0.231,0.151,0.318,0.718
"70_7","prot_ctdd","PA",0,0.791,0.454,0.775,0.807,0.769,0.003,0,0.763,0.655,0.832,0.541,0.889,0.541,0.655,0.593,0.231,0.152,0.281,0.744
"70_7","prot_ctdt","PA",0,0.81,0.505,0.795,0.825,0.769,0,0,0.77,0.701,0.844,0.574,0.903,0.574,0.701,0.631,0.231,0.162,0.282,0.772
"70_7","prot_ctriad","PA",0,0.736,0.358,0.719,0.753,0.769,1,0,0.661,0.654,0.761,0.451,0.879,0.451,0.654,0.534,0.231,0.151,0.335,0.707
"70_7","prot_pseaac","PA",0,0.807,0.544,0.791,0.822,0.769,0,0,0.879,0.854,0.792,0.553,0.948,0.553,0.854,0.672,0.231,0.198,0.357,0.823
"70_7","cds_compbias","PB1",0,0.73,0.395,0.713,0.747,0.769,1,0,0.817,0.782,0.714,0.452,0.916,0.452,0.782,0.573,0.231,0.181,0.4,0.748
"70_7","nuc_2mer","PB1",0,0.779,0.421,0.762,0.794,0.769,0.112,0,0.71,0.629,0.824,0.518,0.881,0.518,0.629,0.568,0.231,0.146,0.281,0.727
"70_7","nuc_3mer","PB1",0,0.783,0.451,0.767,0.798,0.769,0.042,0,0.805,0.693,0.81,0.523,0.897,0.523,0.693,0.596,0.231,0.16,0.306,0.751
"70_7","nuc_4mer","PB1",0,0.745,0.398,0.728,0.761,0.769,0.998,0,0.809,0.723,0.751,0.467,0.9,0.467,0.723,0.568,0.231,0.167,0.358,0.737
"70_7","nuc_5mer","PB1",0,0.837,0.586,0.823,0.851,0.769,0,0,0.911,0.798,0.849,0.615,0.933,0.615,0.798,0.694,0.231,0.185,0.3,0.824
"70_7","nuc_6mer","PB1",0,0.899,0.711,0.886,0.91,0.769,0,0.224,0.872,0.764,0.939,0.791,0.93,0.791,0.764,0.777,0.231,0.177,0.224,0.851
"70_7","prot_2mer","PB1",0,0.886,0.696,0.873,0.898,0.769,0,0,0.896,0.833,0.902,0.718,0.947,0.718,0.833,0.772,0.231,0.193,0.269,0.867
"70_7","prot_ctdc","PB1",0,0.87,0.661,0.857,0.883,0.769,0,0,0.881,0.828,0.883,0.681,0.945,0.681,0.828,0.747,0.231,0.192,0.282,0.856
"70_7","prot_ctdd","PB1",0,0.888,0.715,0.875,0.9,0.769,0,0,0.955,0.909,0.882,0.698,0.97,0.698,0.909,0.79,0.231,0.21,0.301,0.895
"70_7","prot_ctdt","PB1",0,0.885,0.699,0.872,0.897,0.769,0,0,0.93,0.861,0.892,0.706,0.955,0.706,0.861,0.776,0.231,0.199,0.282,0.876
"70_7","prot_ctriad","PB1",0,0.87,0.664,0.857,0.883,0.769,0,0,0.89,0.838,0.88,0.678,0.948,0.678,0.838,0.75,0.231,0.194,0.286,0.859
"70_7","prot_pseaac","PB1",0,0.79,0.496,0.774,0.806,0.769,0.004,0,0.86,0.791,0.79,0.532,0.926,0.532,0.791,0.636,0.231,0.183,0.345,0.791
"70_7","cds_compbias","PB2",0,0.835,0.586,0.82,0.849,0.769,0,0,0.904,0.819,0.84,0.606,0.939,0.606,0.819,0.696,0.231,0.19,0.313,0.829
