"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.783,0.737,0.349,0.72,0.754,0.769,1,0,0.65,0.625,0.771,0.451,0.872,0.451,0.625,0.524,0.231,0.145,0.321,0.698
"70_7","nuc_2mer","HA",0.852,0.613,-0.072,0.595,0.632,0.769,1,0.474,0.254,0.184,0.743,0.178,0.751,0.178,0.184,0.181,0.231,0.043,0.24,0.464
"70_7","nuc_3mer","HA",0.77,0.68,0.053,0.662,0.697,0.769,1,0.003,0.32,0.238,0.813,0.277,0.78,0.277,0.238,0.256,0.231,0.055,0.199,0.525
"70_7","nuc_4mer","HA",0.778,0.92,0.762,0.909,0.93,0.769,0,0,0.761,0.749,0.971,0.887,0.928,0.887,0.749,0.812,0.231,0.173,0.196,0.86
"70_7","nuc_5mer","HA",0.843,0.707,-0.094,0.69,0.725,0.769,1,0,0.042,0.013,0.917,0.045,0.755,0.045,0.013,0.02,0.231,0.003,0.067,0.465
"70_7","nuc_6mer","HA",0.909,0.936,0.802,0.926,0.945,0.769,0,0,0.75,0.725,1,1,0.923,1,0.725,0.841,0.231,0.168,0.168,0.862
"70_7","prot_2mer","HA",0.807,0.758,-0.009,0.741,0.774,0.769,0.912,0,0.04,0.011,0.982,0.163,0.767,0.163,0.011,0.021,0.231,0.003,0.016,0.497
"70_7","prot_ctdc","HA",0.728,0.251,-0.054,0.235,0.268,0.769,1,0,0.124,0.807,0.084,0.21,0.591,0.21,0.807,0.333,0.231,0.187,0.891,0.446
"70_7","prot_ctdd","HA",0.794,0.289,-0.063,0.272,0.307,0.769,1,0,0.183,0.723,0.158,0.206,0.655,0.206,0.723,0.32,0.231,0.167,0.814,0.441
"70_7","prot_ctdt","HA",0.811,0.322,-0.067,0.304,0.34,0.769,1,0,0.28,0.66,0.22,0.203,0.683,0.203,0.66,0.311,0.231,0.153,0.752,0.44
"70_7","prot_ctriad","HA",0.784,0.734,-0.016,0.717,0.751,0.769,1,0,0.083,0.047,0.941,0.193,0.766,0.193,0.047,0.076,0.231,0.011,0.056,0.494
"70_7","prot_pseaac","HA",0.917,0.72,-0.043,0.702,0.737,0.769,1,0,0.093,0.044,0.923,0.147,0.762,0.147,0.044,0.067,0.231,0.01,0.069,0.484
"70_7","cds_compbias","M1",0.695,0.385,-0.234,0.367,0.404,0.769,1,0,0.13,0.244,0.428,0.114,0.653,0.114,0.244,0.155,0.231,0.057,0.496,0.336
"70_7","nuc_2mer","M1",0.484,0.238,-0.009,0.222,0.255,0.769,1,0,0.097,0.96,0.021,0.228,0.632,0.228,0.96,0.368,0.231,0.222,0.975,0.49
"70_7","nuc_3mer","M1",0.784,0.675,-0.028,0.657,0.693,0.769,1,0,0.173,0.139,0.836,0.204,0.763,0.204,0.139,0.165,0.231,0.032,0.158,0.488
"70_7","nuc_4mer","M1",0.82,0.706,-0.07,0.689,0.724,0.769,1,0,0.154,0.039,0.907,0.112,0.758,0.112,0.039,0.058,0.231,0.009,0.08,0.473
"70_7","nuc_5mer","M1",0.703,0.262,-0.06,0.245,0.279,0.769,1,0,0.227,0.775,0.107,0.207,0.613,0.207,0.775,0.327,0.231,0.179,0.866,0.441
"70_7","nuc_6mer","M1",0.856,0.836,0.565,0.822,0.85,0.769,0,0,0.724,0.73,0.868,0.626,0.914,0.626,0.73,0.674,0.231,0.169,0.27,0.799
"70_7","prot_2mer","M1",0.832,0.733,0.133,0.716,0.75,0.769,1,0,0.209,0.23,0.885,0.376,0.792,0.376,0.23,0.285,0.231,0.053,0.142,0.557
"70_7","prot_ctdc","M1",0.852,0.528,-0.223,0.509,0.547,0.769,1,0,0.076,0.102,0.656,0.082,0.708,0.082,0.102,0.091,0.231,0.024,0.288,0.379
"70_7","prot_ctdd","M1",0.86,0.707,-0.008,0.689,0.724,0.769,1,0,0.097,0.105,0.888,0.22,0.767,0.22,0.105,0.142,0.231,0.024,0.11,0.497
"70_7","prot_ctdt","M1",0.862,0.788,0.217,0.772,0.804,0.769,0.008,0,0.208,0.199,0.966,0.637,0.8,0.637,0.199,0.303,0.231,0.046,0.072,0.582
"70_7","prot_ctriad","M1",0.85,0.715,0.06,0.697,0.732,0.769,1,0,0.163,0.173,0.878,0.3,0.779,0.3,0.173,0.219,0.231,0.04,0.134,0.526
"70_7","prot_pseaac","M1",0.815,0.703,-0.012,0.685,0.72,0.769,1,0,0.098,0.108,0.882,0.216,0.767,0.216,0.108,0.144,0.231,0.025,0.116,0.495
"70_7","cds_compbias","NA",0.766,0.587,-0.052,0.568,0.606,0.769,1,0,0.322,0.256,0.687,0.198,0.754,0.198,0.256,0.223,0.231,0.059,0.3,0.471
"70_7","nuc_2mer","NA",0.817,0.404,0.037,0.385,0.423,0.769,1,0,0.385,0.772,0.293,0.247,0.81,0.247,0.772,0.375,0.231,0.179,0.722,0.532
"70_7","nuc_3mer","NA",0.812,0.892,0.679,0.879,0.903,0.769,0,0,0.738,0.693,0.952,0.812,0.911,0.812,0.693,0.748,0.231,0.16,0.197,0.822
"70_7","nuc_4mer","NA",0.829,0.908,0.728,0.896,0.919,0.769,0,0,0.738,0.731,0.961,0.85,0.922,0.85,0.731,0.786,0.231,0.169,0.199,0.846
"70_7","nuc_5mer","NA",0.757,0.324,-0.005,0.307,0.342,0.769,1,0,0.346,0.812,0.177,0.229,0.758,0.229,0.812,0.358,0.231,0.188,0.82,0.495
"70_7","nuc_6mer","NA",0.797,0.889,0.687,0.876,0.9,0.769,0,0.908,0.872,0.757,0.928,0.761,0.927,0.761,0.757,0.759,0.231,0.175,0.23,0.843
"70_7","prot_2mer","NA",0.269,0.234,0.001,0.218,0.25,0.769,1,0,0.031,1,0.003,0.232,1,0.232,1,0.377,0.231,0.231,0.998,0.501
"70_7","prot_ctdc","NA",0.914,0.475,-0.169,0.456,0.494,0.769,1,0,0.2,0.241,0.546,0.138,0.705,0.138,0.241,0.175,0.231,0.056,0.405,0.393
"70_7","prot_ctdd","NA",0.826,0.76,0.208,0.743,0.776,0.769,0.859,0,0.326,0.27,0.907,0.468,0.805,0.468,0.27,0.343,0.231,0.063,0.134,0.589
"70_7","prot_ctdt","NA",0.632,0.245,-0.01,0.229,0.262,0.769,1,0,0.149,0.945,0.035,0.228,0.676,0.228,0.945,0.367,0.231,0.219,0.961,0.49
"70_7","prot_ctriad","NA",0.734,0.433,-0.189,0.414,0.452,0.769,1,0,0.179,0.262,0.485,0.133,0.686,0.133,0.262,0.176,0.231,0.061,0.457,0.374
"70_7","prot_pseaac","NA",0.975,0.722,0.029,0.705,0.739,0.769,1,0,0.199,0.12,0.904,0.272,0.773,0.272,0.12,0.166,0.231,0.028,0.102,0.512
"70_7","cds_compbias","NP",0.843,0.567,0.021,0.548,0.586,0.769,1,0,0.413,0.413,0.614,0.243,0.776,0.243,0.413,0.306,0.231,0.096,0.393,0.513
"70_7","nuc_2mer","NP",0.91,0.517,-0.041,0.498,0.536,0.769,1,0,0.39,0.392,0.555,0.209,0.752,0.209,0.392,0.273,0.231,0.091,0.433,0.473
"70_7","nuc_3mer","NP",0.826,0.749,0.078,0.732,0.765,0.769,0.993,0,0.158,0.123,0.937,0.371,0.78,0.371,0.123,0.185,0.231,0.028,0.077,0.53
"70_7","nuc_4mer","NP",0.842,0.658,-0.046,0.64,0.676,0.769,1,0,0.234,0.144,0.813,0.189,0.759,0.189,0.144,0.163,0.231,0.033,0.177,0.479
"70_7","nuc_5mer","NP",0.9,0.743,0.324,0.726,0.76,0.769,0.999,0,0.591,0.542,0.804,0.455,0.854,0.455,0.542,0.494,0.231,0.125,0.276,0.673
"70_7","nuc_6mer","NP",0.872,0.934,0.797,0.924,0.944,0.769,0,0,0.747,0.727,0.997,0.987,0.924,0.987,0.727,0.837,0.231,0.168,0.17,0.862
"70_7","prot_2mer","NP",0.967,0.729,-0.062,0.712,0.746,0.769,1,0,0.035,0.01,0.946,0.051,0.76,0.051,0.01,0.016,0.231,0.002,0.044,0.478
"70_7","prot_ctdc","NP",0.849,0.687,-0.028,0.669,0.704,0.769,1,0,0.127,0.118,0.858,0.2,0.764,0.2,0.118,0.149,0.231,0.027,0.137,0.488
"70_7","prot_ctdd","NP",0.949,0.647,-0.1,0.628,0.665,0.769,1,0,0.107,0.097,0.812,0.135,0.749,0.135,0.097,0.113,0.231,0.022,0.167,0.455
"70_7","prot_ctdt","NP",0.904,0.71,-0.004,0.692,0.727,0.769,1,0,0.121,0.105,0.892,0.226,0.768,0.226,0.105,0.144,0.231,0.024,0.107,0.498
"70_7","prot_ctriad","NP",0.863,0.675,-0.027,0.657,0.693,0.769,1,0,0.133,0.139,0.837,0.204,0.763,0.204,0.139,0.166,0.231,0.032,0.158,0.488
"70_7","prot_pseaac","NP",0.964,0.75,-0.034,0.733,0.766,0.769,0.989,0,0.048,0.002,0.975,0.019,0.764,0.019,0.002,0.003,0.231,0,0.019,0.488
"70_7","cds_compbias","NS1",0.856,0.406,-0.054,0.387,0.425,0.769,1,0,0.339,0.552,0.362,0.207,0.728,0.207,0.552,0.301,0.231,0.128,0.618,0.457
"70_7","nuc_2mer","NS1",0.933,0.657,-0.091,0.639,0.675,0.769,1,0,0.152,0.092,0.827,0.138,0.752,0.138,0.092,0.111,0.231,0.021,0.154,0.46
"70_7","nuc_3mer","NS1",0.862,0.752,-0.014,0.736,0.769,0.769,0.976,0,0.095,0.016,0.974,0.159,0.767,0.159,0.016,0.029,0.231,0.004,0.024,0.495
"70_7","nuc_4mer","NS1",0.85,0.624,-0.169,0.605,0.642,0.769,1,0,0.119,0.05,0.797,0.069,0.736,0.069,0.05,0.058,0.231,0.012,0.168,0.423
"70_7","nuc_5mer","NS1",0.867,0.655,0.252,0.637,0.673,0.769,1,0,0.689,0.678,0.648,0.367,0.87,0.367,0.678,0.476,0.231,0.157,0.427,0.663
