"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.026,0.666,0.35,0.648,0.684,0.769,1,0,0.735,0.914,0.591,0.402,0.958,0.402,0.914,0.559,0.231,0.212,0.526,0.753
"70_7","nuc_2mer","HA",0.006,0.551,0.201,0.532,0.57,0.769,1,0,0.636,0.861,0.458,0.323,0.916,0.323,0.861,0.47,0.231,0.199,0.616,0.659
"70_7","nuc_3mer","HA",0.064,0.616,-0.155,0.598,0.635,0.769,1,0,0.179,0.076,0.779,0.094,0.737,0.094,0.076,0.084,0.231,0.018,0.187,0.428
"70_7","nuc_4mer","HA",0.03,0.583,0.176,0.564,0.602,0.769,1,0,0.641,0.706,0.546,0.319,0.86,0.319,0.706,0.439,0.231,0.163,0.512,0.626
"70_7","nuc_5mer","HA",0.035,0.776,0.494,0.76,0.792,0.769,0.186,0,0.785,0.866,0.749,0.51,0.949,0.51,0.866,0.641,0.231,0.2,0.393,0.807
"70_7","nuc_6mer","HA",0.034,0.781,0.525,0.764,0.796,0.769,0.074,0,0.825,0.955,0.728,0.514,0.982,0.514,0.955,0.668,0.231,0.221,0.43,0.841
"70_7","prot_2mer","HA",0.023,0.841,0.639,0.826,0.855,0.769,0,0,0.85,0.997,0.794,0.593,0.999,0.593,0.997,0.744,0.231,0.231,0.389,0.895
"70_7","prot_ctdc","HA",0.007,0.802,0.551,0.786,0.817,0.769,0,0,0.878,0.914,0.768,0.543,0.967,0.543,0.914,0.681,0.231,0.212,0.39,0.841
"70_7","prot_ctdd","HA",0.028,0.876,0.688,0.863,0.888,0.769,0,0,0.945,0.898,0.869,0.674,0.966,0.674,0.898,0.77,0.231,0.208,0.308,0.884
"70_7","prot_ctdt","HA",0.023,0.82,0.586,0.805,0.835,0.769,0,0,0.841,0.927,0.788,0.568,0.973,0.568,0.927,0.705,0.231,0.215,0.378,0.858
"70_7","prot_ctriad","HA",0.039,0.825,0.606,0.811,0.84,0.769,0,0,0.804,0.976,0.78,0.572,0.991,0.572,0.976,0.721,0.231,0.226,0.395,0.878
"70_7","prot_pseaac","HA",0.022,0.801,0.532,0.785,0.816,0.769,0,0,0.863,0.85,0.787,0.545,0.946,0.545,0.85,0.664,0.231,0.197,0.361,0.818
"70_7","cds_compbias","M1",0.041,0.899,0.743,0.887,0.91,0.769,0,0,0.964,0.929,0.89,0.718,0.976,0.718,0.929,0.81,0.231,0.215,0.299,0.91
"70_7","nuc_2mer","M1",0.034,0.854,0.633,0.84,0.867,0.769,0,0,0.935,0.859,0.852,0.636,0.953,0.636,0.859,0.731,0.231,0.199,0.313,0.856
"70_7","nuc_3mer","M1",0.031,0.83,0.597,0.815,0.844,0.769,0,0,0.914,0.903,0.808,0.586,0.965,0.586,0.903,0.71,0.231,0.209,0.357,0.855
"70_7","nuc_4mer","M1",0.042,0.767,0.464,0.75,0.783,0.769,0.601,0,0.871,0.817,0.751,0.498,0.932,0.498,0.817,0.618,0.231,0.189,0.38,0.784
"70_7","nuc_5mer","M1",0.022,0.84,0.616,0.826,0.854,0.769,0,0,0.941,0.9,0.822,0.604,0.965,0.604,0.9,0.723,0.231,0.208,0.345,0.861
"70_7","nuc_6mer","M1",0.017,0.838,0.608,0.823,0.852,0.769,0,0,0.925,0.882,0.825,0.602,0.959,0.602,0.882,0.716,0.231,0.204,0.339,0.853
"70_7","prot_2mer","M1",0.042,0.966,0.904,0.959,0.973,0.769,0,0.027,0.934,0.909,0.983,0.943,0.973,0.943,0.909,0.926,0.231,0.21,0.223,0.946
"70_7","prot_ctdc","M1",0.024,0.951,0.862,0.942,0.959,0.769,0,1,0.893,0.893,0.968,0.895,0.968,0.895,0.893,0.894,0.231,0.207,0.231,0.931
