"focgene","featname","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD","fold"
"HA","cds_compbias","gini","5",12,0.963733133433283,0.537652667395801,0.0166589963221378,0.214998109497994,1
"HA","cds_compbias","gini","25",12,0.960284857571214,0.5141258453746,0.0173257970007869,0.215756046108623,1
"HA","cds_compbias","gini","45",12,0.95856071964018,0.517973587444769,0.0198099966159786,0.218000334640237,1
"HA","cds_compbias","gini","5",12,0.960232383808096,0.487513060485108,0.0073505114770009,0.133307458025348,2
"HA","cds_compbias","gini","25",12,0.956784107946027,0.472172741090418,0.0140889323534694,0.149488637409744,2
"HA","cds_compbias","gini","45",12,0.95503748125937,0.470368235827003,0.012815926067867,0.146568224073623,2
"HA","cds_compbias","gini","5",12,0.968928035982009,0.585166362451738,0.0177868311411874,0.216198581904407,3
"HA","cds_compbias","gini","25",12,0.968065967016492,0.561467272426117,0.0177150317300088,0.231628485000119,3
"HA","cds_compbias","gini","45",12,0.968065967016492,0.590731155836633,0.0172426105348071,0.194875113391191,3
"HA","cds_compbias","gini","5",12,0.955074321813452,0.441475188877384,0.0134830948588158,0.147516205111854,4
"HA","cds_compbias","gini","25",12,0.954212252847935,0.453849888155366,0.0142214396327241,0.156642370602606,4
"HA","cds_compbias","gini","45",12,0.953350183882418,0.447369973353232,0.0130961512265268,0.145647744460487,4
"HA","cds_compbias","gini","5",12,0.955914542728636,0.413649439307033,0.0165201038265836,0.249006378222282,5
"HA","cds_compbias","gini","25",12,0.955059970014993,0.445149376672822,0.0185465293991574,0.221756049968577,5
"HA","cds_compbias","gini","45",12,0.953328335832084,0.436856428831092,0.0196029558498962,0.223320322838915,5
"HA","nuc_2mer","gini","5",4,0.96027736131934,0.476490531474054,0.0200049122951073,0.263517223773292,1
"HA","nuc_2mer","gini","25",4,0.95335832083958,0.44229463879907,0.0164244458091972,0.189229683920884,1
"HA","nuc_2mer","gini","45",4,0.946461769115442,0.407792889681094,0.0181062649712629,0.181783796396373,1
"HA","nuc_2mer","gini","5",4,0.951574212893553,0.392456567362415,0.0165071937177009,0.196445961232694,2
