"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",1
"70_7","cds_compbias","HA","H16N3",0.00754716981132075
"70_7","cds_compbias","HA","H3N8",0
"70_7","cds_compbias","HA","H4N6",0.724409448818898
"70_7","cds_compbias","HA","H4N8",0.827731092436975
"70_7","cds_compbias","HA","H5N1",0.956204379562044
"70_7","cds_compbias","HA","H5N6",1
"70_7","cds_compbias","HA","H7N3",0.5
"70_7","cds_compbias","HA","H7N4",1
"70_7","cds_compbias","HA","H7N7",1
"70_7","cds_compbias","HA","H7N9",0.919642857142857
"70_7","cds_compbias","HA","H8N4",0.0131578947368421
"70_7","cds_compbias","HA","H9N2",0.384615384615385
"70_7","nuc_2mer","HA","H10N8",1
"70_7","nuc_2mer","HA","H16N3",0
"70_7","nuc_2mer","HA","H3N8",0
"70_7","nuc_2mer","HA","H4N6",0.522548317823908
"70_7","nuc_2mer","HA","H4N8",0.878151260504202
"70_7","nuc_2mer","HA","H5N1",1
"70_7","nuc_2mer","HA","H5N6",1
"70_7","nuc_2mer","HA","H7N3",1
"70_7","nuc_2mer","HA","H7N4",0
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",0.821428571428571
"70_7","nuc_2mer","HA","H8N4",0
"70_7","nuc_2mer","HA","H9N2",0.769230769230769
"70_7","nuc_3mer","HA","H10N8",0
"70_7","nuc_3mer","HA","H16N3",0.0113207547169811
"70_7","nuc_3mer","HA","H3N8",0
"70_7","nuc_3mer","HA","H4N6",0.937007874015748
"70_7","nuc_3mer","HA","H4N8",0.96218487394958
"70_7","nuc_3mer","HA","H5N1",0.233576642335766
"70_7","nuc_3mer","HA","H5N6",1
"70_7","nuc_3mer","HA","H7N3",0.5
"70_7","nuc_3mer","HA","H7N4",1
"70_7","nuc_3mer","HA","H7N7",1
"70_7","nuc_3mer","HA","H7N9",0
"70_7","nuc_3mer","HA","H8N4",0.381578947368421
"70_7","nuc_3mer","HA","H9N2",0
"70_7","nuc_4mer","HA","H10N8",0
"70_7","nuc_4mer","HA","H16N3",0.279245283018868
"70_7","nuc_4mer","HA","H3N8",1
"70_7","nuc_4mer","HA","H4N6",0.558339298496779
"70_7","nuc_4mer","HA","H4N8",0.96218487394958
"70_7","nuc_4mer","HA","H5N1",0.941605839416058
"70_7","nuc_4mer","HA","H5N6",1
"70_7","nuc_4mer","HA","H7N3",0.5
"70_7","nuc_4mer","HA","H7N4",1
"70_7","nuc_4mer","HA","H7N7",1
"70_7","nuc_4mer","HA","H7N9",0.631696428571429
"70_7","nuc_4mer","HA","H8N4",0.243421052631579
"70_7","nuc_4mer","HA","H9N2",0.538461538461538
"70_7","nuc_5mer","HA","H10N8",0
"70_7","nuc_5mer","HA","H16N3",0
"70_7","nuc_5mer","HA","H3N8",1
"70_7","nuc_5mer","HA","H4N6",0.934144595561918
"70_7","nuc_5mer","HA","H4N8",0.949579831932773
"70_7","nuc_5mer","HA","H5N1",0.781021897810219
"70_7","nuc_5mer","HA","H5N6",1
"70_7","nuc_5mer","HA","H7N3",0
"70_7","nuc_5mer","HA","H7N4",1
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",0.897321428571429
"70_7","nuc_5mer","HA","H8N4",0.0394736842105263
"70_7","nuc_5mer","HA","H9N2",0.769230769230769
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",0.0113207547169811
"70_7","nuc_6mer","HA","H3N8",1
"70_7","nuc_6mer","HA","H4N6",0.896921975662133
"70_7","nuc_6mer","HA","H4N8",0.966386554621849
"70_7","nuc_6mer","HA","H5N1",0.905109489051095
"70_7","nuc_6mer","HA","H5N6",1
"70_7","nuc_6mer","HA","H7N3",0
"70_7","nuc_6mer","HA","H7N4",1
"70_7","nuc_6mer","HA","H7N7",1
"70_7","nuc_6mer","HA","H7N9",0.975446428571429
"70_7","nuc_6mer","HA","H8N4",0.0526315789473684
"70_7","nuc_6mer","HA","H9N2",1
"70_7","prot_2mer","HA","H10N8",1
"70_7","prot_2mer","HA","H16N3",0
"70_7","prot_2mer","HA","H3N8",1
"70_7","prot_2mer","HA","H4N6",0.944166070150322
"70_7","prot_2mer","HA","H4N8",0.966386554621849
"70_7","prot_2mer","HA","H5N1",0.941605839416058
"70_7","prot_2mer","HA","H5N6",1
"70_7","prot_2mer","HA","H7N3",0.5
"70_7","prot_2mer","HA","H7N4",1
"70_7","prot_2mer","HA","H7N7",1
"70_7","prot_2mer","HA","H7N9",0.939732142857143
"70_7","prot_2mer","HA","H8N4",0
"70_7","prot_2mer","HA","H9N2",1
"70_7","prot_ctdc","HA","H10N8",1
"70_7","prot_ctdc","HA","H16N3",0
"70_7","prot_ctdc","HA","H3N8",1
"70_7","prot_ctdc","HA","H4N6",0.692913385826772
"70_7","prot_ctdc","HA","H4N8",0.852941176470588
"70_7","prot_ctdc","HA","H5N1",0.963503649635037
"70_7","prot_ctdc","HA","H5N6",1
"70_7","prot_ctdc","HA","H7N3",1
"70_7","prot_ctdc","HA","H7N4",1
"70_7","prot_ctdc","HA","H7N7",1
"70_7","prot_ctdc","HA","H7N9",0.886160714285714
"70_7","prot_ctdc","HA","H8N4",0
"70_7","prot_ctdc","HA","H9N2",0.846153846153846
"70_7","prot_ctdd","HA","H10N8",0
"70_7","prot_ctdd","HA","H16N3",0.743396226415094
"70_7","prot_ctdd","HA","H3N8",0
"70_7","prot_ctdd","HA","H4N6",0.934860415175376
"70_7","prot_ctdd","HA","H4N8",0.987394957983193
"70_7","prot_ctdd","HA","H5N1",0.583941605839416
"70_7","prot_ctdd","HA","H5N6",1
"70_7","prot_ctdd","HA","H7N3",1
"70_7","prot_ctdd","HA","H7N4",1
"70_7","prot_ctdd","HA","H7N7",1
"70_7","prot_ctdd","HA","H7N9",0.977678571428571
"70_7","prot_ctdd","HA","H8N4",0.315789473684211
"70_7","prot_ctdd","HA","H9N2",0.384615384615385
"70_7","prot_ctdt","HA","H10N8",1
"70_7","prot_ctdt","HA","H16N3",0.0339622641509434
"70_7","prot_ctdt","HA","H3N8",1
"70_7","prot_ctdt","HA","H4N6",0.906943450250537
"70_7","prot_ctdt","HA","H4N8",0.987394957983193
"70_7","prot_ctdt","HA","H5N1",0.912408759124088
"70_7","prot_ctdt","HA","H5N6",1
"70_7","prot_ctdt","HA","H7N3",0.5
"70_7","prot_ctdt","HA","H7N4",1
"70_7","prot_ctdt","HA","H7N7",1
"70_7","prot_ctdt","HA","H7N9",0.890625
"70_7","prot_ctdt","HA","H8N4",0
"70_7","prot_ctdt","HA","H9N2",1
"70_7","prot_ctriad","HA","H10N8",0
"70_7","prot_ctriad","HA","H16N3",0
"70_7","prot_ctriad","HA","H3N8",0
"70_7","prot_ctriad","HA","H4N6",0.942734430923407
"70_7","prot_ctriad","HA","H4N8",0.945378151260504
"70_7","prot_ctriad","HA","H5N1",0.802919708029197
"70_7","prot_ctriad","HA","H5N6",1
"70_7","prot_ctriad","HA","H7N3",0
"70_7","prot_ctriad","HA","H7N4",1
"70_7","prot_ctriad","HA","H7N7",1
"70_7","prot_ctriad","HA","H7N9",1
"70_7","prot_ctriad","HA","H8N4",0
"70_7","prot_ctriad","HA","H9N2",0.769230769230769
"70_7","prot_pseaac","HA","H10N8",0
"70_7","prot_pseaac","HA","H16N3",0
"70_7","prot_pseaac","HA","H3N8",0
"70_7","prot_pseaac","HA","H4N6",0.933428775948461
"70_7","prot_pseaac","HA","H4N8",0.911764705882353
"70_7","prot_pseaac","HA","H5N1",0.759124087591241
"70_7","prot_pseaac","HA","H5N6",1
"70_7","prot_pseaac","HA","H7N3",1
"70_7","prot_pseaac","HA","H7N4",1
"70_7","prot_pseaac","HA","H7N7",1
"70_7","prot_pseaac","HA","H7N9",0.995535714285714
"70_7","prot_pseaac","HA","H8N4",0.0789473684210526
"70_7","prot_pseaac","HA","H9N2",0.615384615384615
"70_7","cds_compbias","M1","H10N8",1
"70_7","cds_compbias","M1","H16N3",0.769811320754717
"70_7","cds_compbias","M1","H3N8",1
"70_7","cds_compbias","M1","H4N6",0.894774516821761
"70_7","cds_compbias","M1","H4N8",0.949579831932773
"70_7","cds_compbias","M1","H5N1",0.992700729927007
"70_7","cds_compbias","M1","H5N6",1
"70_7","cds_compbias","M1","H7N3",0
"70_7","cds_compbias","M1","H7N4",0
"70_7","cds_compbias","M1","H7N7",0
"70_7","cds_compbias","M1","H7N9",0.915178571428571
"70_7","cds_compbias","M1","H8N4",0.967105263157895
"70_7","cds_compbias","M1","H9N2",0.923076923076923
"70_7","nuc_2mer","M1","H10N8",1
"70_7","nuc_2mer","M1","H16N3",0.471698113207547
"70_7","nuc_2mer","M1","H3N8",1
"70_7","nuc_2mer","M1","H4N6",0.920544022906228
"70_7","nuc_2mer","M1","H4N8",0.878151260504202
"70_7","nuc_2mer","M1","H5N1",0.569343065693431
