"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","prot_2mer","M1",0.022,0.912,0.759,0.901,0.922,0.769,0,0.003,0.856,0.848,0.931,0.788,0.953,0.788,0.848,0.817,0.231,0.196,0.249,0.89
"70_7","prot_ctdc","M1",0.17,0.85,0.613,0.836,0.863,0.769,0,0,0.906,0.806,0.863,0.639,0.937,0.639,0.806,0.713,0.231,0.187,0.292,0.834
"70_7","prot_ctdd","M1",0.027,0.919,0.754,0.908,0.929,0.769,0,0,0.738,0.72,0.979,0.91,0.921,0.91,0.72,0.804,0.231,0.167,0.183,0.849
"70_7","prot_ctdt","M1",0.042,0.935,0.814,0.925,0.944,0.769,0,0.01,0.858,0.832,0.966,0.882,0.95,0.882,0.832,0.856,0.231,0.193,0.218,0.899
"70_7","prot_ctriad","M1",0.029,0.947,0.843,0.938,0.955,0.769,0,0,0.822,0.817,0.986,0.946,0.947,0.946,0.817,0.877,0.231,0.189,0.2,0.902
"70_7","prot_pseaac","M1",0.052,0.883,0.694,0.87,0.895,0.769,0,0,0.916,0.854,0.892,0.704,0.953,0.704,0.854,0.772,0.231,0.198,0.281,0.873
"70_7","cds_compbias","NA",0.001,0.235,-0.026,0.219,0.252,0.769,1,0,0.1,0.916,0.03,0.221,0.544,0.221,0.916,0.357,0.231,0.212,0.957,0.473
"70_7","nuc_2mer","NA",0.061,0.23,-0.042,0.214,0.246,0.769,1,0,0.074,0.879,0.035,0.215,0.486,0.215,0.879,0.346,0.231,0.203,0.945,0.457
"70_7","nuc_3mer","NA",0.732,0.705,-0.1,0.688,0.722,0.769,1,0,0.027,0.01,0.915,0.033,0.754,0.033,0.01,0.015,0.231,0.002,0.068,0.462
"70_7","nuc_4mer","NA",0,0.227,-0.014,0.211,0.243,0.769,1,0,0.048,0.966,0.004,0.226,0.3,0.226,0.966,0.366,0.231,0.224,0.989,0.485
"70_7","nuc_5mer","NA",0,0.44,0.025,0.421,0.459,0.769,1,0,0.359,0.67,0.37,0.243,0.788,0.243,0.67,0.356,0.231,0.155,0.639,0.52
"70_7","nuc_6mer","NA",0.001,0.317,-0.023,0.3,0.335,0.769,1,0,0.299,0.778,0.178,0.222,0.728,0.222,0.778,0.345,0.231,0.18,0.812,0.478
"70_7","prot_2mer","NA",0.002,0.637,-0.095,0.619,0.656,0.769,1,0,0.185,0.118,0.794,0.147,0.749,0.147,0.118,0.131,0.231,0.027,0.186,0.456
"70_7","prot_ctdc","NA",0.213,0.306,0.02,0.289,0.324,0.769,1,0,0.222,0.917,0.122,0.239,0.831,0.239,0.917,0.38,0.231,0.212,0.887,0.52
"70_7","prot_ctdd","NA",0.496,0.754,-0.025,0.737,0.77,0.769,0.964,0,0.032,0.003,0.98,0.047,0.766,0.047,0.003,0.006,0.231,0.001,0.016,0.492
"70_7","prot_ctdt","NA",0.075,0.864,0.664,0.851,0.877,0.769,0,0,0.868,0.9,0.854,0.65,0.966,0.65,0.9,0.754,0.231,0.208,0.321,0.877
"70_7","prot_ctriad","NA",0.002,0.696,0.071,0.678,0.713,0.769,1,0,0.354,0.228,0.837,0.296,0.783,0.296,0.228,0.258,0.231,0.053,0.178,0.532
"70_7","prot_pseaac","NA",0.096,0.376,0.05,0.358,0.395,0.769,1,0,0.263,0.864,0.229,0.252,0.848,0.252,0.864,0.391,0.231,0.2,0.793,0.547
"70_7","cds_compbias","NP",0.022,0.834,0.583,0.819,0.848,0.769,0,0,0.897,0.811,0.841,0.606,0.937,0.606,0.811,0.693,0.231,0.188,0.31,0.826
"70_7","nuc_2mer","NP",0.206,0.866,0.655,0.852,0.878,0.769,0,0,0.934,0.848,0.871,0.664,0.95,0.664,0.848,0.745,0.231,0.196,0.296,0.859
"70_7","nuc_3mer","NP",0.028,0.834,0.607,0.82,0.848,0.769,0,0,0.915,0.906,0.813,0.593,0.966,0.593,0.906,0.717,0.231,0.21,0.354,0.86
"70_7","nuc_4mer","NP",0.001,0.853,0.643,0.839,0.866,0.769,0,0,0.913,0.908,0.837,0.626,0.968,0.626,0.908,0.741,0.231,0.21,0.336,0.872
"70_7","nuc_5mer","NP",0.01,0.889,0.715,0.876,0.9,0.769,0,0,0.927,0.898,0.886,0.703,0.967,0.703,0.898,0.789,0.231,0.208,0.296,0.892
"70_7","nuc_6mer","NP",0.011,0.836,0.594,0.821,0.85,0.769,0,0,0.886,0.841,0.834,0.605,0.946,0.605,0.841,0.704,0.231,0.195,0.322,0.838
"70_7","prot_2mer","NP",0.041,0.863,0.648,0.849,0.875,0.769,0,0,0.881,0.845,0.868,0.658,0.949,0.658,0.845,0.74,0.231,0.196,0.297,0.856
"70_7","prot_ctdc","NP",0.215,0.904,0.72,0.892,0.915,0.769,0,0,0.847,0.741,0.953,0.827,0.924,0.827,0.741,0.782,0.231,0.172,0.207,0.847
"70_7","prot_ctdd","NP",0.043,0.831,0.538,0.816,0.845,0.769,0,0.013,0.773,0.678,0.877,0.624,0.9,0.624,0.678,0.65,0.231,0.157,0.252,0.777
"70_7","prot_ctdt","NP",0.099,0.916,0.779,0.905,0.927,0.769,0,0,0.959,0.909,0.919,0.771,0.971,0.771,0.909,0.834,0.231,0.21,0.273,0.914
"70_7","prot_ctriad","NP",0.057,0.7,0.299,0.682,0.717,0.769,1,0,0.586,0.642,0.717,0.406,0.869,0.406,0.642,0.498,0.231,0.149,0.366,0.68
"70_7","prot_pseaac","NP",0.229,0.921,0.766,0.91,0.931,0.769,0,0,0.88,0.761,0.969,0.88,0.931,0.88,0.761,0.816,0.231,0.176,0.2,0.865
"70_7","cds_compbias","NS1",0.01,0.721,0.386,0.704,0.738,0.769,1,0,0.812,0.793,0.699,0.443,0.918,0.443,0.793,0.568,0.231,0.184,0.415,0.746
"70_7","nuc_2mer","NS1",0.251,0.897,0.717,0.885,0.908,0.769,0,0.016,0.917,0.811,0.923,0.76,0.942,0.76,0.811,0.785,0.231,0.188,0.247,0.867
"70_7","nuc_3mer","NS1",0.075,0.879,0.689,0.866,0.891,0.769,0,0,0.932,0.874,0.881,0.688,0.959,0.688,0.874,0.77,0.231,0.202,0.294,0.877
"70_7","nuc_4mer","NS1",0.001,0.745,0.401,0.728,0.762,0.769,0.998,0,0.792,0.728,0.75,0.468,0.902,0.468,0.728,0.57,0.231,0.169,0.36,0.739
"70_7","nuc_5mer","NS1",0.002,0.888,0.689,0.875,0.899,0.769,0,0.094,0.867,0.782,0.92,0.745,0.933,0.745,0.782,0.763,0.231,0.181,0.243,0.851
"70_7","nuc_6mer","NS1",0.013,0.802,0.523,0.786,0.817,0.769,0,0,0.832,0.812,0.799,0.549,0.934,0.549,0.812,0.655,0.231,0.188,0.343,0.806
"70_7","prot_2mer","NS1",0.005,0.887,0.68,0.875,0.899,0.769,0,0.3,0.82,0.741,0.931,0.765,0.923,0.765,0.741,0.753,0.231,0.172,0.224,0.836
"70_7","prot_ctdc","NS1",0.213,0.838,0.6,0.823,0.852,0.769,0,0,0.876,0.848,0.835,0.607,0.948,0.607,0.848,0.708,0.231,0.196,0.323,0.841
"70_7","prot_ctdd","NS1",0.021,0.817,0.517,0.802,0.832,0.769,0,0,0.806,0.696,0.854,0.589,0.903,0.589,0.696,0.638,0.231,0.161,0.273,0.775
"70_7","prot_ctdt","NS1",0.306,0.893,0.688,0.88,0.904,0.769,0,0.001,0.796,0.723,0.943,0.794,0.919,0.794,0.723,0.757,0.231,0.167,0.211,0.833
"70_7","prot_ctriad","NS1",0.021,0.857,0.583,0.843,0.87,0.769,0,0.003,0.808,0.642,0.921,0.71,0.895,0.71,0.642,0.675,0.231,0.149,0.209,0.782
"70_7","prot_pseaac","NS1",0.236,0.849,0.608,0.835,0.862,0.769,0,0,0.792,0.791,0.866,0.641,0.932,0.641,0.791,0.708,0.231,0.183,0.286,0.829
"70_7","cds_compbias","PA",0.03,0.715,0.365,0.697,0.732,0.769,1,0,0.75,0.759,0.702,0.434,0.906,0.434,0.759,0.552,0.231,0.176,0.405,0.73
"70_7","nuc_2mer","PA",0.401,0.712,0.26,0.694,0.729,0.769,1,0,0.628,0.513,0.772,0.404,0.84,0.404,0.513,0.452,0.231,0.119,0.294,0.642
"70_7","nuc_3mer","PA",0.06,0.681,0.32,0.663,0.699,0.769,1,0,0.704,0.767,0.655,0.401,0.903,0.401,0.767,0.527,0.231,0.178,0.443,0.711
"70_7","nuc_4mer","PA",0,0.371,0.025,0.353,0.39,0.769,1,0,0.427,0.806,0.24,0.242,0.804,0.242,0.806,0.372,0.231,0.187,0.77,0.523
"70_7","nuc_5mer","PA",0.002,0.6,0.212,0.581,0.619,0.769,1,0,0.682,0.746,0.556,0.336,0.879,0.336,0.746,0.463,0.231,0.173,0.514,0.651
"70_7","nuc_6mer","PA",0.008,0.608,0.064,0.589,0.626,0.769,1,0,0.536,0.408,0.668,0.27,0.789,0.27,0.408,0.325,0.231,0.094,0.349,0.538
"70_7","prot_2mer","PA",0.002,0.695,0.249,0.677,0.712,0.769,1,0,0.579,0.544,0.74,0.387,0.843,0.387,0.544,0.452,0.231,0.126,0.325,0.642
"70_7","prot_ctdc","PA",0.302,0.906,0.732,0.894,0.917,0.769,0,0.13,0.861,0.777,0.945,0.809,0.934,0.809,0.777,0.793,0.231,0.18,0.222,0.861
"70_7","prot_ctdd","PA",0.062,0.674,0.185,0.656,0.692,0.769,1,0,0.443,0.474,0.734,0.349,0.823,0.349,0.474,0.402,0.231,0.11,0.314,0.604
"70_7","prot_ctdt","PA",0.142,0.676,0.059,0.658,0.694,0.769,1,0.057,0.428,0.254,0.803,0.28,0.781,0.28,0.254,0.266,0.231,0.059,0.21,0.529
"70_7","prot_ctriad","PA",0.026,0.855,0.608,0.841,0.868,0.769,0,0,0.795,0.744,0.888,0.668,0.92,0.668,0.744,0.704,0.231,0.172,0.258,0.816
"70_7","prot_pseaac","PA",0.168,0.884,0.692,0.871,0.896,0.769,0,0,0.898,0.835,0.899,0.713,0.948,0.713,0.835,0.769,0.231,0.193,0.271,0.867
"70_7","cds_compbias","PB1",0.018,0.748,0.396,0.731,0.765,0.769,0.993,0,0.785,0.701,0.763,0.471,0.894,0.471,0.701,0.563,0.231,0.162,0.345,0.732
"70_7","nuc_2mer","PB1",0.365,0.897,0.701,0.885,0.909,0.769,0,0,0.804,0.727,0.949,0.81,0.92,0.81,0.727,0.766,0.231,0.168,0.207,0.838
"70_7","nuc_3mer","PB1",0.09,0.851,0.615,0.837,0.864,0.769,0,0,0.891,0.803,0.865,0.642,0.936,0.642,0.803,0.714,0.231,0.186,0.289,0.834
"70_7","nuc_4mer","PB1",0.001,0.788,0.475,0.772,0.804,0.769,0.008,0,0.794,0.735,0.805,0.531,0.91,0.531,0.735,0.616,0.231,0.17,0.32,0.77
"70_7","nuc_5mer","PB1",0.004,0.745,0.401,0.728,0.762,0.769,0.998,0,0.805,0.728,0.75,0.468,0.902,0.468,0.728,0.57,0.231,0.169,0.36,0.739
"70_7","nuc_6mer","PB1",0.018,0.854,0.607,0.84,0.867,0.769,0,0,0.873,0.751,0.885,0.662,0.922,0.662,0.751,0.704,0.231,0.174,0.263,0.818
"70_7","prot_2mer","PB1",0.008,0.683,0.32,0.665,0.7,0.769,1,0,0.701,0.759,0.66,0.402,0.901,0.402,0.759,0.525,0.231,0.176,0.437,0.709
"70_7","prot_ctdc","PB1",0.436,0.78,0.442,0.764,0.795,0.769,0.087,0,0.743,0.681,0.809,0.518,0.894,0.518,0.681,0.589,0.231,0.158,0.304,0.745
"70_7","prot_ctdd","PB1",0.081,0.935,0.829,0.925,0.944,0.769,0,0,0.971,0.951,0.93,0.804,0.985,0.804,0.951,0.872,0.231,0.22,0.274,0.941
"70_7","prot_ctdt","PB1",0.129,0.903,0.738,0.891,0.914,0.769,0,0,0.95,0.853,0.918,0.757,0.954,0.757,0.853,0.802,0.231,0.197,0.261,0.885
"70_7","prot_ctriad","PB1",0.065,0.899,0.734,0.887,0.91,0.769,0,0,0.937,0.879,0.905,0.736,0.961,0.736,0.879,0.801,0.231,0.203,0.276,0.892
"70_7","prot_pseaac","PB1",0.254,0.899,0.745,0.887,0.91,0.769,0,0,0.945,0.943,0.886,0.714,0.981,0.714,0.943,0.813,0.231,0.218,0.306,0.915
"70_7","cds_compbias","PB2",0.065,0.89,0.701,0.877,0.901,0.769,0,0,0.897,0.819,0.911,0.734,0.943,0.734,0.819,0.774,0.231,0.19,0.258,0.865
"70_7","nuc_2mer","PB2",0.184,0.64,0.216,0.621,0.658,0.769,1,0,0.685,0.639,0.64,0.348,0.855,0.348,0.639,0.451,0.231,0.148,0.425,0.64
"70_7","nuc_3mer","PB2",0.118,0.872,0.662,0.858,0.884,0.769,0,0,0.855,0.82,0.887,0.686,0.943,0.686,0.82,0.747,0.231,0.19,0.277,0.854
"70_7","nuc_4mer","PB2",0.001,0.794,0.494,0.778,0.809,0.769,0.001,0,0.814,0.761,0.804,0.539,0.918,0.539,0.761,0.631,0.231,0.176,0.327,0.782
"70_7","nuc_5mer","PB2",0.006,0.91,0.745,0.899,0.921,0.769,0,0.196,0.886,0.79,0.947,0.817,0.937,0.817,0.79,0.803,0.231,0.183,0.224,0.868
"70_7","nuc_6mer","PB2",0.018,0.828,0.557,0.813,0.842,0.769,0,0,0.804,0.759,0.849,0.602,0.921,0.602,0.759,0.671,0.231,0.176,0.292,0.804
"70_7","prot_2mer","PB2",0.132,0.944,0.841,0.934,0.952,0.769,0,0.568,0.907,0.872,0.965,0.884,0.962,0.884,0.872,0.878,0.231,0.202,0.228,0.919
"70_7","prot_ctdc","PB2",0.415,0.881,0.672,0.868,0.893,0.769,0,0.064,0.808,0.77,0.914,0.73,0.93,0.73,0.77,0.75,0.231,0.178,0.244,0.842
"70_7","prot_ctdd","PB2",0.063,0.863,0.628,0.849,0.876,0.769,0,0.001,0.856,0.756,0.895,0.685,0.924,0.685,0.756,0.718,0.231,0.175,0.255,0.825
"70_7","prot_ctdt","PB2",0.18,0.853,0.625,0.839,0.866,0.769,0,0,0.855,0.83,0.86,0.64,0.944,0.64,0.83,0.723,0.231,0.192,0.3,0.845
"70_7","prot_ctriad","PB2",0.146,0.874,0.628,0.861,0.887,0.769,0,0,0.778,0.659,0.939,0.765,0.901,0.765,0.659,0.708,0.231,0.152,0.199,0.799
"70_7","prot_pseaac","PB2",0.245,0.878,0.674,0.864,0.89,0.769,0,0,0.851,0.814,0.897,0.703,0.941,0.703,0.814,0.755,0.231,0.188,0.268,0.855
