"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.019,0.693,0.357,0.675,0.71,0.769,1,0,0.804,0.828,0.652,0.417,0.927,0.417,0.828,0.555,0.231,0.192,0.46,0.74
"70_7","nuc_2mer","HA",0.172,0.81,0.537,0.795,0.825,0.769,0,0,0.872,0.809,0.81,0.562,0.934,0.562,0.809,0.664,0.231,0.187,0.333,0.81
"70_7","nuc_3mer","HA",0.211,0.916,0.778,0.905,0.926,0.769,0,0,0.952,0.916,0.916,0.766,0.973,0.766,0.916,0.834,0.231,0.212,0.277,0.916
"70_7","nuc_4mer","HA",0,0.552,0.15,0.533,0.571,0.769,1,0,0.624,0.722,0.5,0.303,0.857,0.303,0.722,0.427,0.231,0.167,0.551,0.611
"70_7","nuc_5mer","HA",0.001,0.887,0.712,0.874,0.899,0.769,0,0,0.939,0.906,0.881,0.697,0.969,0.697,0.906,0.788,0.231,0.21,0.301,0.894
"70_7","nuc_6mer","HA",0.011,0.833,0.583,0.819,0.847,0.769,0,0,0.861,0.817,0.838,0.603,0.938,0.603,0.817,0.694,0.231,0.189,0.313,0.828
"70_7","prot_2mer","HA",0.002,0.64,0.244,0.622,0.658,0.769,1,0,0.677,0.706,0.62,0.359,0.875,0.359,0.706,0.476,0.231,0.163,0.455,0.663
"70_7","prot_ctdc","HA",0.179,0.825,0.543,0.81,0.839,0.769,0,0,0.838,0.731,0.853,0.599,0.913,0.599,0.731,0.659,0.231,0.169,0.282,0.792
"70_7","prot_ctdd","HA",0,0.875,0.69,0.862,0.887,0.769,0,0,0.951,0.924,0.86,0.666,0.974,0.666,0.924,0.774,0.231,0.214,0.321,0.892
"70_7","prot_ctdt","HA",0.498,0.863,0.591,0.849,0.876,0.769,0,0,0.669,0.62,0.936,0.745,0.891,0.745,0.62,0.677,0.231,0.143,0.193,0.778
"70_7","prot_ctriad","HA",0.007,0.942,0.845,0.933,0.951,0.769,0,0,0.959,0.939,0.943,0.833,0.981,0.833,0.939,0.883,0.231,0.217,0.261,0.941
"70_7","prot_pseaac","HA",0.11,0.7,0.355,0.683,0.718,0.769,1,0,0.757,0.791,0.673,0.422,0.915,0.422,0.791,0.55,0.231,0.183,0.434,0.732
"70_7","cds_compbias","M1",0.105,0.899,0.709,0.887,0.91,0.769,0,0.007,0.772,0.746,0.945,0.805,0.925,0.805,0.746,0.774,0.231,0.173,0.215,0.846
"70_7","nuc_2mer","M1",0.151,0.875,0.68,0.862,0.888,0.769,0,0,0.92,0.869,0.877,0.681,0.957,0.681,0.869,0.763,0.231,0.201,0.296,0.873
"70_7","nuc_3mer","M1",0.227,0.915,0.753,0.904,0.926,0.769,0,0,0.85,0.764,0.961,0.855,0.931,0.855,0.764,0.807,0.231,0.177,0.207,0.862
"70_7","nuc_4mer","M1",0.003,0.758,0.412,0.741,0.774,0.769,0.912,0,0.775,0.702,0.774,0.484,0.896,0.484,0.702,0.573,0.231,0.163,0.336,0.738
"70_7","nuc_5mer","M1",0.002,0.764,0.427,0.747,0.78,0.769,0.718,0,0.781,0.717,0.778,0.493,0.901,0.493,0.717,0.584,0.231,0.166,0.336,0.748
"70_7","nuc_6mer","M1",0.007,0.656,0.268,0.638,0.674,0.769,1,0,0.724,0.715,0.638,0.373,0.882,0.373,0.715,0.491,0.231,0.166,0.443,0.677
