"cluster_set","featset","focgene","subtype","sigma","C","Weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H10N8",0.001,1,3,0.940188679245283,0.605274110063401,0.0108061898127124,0.0542997214121803
"70_7","cds_compbias","HA","H10N8",0.001,1,9,0.916623751387347,0.564575487705419,0.0145154940666026,0.0501237470099407
"70_7","cds_compbias","HA","H10N8",0.001,3,3,0.936419533851276,0.601360613673858,0.0102035079331541,0.0443449872350024
"70_7","cds_compbias","HA","H10N8",0.001,3,9,0.918977802441731,0.572922642572189,0.0158916439968604,0.0566057771941575
"70_7","cds_compbias","HA","H10N8",0.001,9,3,0.937365149833518,0.615675451549544,0.0141296336905957,0.0592129773983278
"70_7","cds_compbias","HA","H10N8",0.001,9,9,0.92934961154273,0.610920132200501,0.00876939764493661,0.0363790896098611
"70_7","cds_compbias","HA","H10N8",0.01,1,3,0.942542730299667,0.635099069901188,0.0128071990822222,0.0542081634256906
"70_7","cds_compbias","HA","H10N8",0.01,1,9,0.930763596004439,0.607578081450885,0.00837516109111576,0.0312850054651382
"70_7","cds_compbias","HA","H10N8",0.01,3,3,0.949132075471698,0.66024617742101,0.00454279585330733,0.0109224511625564
"70_7","cds_compbias","HA","H10N8",0.01,3,9,0.937831298557159,0.626926799039224,0.0109492011436858,0.051187042140409
"70_7","cds_compbias","HA","H10N8",0.01,9,3,0.951487236403996,0.67760670647898,0.00563295571030496,0.0136574818378313
"70_7","cds_compbias","HA","H10N8",0.01,9,9,0.944893451720311,0.64493859108874,0.00632200966066462,0.0259449675346015
"70_7","cds_compbias","HA","H10N8",0.1,1,3,0.95619422863485,0.681247505481511,0.00678901351415018,0.0553397448433049
"70_7","cds_compbias","HA","H10N8",0.1,1,9,0.951016648168701,0.655292428878252,0.00767549229203751,0.0540667232997301
"70_7","cds_compbias","HA","H10N8",0.1,3,3,0.956663706992231,0.676864664926773,0.00490007233673764,0.050007523714702
"70_7","cds_compbias","HA","H10N8",0.1,3,9,0.952897891231964,0.657009213724501,0.00498187836794842,0.0488318197015897
"70_7","cds_compbias","HA","H10N8",0.1,9,3,0.957605993340732,0.676283393460438,0.0044193346986805,0.0465096878129485
"70_7","cds_compbias","HA","H10N8",0.1,9,9,0.953368479467259,0.651026910156839,0.00561370060647118,0.0543720687395937
"70_7","cds_compbias","HA","H16N3",0.001,1,3,0.940898345153664,0.610045525291616,0.018388119605324,0.136142124351227
"70_7","cds_compbias","HA","H16N3",0.001,1,9,0.922931442080378,0.585741640748783,0.00954450554996992,0.0467546988920492
"70_7","cds_compbias","HA","H16N3",0.001,3,3,0.93806146572104,0.607119845557734,0.0125540596192452,0.102764633209614
"70_7","cds_compbias","HA","H16N3",0.001,3,9,0.932387706855792,0.621442571590261,0.0098329240392839,0.0582731239738663
"70_7","cds_compbias","HA","H16N3",0.001,9,3,0.939952718676123,0.625041890087277,0.0116536714362801,0.0859033535709986
"70_7","cds_compbias","HA","H16N3",0.001,9,9,0.929550827423168,0.610411533361956,0.00656001745887075,0.0468028330784047
"70_7","cds_compbias","HA","H16N3",0.01,1,3,0.954609929078014,0.695849869107491,0.00966090626085223,0.0758358017841995
"70_7","cds_compbias","HA","H16N3",0.01,1,9,0.937115839243499,0.638538665614606,0.00893979687999483,0.0505824505896702
"70_7","cds_compbias","HA","H16N3",0.01,3,3,0.955555555555556,0.701748629722473,0.00736284231791838,0.0638648817646914
"70_7","cds_compbias","HA","H16N3",0.01,3,9,0.940898345153664,0.63917634108116,0.00835823618423816,0.060432219587678
"70_7","cds_compbias","HA","H16N3",0.01,9,3,0.953664302600473,0.695728019764083,0.00544248909372168,0.0533637074078297
