"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"60_6","cds_compbias","HA",0.067,0.696,0.098,0.678,0.714,0.769,1,0.001,0.179,0.267,0.826,0.315,0.789,0.315,0.267,0.289,0.231,0.062,0.196,0.546
"60_6","nuc_2mer","HA",0.025,0.517,-0.158,0.498,0.536,0.769,1,0,0.464,0.202,0.612,0.136,0.718,0.136,0.202,0.162,0.231,0.047,0.345,0.407
"60_6","nuc_3mer","HA",0.03,0.18,-0.336,0.165,0.195,0.769,1,0,0.845,0.267,0.154,0.087,0.41,0.087,0.267,0.131,0.231,0.062,0.712,0.21
"60_6","nuc_4mer","HA",0.034,0.355,-0.19,0.337,0.373,0.769,1,0,0.664,0.356,0.354,0.142,0.646,0.142,0.356,0.203,0.231,0.082,0.579,0.355
"60_6","nuc_5mer","HA",0.041,0.661,0.017,0.642,0.679,0.769,1,0.09,0.235,0.225,0.792,0.246,0.772,0.246,0.225,0.235,0.231,0.052,0.212,0.508
"60_6","nuc_6mer","HA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.062,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"60_6","nuc_6mer","HA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.062,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"60_6","prot_2mer","HA",0.036,0.675,0.149,0.657,0.693,0.769,1,0,0.181,0.403,0.757,0.333,0.808,0.333,0.403,0.365,0.231,0.093,0.28,0.58
"60_6","prot_ctdc","HA",0.003,0.465,-0.056,0.446,0.484,0.769,1,0,0.407,0.451,0.469,0.204,0.74,0.204,0.451,0.281,0.231,0.104,0.512,0.46
"60_6","prot_ctdd","HA",0.057,0.738,0.225,0.721,0.754,0.769,1,0.001,0.145,0.364,0.85,0.423,0.816,0.423,0.364,0.391,0.231,0.084,0.199,0.607
