"","cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","method"
"290","70_7","prot_pseaac","PB2",0.018,0.796,0.502,0.78,0.811,0.769,0,0,0.827,0.775,0.802,0.541,0.922,0.541,0.775,0.637,0.231,0.179,0.331,0.789,"svm"
"291","70_7","cds_compbias","HA",0,0.791,0.511,0.775,0.806,0.769,0.003,0,0.866,0.835,0.778,0.531,0.94,0.531,0.835,0.649,0.231,0.193,0.364,0.806,"xgb"
"292","70_7","nuc_2mer","HA",0,0.564,-0.017,0.545,0.583,0.769,1,0,0.453,0.351,0.629,0.222,0.763,0.222,0.351,0.272,0.231,0.081,0.367,0.49,"xgb"
"293","70_7","nuc_3mer","HA",0,0.61,0.185,0.591,0.629,0.769,1,0,0.646,0.652,0.597,0.328,0.851,0.328,0.652,0.436,0.231,0.151,0.46,0.625,"xgb"
"294","70_7","nuc_4mer","HA",0,0.769,0.488,0.753,0.785,0.769,0.474,0,0.843,0.882,0.735,0.501,0.954,0.501,0.882,0.639,0.231,0.204,0.407,0.809,"xgb"
"295","70_7","nuc_5mer","HA",0,0.561,0.2,0.542,0.58,0.769,1,0,0.649,0.827,0.481,0.324,0.902,0.324,0.827,0.466,0.231,0.191,0.59,0.654,"xgb"
"296","70_7","nuc_6mer","HA",0,0.417,-0.058,0.398,0.436,0.769,1,0,0.434,0.526,0.384,0.205,0.729,0.205,0.526,0.295,0.231,0.122,0.595,0.455,"xgb"
"297","70_7","prot_2mer","HA",0,0.826,0.577,0.811,0.84,0.769,0,0,0.857,0.845,0.821,0.587,0.946,0.587,0.845,0.692,0.231,0.196,0.333,0.833,"xgb"
"298","70_7","prot_ctdc","HA",0,0.911,0.77,0.899,0.921,0.769,0,0,0.926,0.934,0.904,0.745,0.978,0.745,0.934,0.829,0.231,0.216,0.29,0.919,"xgb"
"299","70_7","prot_ctdd","HA",0,0.899,0.738,0.887,0.91,0.769,0,0,0.932,0.898,0.9,0.729,0.967,0.729,0.898,0.805,0.231,0.208,0.285,0.899,"xgb"
"300","70_7","prot_ctdt","HA",0,0.606,0.005,0.587,0.624,0.769,1,0,0.465,0.311,0.694,0.234,0.77,0.234,0.311,0.267,0.231,0.072,0.307,0.503,"xgb"
"301","70_7","prot_ctriad","HA",0,0.687,0.336,0.669,0.704,0.769,1,0,0.744,0.79,0.656,0.409,0.912,0.409,0.79,0.539,0.231,0.183,0.447,0.723,"xgb"
"302","70_7","prot_pseaac","HA",0,0.824,0.538,0.809,0.838,0.769,0,0,0.776,0.722,0.855,0.599,0.911,0.599,0.722,0.655,0.231,0.167,0.279,0.788,"xgb"
"303","70_7","cds_compbias","M1",0,0.665,0.27,0.647,0.683,0.769,1,0,0.716,0.693,0.656,0.378,0.876,0.378,0.693,0.489,0.231,0.16,0.424,0.674,"xgb"
"304","70_7","nuc_2mer","M1",0,0.706,0.282,0.689,0.724,0.769,1,0,0.7,0.579,0.745,0.406,0.855,0.406,0.579,0.477,0.231,0.134,0.33,0.662,"xgb"
"305","70_7","nuc_3mer","M1",0,0.834,0.567,0.82,0.848,0.769,0,0,0.901,0.749,0.86,0.617,0.919,0.617,0.749,0.677,0.231,0.173,0.281,0.805,"xgb"
"306","70_7","nuc_4mer","M1",0,0.87,0.678,0.857,0.883,0.769,0,0,0.945,0.909,0.859,0.66,0.969,0.66,0.909,0.765,0.231,0.21,0.319,0.884,"xgb"
"307","70_7","nuc_5mer","M1",0,0.805,0.504,0.789,0.82,0.769,0,0,0.78,0.73,0.827,0.56,0.91,0.56,0.73,0.634,0.231,0.169,0.301,0.779,"xgb"
"308","70_7","nuc_6mer","M1",0,0.861,0.628,0.847,0.874,0.769,0,0,0.873,0.772,0.888,0.675,0.928,0.675,0.772,0.72,0.231,0.179,0.265,0.83,"xgb"
"309","70_7","prot_2mer","M1",0.023,0.941,0.82,0.931,0.949,0.769,0,0,0.787,0.761,0.995,0.979,0.932,0.979,0.761,0.856,0.231,0.176,0.18,0.878,"xgb"
"310","70_7","prot_ctdc","M1",0.024,0.939,0.81,0.929,0.947,0.769,0,0,0.774,0.739,0.999,0.993,0.927,0.993,0.739,0.848,0.231,0.171,0.172,0.869,"xgb"
"311","70_7","prot_ctdd","M1",0.023,0.938,0.807,0.928,0.947,0.769,0,0,0.781,0.733,1,0.998,0.926,0.998,0.733,0.845,0.231,0.17,0.17,0.866,"xgb"
"312","70_7","prot_ctdt","M1",0.022,0.935,0.801,0.925,0.944,0.769,0,0,0.801,0.741,0.994,0.972,0.927,0.972,0.741,0.841,0.231,0.172,0.176,0.867,"xgb"
"313","70_7","prot_ctriad","M1",0.022,0.945,0.833,0.935,0.953,0.769,0,0,0.825,0.788,0.992,0.966,0.94,0.966,0.788,0.868,0.231,0.182,0.189,0.89,"xgb"
"314","70_7","prot_pseaac","M1",0.023,0.92,0.747,0.909,0.93,0.769,0,0,0.718,0.663,0.998,0.988,0.908,0.988,0.663,0.794,0.231,0.154,0.155,0.83,"xgb"
"315","70_7","cds_compbias","NA",0,0.231,-0.041,0.215,0.247,0.769,1,0,0.12,0.879,0.036,0.215,0.493,0.215,0.879,0.346,0.231,0.203,0.945,0.457,"xgb"
"316","70_7","nuc_2mer","NA",0,0.382,0.002,0.364,0.401,0.769,1,0,0.38,0.725,0.279,0.232,0.771,0.232,0.725,0.352,0.231,0.168,0.722,0.502,"xgb"
"317","70_7","nuc_3mer","NA",0.122,0.749,-0.036,0.732,0.765,0.769,0.993,0,0.063,0.002,0.974,0.018,0.764,0.018,0.002,0.003,0.231,0,0.021,0.488,"xgb"
"318","70_7","nuc_4mer","NA",0,0.52,0.14,0.501,0.539,0.769,1,0,0.513,0.777,0.442,0.296,0.868,0.296,0.777,0.428,0.231,0.18,0.608,0.61,"xgb"
"319","70_7","nuc_5mer","NA",0,0.783,0.438,0.767,0.798,0.769,0.042,0,0.716,0.654,0.822,0.525,0.887,0.525,0.654,0.582,0.231,0.151,0.288,0.738,"xgb"
"320","70_7","nuc_6mer","NA",0,0.765,0.452,0.748,0.781,0.769,0.686,0,0.736,0.786,0.758,0.495,0.922,0.495,0.786,0.607,0.231,0.182,0.368,0.772,"xgb"
"321","70_7","prot_2mer","NA",0,0.705,0.303,0.688,0.722,0.769,1,0,0.638,0.634,0.727,0.411,0.868,0.411,0.634,0.499,0.231,0.147,0.357,0.68,"xgb"
"322","70_7","prot_ctdc","NA",0,0.712,0.362,0.694,0.729,0.769,1,0,0.74,0.764,0.696,0.431,0.907,0.431,0.764,0.551,0.231,0.177,0.41,0.73,"xgb"
"323","70_7","prot_ctdd","NA",0,0.731,0.422,0.714,0.748,0.769,1,0,0.845,0.858,0.693,0.457,0.942,0.457,0.858,0.597,0.231,0.199,0.434,0.776,"xgb"
"324","70_7","prot_ctdt","NA",0,0.547,0.128,0.528,0.566,0.769,1,0,0.515,0.68,0.507,0.294,0.84,0.294,0.68,0.41,0.231,0.157,0.536,0.593,"xgb"
"325","70_7","prot_ctriad","NA",0,0.821,0.549,0.806,0.835,0.769,0,0,0.801,0.783,0.832,0.584,0.927,0.584,0.783,0.669,0.231,0.181,0.31,0.808,"xgb"
"326","70_7","prot_pseaac","NA",0,0.522,-0.045,0.503,0.541,0.769,1,0,0.405,0.375,0.566,0.207,0.751,0.207,0.375,0.267,0.231,0.087,0.42,0.471,"xgb"
"327","70_7","cds_compbias","NP",0,0.699,0.274,0.681,0.716,0.769,1,0,0.675,0.587,0.732,0.398,0.855,0.398,0.587,0.474,0.231,0.136,0.342,0.66,"xgb"
"328","70_7","nuc_2mer","NP",0,0.672,0.234,0.653,0.689,0.769,1,0,0.651,0.584,0.698,0.368,0.848,0.368,0.584,0.452,0.231,0.135,0.367,0.641,"xgb"
"329","70_7","nuc_3mer","NP",0,0.622,0.117,0.603,0.64,0.769,1,0,0.591,0.476,0.666,0.3,0.808,0.3,0.476,0.368,0.231,0.11,0.367,0.571,"xgb"
"330","70_7","nuc_4mer","NP",0,0.782,0.456,0.766,0.798,0.769,0.051,0,0.771,0.71,0.804,0.521,0.902,0.521,0.71,0.601,0.231,0.164,0.315,0.757,"xgb"
"331","70_7","nuc_5mer","NP",0,0.887,0.707,0.874,0.898,0.769,0,0,0.935,0.882,0.888,0.703,0.961,0.703,0.882,0.782,0.231,0.204,0.29,0.885,"xgb"
"332","70_7","nuc_6mer","NP",0,0.87,0.679,0.857,0.883,0.769,0,0,0.931,0.914,0.857,0.659,0.971,0.659,0.914,0.766,0.231,0.212,0.321,0.886,"xgb"
"333","70_7","prot_2mer","NP",0.004,0.903,0.726,0.892,0.914,0.769,0,0.418,0.909,0.78,0.941,0.798,0.934,0.798,0.78,0.789,0.231,0.181,0.226,0.86,"xgb"
"334","70_7","prot_ctdc","NP",0.001,0.905,0.74,0.893,0.916,0.769,0,0.001,0.907,0.837,0.925,0.772,0.95,0.772,0.837,0.803,0.231,0.194,0.251,0.881,"xgb"
"335","70_7","prot_ctdd","NP",0,0.809,0.525,0.793,0.823,0.769,0,0,0.812,0.775,0.819,0.563,0.924,0.563,0.775,0.652,0.231,0.179,0.319,0.797,"xgb"
"336","70_7","prot_ctdt","NP",0,0.878,0.668,0.864,0.89,0.769,0,0,0.868,0.79,0.904,0.712,0.935,0.712,0.79,0.749,0.231,0.183,0.257,0.847,"xgb"
"337","70_7","prot_ctriad","NP",0.048,0.863,0.578,0.85,0.876,0.769,0,0,0.78,0.578,0.949,0.774,0.882,0.774,0.578,0.662,0.231,0.134,0.173,0.763,"xgb"
"338","70_7","prot_pseaac","NP",0.001,0.86,0.609,0.846,0.873,0.769,0,0.47,0.809,0.709,0.905,0.692,0.912,0.692,0.709,0.7,0.231,0.164,0.237,0.807,"xgb"
"339","70_7","cds_compbias","NS1",0,0.763,0.424,0.746,0.779,0.769,0.762,0,0.802,0.712,0.778,0.492,0.9,0.492,0.712,0.582,0.231,0.165,0.335,0.745,"xgb"
"340","70_7","nuc_2mer","NS1",0,0.734,0.389,0.717,0.751,0.769,1,0,0.792,0.744,0.731,0.455,0.905,0.455,0.744,0.564,0.231,0.172,0.379,0.738,"xgb"
"341","70_7","nuc_3mer","NS1",0,0.736,0.362,0.718,0.752,0.769,1,0,0.749,0.665,0.757,0.452,0.882,0.452,0.665,0.538,0.231,0.154,0.341,0.711,"xgb"
"342","70_7","nuc_4mer","NS1",0,0.684,0.311,0.666,0.702,0.769,1,0,0.756,0.73,0.671,0.4,0.892,0.4,0.73,0.517,0.231,0.169,0.422,0.7,"xgb"
"343","70_7","nuc_5mer","NS1",0,0.857,0.639,0.843,0.87,0.769,0,0,0.929,0.856,0.857,0.643,0.952,0.643,0.856,0.734,0.231,0.198,0.308,0.856,"xgb"
"344","70_7","nuc_6mer","NS1",0,0.773,0.445,0.757,0.789,0.769,0.284,0,0.759,0.722,0.789,0.507,0.904,0.507,0.722,0.596,0.231,0.167,0.329,0.755,"xgb"
"345","70_7","prot_2mer","NS1",0,0.798,0.484,0.782,0.813,0.769,0,0,0.856,0.706,0.826,0.55,0.903,0.55,0.706,0.618,0.231,0.163,0.297,0.766,"xgb"
"346","70_7","prot_ctdc","NS1",0,0.867,0.652,0.854,0.88,0.769,0,0,0.923,0.817,0.883,0.677,0.941,0.677,0.817,0.74,0.231,0.189,0.279,0.85,"xgb"
"347","70_7","prot_ctdd","NS1",0,0.897,0.719,0.885,0.908,0.769,0,0.002,0.916,0.82,0.92,0.756,0.944,0.756,0.82,0.787,0.231,0.19,0.251,0.87,"xgb"
"348","70_7","prot_ctdt","NS1",0,0.9,0.733,0.888,0.911,0.769,0,0,0.94,0.861,0.912,0.746,0.956,0.746,0.861,0.799,0.231,0.199,0.267,0.886,"xgb"
"349","70_7","prot_ctriad","NS1",0,0.743,0.426,0.726,0.759,0.769,0.999,0,0.791,0.817,0.72,0.468,0.929,0.468,0.817,0.595,0.231,0.189,0.404,0.769,"xgb"
"350","70_7","prot_pseaac","NS1",0.001,0.875,0.677,0.862,0.888,0.769,0,0,0.94,0.853,0.882,0.685,0.952,0.685,0.853,0.76,0.231,0.197,0.288,0.867,"xgb"
"351","70_7","cds_compbias","PA",0,0.751,0.478,0.734,0.767,0.769,0.985,0,0.837,0.95,0.691,0.481,0.979,0.481,0.95,0.638,0.231,0.22,0.457,0.82,"xgb"
"352","70_7","nuc_2mer","PA",0,0.665,0.304,0.647,0.683,0.769,1,0,0.726,0.783,0.629,0.389,0.906,0.389,0.783,0.52,0.231,0.181,0.466,0.706,"xgb"
"353","70_7","nuc_3mer","PA",0,0.49,-0.007,0.471,0.509,0.769,1,0,0.477,0.505,0.486,0.228,0.765,0.228,0.505,0.314,0.231,0.117,0.512,0.495,"xgb"
"354","70_7","nuc_4mer","PA",0,0.541,-0.022,0.522,0.56,0.769,1,0,0.481,0.385,0.588,0.22,0.76,0.22,0.385,0.28,0.231,0.089,0.406,0.486,"xgb"
"355","70_7","nuc_5mer","PA",0,0.699,0.314,0.681,0.716,0.769,1,0,0.663,0.684,0.703,0.409,0.881,0.409,0.684,0.512,0.231,0.158,0.387,0.694,"xgb"
"356","70_7","nuc_6mer","PA",0,0.738,0.396,0.721,0.754,0.769,1,0,0.773,0.748,0.735,0.459,0.906,0.459,0.748,0.569,0.231,0.173,0.377,0.741,"xgb"
"357","70_7","prot_2mer","PA",0,0.867,0.666,0.854,0.88,0.769,0,0,0.916,0.88,0.864,0.66,0.96,0.66,0.88,0.755,0.231,0.204,0.309,0.872,"xgb"
"358","70_7","prot_ctdc","PA",0.001,0.814,0.497,0.799,0.829,0.769,0,0.003,0.683,0.654,0.863,0.589,0.892,0.589,0.654,0.62,0.231,0.151,0.257,0.758,"xgb"
"359","70_7","prot_ctdd","PA",0,0.762,0.436,0.745,0.778,0.769,0.802,0,0.855,0.754,0.764,0.491,0.912,0.491,0.754,0.594,0.231,0.175,0.356,0.759,"xgb"
"360","70_7","prot_ctdt","PA",0,0.843,0.599,0.828,0.856,0.769,0,0,0.919,0.807,0.853,0.624,0.936,0.624,0.807,0.704,0.231,0.187,0.3,0.83,"xgb"
"361","70_7","prot_ctriad","PA",0,0.775,0.465,0.759,0.791,0.769,0.211,0,0.783,0.772,0.776,0.51,0.919,0.51,0.772,0.614,0.231,0.179,0.351,0.774,"xgb"
"362","70_7","prot_pseaac","PA",0,0.828,0.561,0.814,0.843,0.769,0,0,0.889,0.772,0.846,0.601,0.925,0.601,0.772,0.676,0.231,0.179,0.297,0.809,"xgb"
"363","70_7","cds_compbias","PB1",0,0.672,0.33,0.654,0.69,0.769,1,0,0.781,0.828,0.625,0.399,0.924,0.399,0.828,0.539,0.231,0.192,0.48,0.727,"xgb"
"364","70_7","nuc_2mer","PB1",0,0.691,0.287,0.673,0.709,0.769,1,0,0.725,0.642,0.706,0.397,0.868,0.397,0.642,0.491,0.231,0.149,0.375,0.674,"xgb"
"365","70_7","nuc_3mer","PB1",0,0.783,0.449,0.767,0.799,0.769,0.038,0,0.76,0.684,0.813,0.524,0.895,0.524,0.684,0.594,0.231,0.158,0.302,0.749,"xgb"
"366","70_7","nuc_4mer","PB1",0,0.709,0.352,0.691,0.726,0.769,1,0,0.794,0.748,0.697,0.427,0.902,0.427,0.748,0.543,0.231,0.173,0.406,0.722,"xgb"
"367","70_7","nuc_5mer","PB1",0,0.879,0.665,0.866,0.891,0.769,0,0.085,0.878,0.764,0.913,0.726,0.928,0.726,0.764,0.744,0.231,0.177,0.243,0.839,"xgb"
"368","70_7","nuc_6mer","PB1",0,0.849,0.594,0.835,0.863,0.769,0,0,0.798,0.735,0.884,0.656,0.917,0.656,0.735,0.693,0.231,0.17,0.259,0.809,"xgb"
"369","70_7","prot_2mer","PB1",0,0.909,0.757,0.897,0.92,0.769,0,0,0.94,0.879,0.918,0.764,0.962,0.764,0.879,0.817,0.231,0.203,0.266,0.898,"xgb"
"370","70_7","prot_ctdc","PB1",0,0.846,0.617,0.832,0.86,0.769,0,0,0.902,0.853,0.844,0.622,0.95,0.622,0.853,0.719,0.231,0.197,0.317,0.848,"xgb"
"371","70_7","prot_ctdd","PB1",0,0.909,0.762,0.898,0.92,0.769,0,0,0.96,0.906,0.91,0.753,0.97,0.753,0.906,0.822,0.231,0.21,0.279,0.908,"xgb"
"372","70_7","prot_ctdt","PB1",0,0.823,0.542,0.808,0.837,0.769,0,0,0.881,0.743,0.847,0.594,0.916,0.594,0.743,0.66,0.231,0.172,0.29,0.795,"xgb"
"373","70_7","prot_ctriad","PB1",0,0.914,0.765,0.903,0.925,0.769,0,0.006,0.934,0.85,0.934,0.794,0.954,0.794,0.85,0.821,0.231,0.197,0.248,0.892,"xgb"
"374","70_7","prot_pseaac","PB1",0.001,0.814,0.532,0.799,0.829,0.769,0,0,0.828,0.764,0.829,0.574,0.921,0.574,0.764,0.656,0.231,0.177,0.308,0.797,"xgb"
"375","70_7","cds_compbias","PB2",0,0.882,0.698,0.87,0.894,0.769,0,0,0.935,0.882,0.883,0.693,0.961,0.693,0.882,0.776,0.231,0.204,0.294,0.882,"xgb"
"376","70_7","nuc_2mer","PB2",0,0.516,0.104,0.497,0.536,0.769,1,0,0.579,0.694,0.463,0.28,0.834,0.28,0.694,0.399,0.231,0.161,0.573,0.579,"xgb"
"377","70_7","nuc_3mer","PB2",0,0.722,0.365,0.704,0.739,0.769,1,0,0.799,0.73,0.719,0.439,0.898,0.439,0.73,0.548,0.231,0.169,0.385,0.725,"xgb"
"378","70_7","nuc_4mer","PB2",0,0.769,0.416,0.752,0.785,0.769,0.492,0,0.795,0.66,0.802,0.501,0.887,0.501,0.66,0.569,0.231,0.153,0.305,0.731,"xgb"
"379","70_7","nuc_5mer","PB2",0,0.748,0.377,0.731,0.764,0.769,0.995,0,0.76,0.654,0.776,0.468,0.882,0.468,0.654,0.545,0.231,0.151,0.324,0.715,"xgb"
"380","70_7","nuc_6mer","PB2",0,0.854,0.623,0.84,0.867,0.769,0,0,0.904,0.811,0.867,0.647,0.938,0.647,0.811,0.72,0.231,0.188,0.29,0.839,"xgb"
"381","70_7","prot_2mer","PB2",0,0.886,0.688,0.873,0.898,0.769,0,0.003,0.863,0.796,0.913,0.733,0.937,0.733,0.796,0.763,0.231,0.184,0.251,0.854,"xgb"
"382","70_7","prot_ctdc","PB2",0,0.857,0.643,0.843,0.87,0.769,0,0,0.92,0.867,0.854,0.642,0.955,0.642,0.867,0.738,0.231,0.201,0.313,0.861,"xgb"
"383","70_7","prot_ctdd","PB2",0,0.919,0.791,0.909,0.93,0.769,0,0,0.97,0.943,0.912,0.764,0.982,0.764,0.943,0.844,0.231,0.218,0.286,0.928,"xgb"
"384","70_7","prot_ctdt","PB2",0,0.816,0.549,0.801,0.831,0.769,0,0,0.879,0.811,0.818,0.573,0.935,0.573,0.811,0.672,0.231,0.188,0.327,0.814,"xgb"
"385","70_7","prot_ctriad","PB2",0.001,0.882,0.676,0.869,0.894,0.769,0,0.018,0.85,0.78,0.913,0.729,0.932,0.729,0.78,0.754,0.231,0.181,0.248,0.846,"xgb"
"386","70_7","prot_pseaac","PB2",0.001,0.872,0.664,0.859,0.884,0.769,0,0,0.901,0.827,0.885,0.685,0.944,0.685,0.827,0.749,0.231,0.191,0.279,0.856,"xgb"
"387","70_7","cds_compbias","HA",0.019,0.693,0.357,0.675,0.71,0.769,1,0,0.804,0.828,0.652,0.417,0.927,0.417,0.828,0.555,0.231,0.192,0.46,0.74,"glmnet"
"388","70_7","nuc_2mer","HA",0.172,0.81,0.537,0.795,0.825,0.769,0,0,0.872,0.809,0.81,0.562,0.934,0.562,0.809,0.664,0.231,0.187,0.333,0.81,"glmnet"
"389","70_7","nuc_3mer","HA",0.211,0.916,0.778,0.905,0.926,0.769,0,0,0.952,0.916,0.916,0.766,0.973,0.766,0.916,0.834,0.231,0.212,0.277,0.916,"glmnet"
"390","70_7","nuc_4mer","HA",0,0.552,0.15,0.533,0.571,0.769,1,0,0.624,0.722,0.5,0.303,0.857,0.303,0.722,0.427,0.231,0.167,0.551,0.611,"glmnet"
"391","70_7","nuc_5mer","HA",0.001,0.887,0.712,0.874,0.899,0.769,0,0,0.939,0.906,0.881,0.697,0.969,0.697,0.906,0.788,0.231,0.21,0.301,0.894,"glmnet"
"392","70_7","nuc_6mer","HA",0.011,0.833,0.583,0.819,0.847,0.769,0,0,0.861,0.817,0.838,0.603,0.938,0.603,0.817,0.694,0.231,0.189,0.313,0.828,"glmnet"
"393","70_7","prot_2mer","HA",0,0.637,0.089,0.619,0.656,0.769,1,0,0.348,0.387,0.713,0.289,0.794,0.289,0.387,0.331,0.231,0.09,0.31,0.55,"glmnet"
"394","70_7","prot_ctdc","HA",0.376,0.933,0.816,0.923,0.943,0.769,0,0.043,0.916,0.879,0.95,0.841,0.963,0.841,0.879,0.859,0.231,0.203,0.242,0.914,"glmnet"
"395","70_7","prot_ctdd","HA",0.001,0.927,0.802,0.916,0.936,0.769,0,0,0.961,0.898,0.935,0.807,0.968,0.807,0.898,0.85,0.231,0.208,0.258,0.917,"glmnet"
"396","70_7","prot_ctdt","HA",0.357,0.938,0.825,0.928,0.947,0.769,0,0.816,0.856,0.862,0.961,0.868,0.959,0.868,0.862,0.865,0.231,0.2,0.23,0.911,"glmnet"
"397","70_7","prot_ctriad","HA",0,0.544,0.19,0.525,0.563,0.769,1,0,0.672,0.848,0.453,0.318,0.908,0.318,0.848,0.463,0.231,0.196,0.617,0.65,"glmnet"
"398","70_7","prot_pseaac","HA",0.366,0.942,0.834,0.932,0.95,0.769,0,0.23,0.906,0.861,0.966,0.884,0.958,0.884,0.861,0.872,0.231,0.199,0.225,0.913,"glmnet"
"399","70_7","cds_compbias","M1",0.105,0.899,0.709,0.887,0.91,0.769,0,0.007,0.772,0.746,0.945,0.805,0.925,0.805,0.746,0.774,0.231,0.173,0.215,0.846,"glmnet"
"400","70_7","nuc_2mer","M1",0.151,0.875,0.68,0.862,0.888,0.769,0,0,0.92,0.869,0.877,0.681,0.957,0.681,0.869,0.763,0.231,0.201,0.296,0.873,"glmnet"
"401","70_7","nuc_3mer","M1",0.227,0.915,0.753,0.904,0.926,0.769,0,0,0.85,0.764,0.961,0.855,0.931,0.855,0.764,0.807,0.231,0.177,0.207,0.862,"glmnet"
"402","70_7","nuc_4mer","M1",0.003,0.758,0.412,0.741,0.774,0.769,0.912,0,0.775,0.702,0.774,0.484,0.896,0.484,0.702,0.573,0.231,0.163,0.336,0.738,"glmnet"
"403","70_7","nuc_5mer","M1",0.002,0.764,0.427,0.747,0.78,0.769,0.718,0,0.781,0.717,0.778,0.493,0.901,0.493,0.717,0.584,0.231,0.166,0.336,0.748,"glmnet"
"404","70_7","nuc_6mer","M1",0.007,0.656,0.268,0.638,0.674,0.769,1,0,0.724,0.715,0.638,0.373,0.882,0.373,0.715,0.491,0.231,0.166,0.443,0.677,"glmnet"
"405","70_7","prot_2mer","M1",0.282,0.948,0.862,0.939,0.956,0.769,0,0,0.955,0.968,0.942,0.835,0.99,0.835,0.968,0.897,0.231,0.224,0.268,0.955,"glmnet"
"406","70_7","prot_ctdc","M1",0.398,0.965,0.905,0.957,0.971,0.769,0,0,0.953,0.979,0.961,0.882,0.993,0.882,0.979,0.928,0.231,0.227,0.257,0.97,"glmnet"
"407","70_7","prot_ctdd","M1",0.293,0.941,0.838,0.932,0.95,0.769,0,0.002,0.899,0.905,0.952,0.851,0.971,0.851,0.905,0.877,0.231,0.209,0.246,0.928,"glmnet"
"408","70_7","prot_ctdt","M1",0.415,0.941,0.836,0.932,0.95,0.769,0,0.338,0.936,0.883,0.959,0.865,0.965,0.865,0.883,0.874,0.231,0.204,0.236,0.921,"glmnet"
"409","70_7","prot_ctriad","M1",0.319,0.934,0.817,0.924,0.944,0.769,0,0.364,0.87,0.869,0.954,0.851,0.96,0.851,0.869,0.86,0.231,0.201,0.236,0.912,"glmnet"
"410","70_7","prot_pseaac","M1",0.432,0.93,0.799,0.919,0.939,0.769,0,0.049,0.861,0.825,0.961,0.864,0.948,0.864,0.825,0.844,0.231,0.191,0.221,0.893,"glmnet"
"411","70_7","cds_compbias","NA",0.001,0.235,-0.026,0.219,0.252,0.769,1,0,0.1,0.916,0.03,0.221,0.544,0.221,0.916,0.357,0.231,0.212,0.957,0.473,"glmnet"
"412","70_7","nuc_2mer","NA",0.061,0.23,-0.042,0.214,0.246,0.769,1,0,0.074,0.879,0.035,0.215,0.486,0.215,0.879,0.346,0.231,0.203,0.945,0.457,"glmnet"
"413","70_7","nuc_3mer","NA",0.732,0.705,-0.1,0.688,0.722,0.769,1,0,0.027,0.01,0.915,0.033,0.754,0.033,0.01,0.015,0.231,0.002,0.068,0.462,"glmnet"
"414","70_7","nuc_4mer","NA",0,0.227,-0.014,0.211,0.243,0.769,1,0,0.048,0.966,0.004,0.226,0.3,0.226,0.966,0.366,0.231,0.224,0.989,0.485,"glmnet"
"415","70_7","nuc_5mer","NA",0,0.44,0.025,0.421,0.459,0.769,1,0,0.359,0.67,0.37,0.243,0.788,0.243,0.67,0.356,0.231,0.155,0.639,0.52,"glmnet"
"416","70_7","nuc_6mer","NA",0.001,0.317,-0.023,0.3,0.335,0.769,1,0,0.299,0.778,0.178,0.222,0.728,0.222,0.778,0.345,0.231,0.18,0.812,0.478,"glmnet"
"417","70_7","prot_2mer","NA",0,0.475,0.041,0.456,0.494,0.769,1,0,0.459,0.636,0.426,0.25,0.795,0.25,0.636,0.359,0.231,0.147,0.588,0.531,"glmnet"
"418","70_7","prot_ctdc","NA",0.546,0.769,0.124,0.752,0.785,0.769,0.492,0,0.131,0.131,0.961,0.503,0.786,0.503,0.131,0.208,0.231,0.03,0.06,0.546,"glmnet"
"419","70_7","prot_ctdd","NA",0.829,0.744,-0.045,0.727,0.76,0.769,0.999,0,0.073,0.002,0.967,0.015,0.763,0.015,0.002,0.003,0.231,0,0.025,0.484,"glmnet"
"420","70_7","prot_ctdt","NA",0.446,0.883,0.658,0.87,0.895,0.769,0,0,0.719,0.693,0.94,0.777,0.91,0.777,0.693,0.732,0.231,0.16,0.206,0.816,"glmnet"
"421","70_7","prot_ctriad","NA",0.003,0.495,-0.162,0.476,0.514,0.769,1,0,0.261,0.227,0.576,0.139,0.712,0.139,0.227,0.172,0.231,0.052,0.378,0.401,"glmnet"
"422","70_7","prot_pseaac","NA",0.241,0.802,0.502,0.786,0.817,0.769,0,0,0.671,0.741,0.82,0.554,0.913,0.554,0.741,0.634,0.231,0.172,0.31,0.781,"glmnet"
"423","70_7","cds_compbias","NP",0.022,0.834,0.583,0.819,0.848,0.769,0,0,0.897,0.811,0.841,0.606,0.937,0.606,0.811,0.693,0.231,0.188,0.31,0.826,"glmnet"
"424","70_7","nuc_2mer","NP",0.206,0.866,0.655,0.852,0.878,0.769,0,0,0.934,0.848,0.871,0.664,0.95,0.664,0.848,0.745,0.231,0.196,0.296,0.859,"glmnet"
"425","70_7","nuc_3mer","NP",0.028,0.834,0.607,0.82,0.848,0.769,0,0,0.915,0.906,0.813,0.593,0.966,0.593,0.906,0.717,0.231,0.21,0.354,0.86,"glmnet"
"426","70_7","nuc_4mer","NP",0.001,0.853,0.643,0.839,0.866,0.769,0,0,0.913,0.908,0.837,0.626,0.968,0.626,0.908,0.741,0.231,0.21,0.336,0.872,"glmnet"
"427","70_7","nuc_5mer","NP",0.01,0.889,0.715,0.876,0.9,0.769,0,0,0.927,0.898,0.886,0.703,0.967,0.703,0.898,0.789,0.231,0.208,0.296,0.892,"glmnet"
