"","cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","method"
"211","70_7","prot_2mer","M1",0.017,0.307,0.04,0.289,0.325,0.769,1,0,0.162,0.977,0.105,0.247,0.939,0.247,0.977,0.395,0.231,0.226,0.914,0.541,"svm"
"212","70_7","prot_ctdc","M1",0.042,0.771,0.173,0.754,0.787,0.769,0.402,0,0.212,0.189,0.946,0.513,0.795,0.513,0.189,0.277,0.231,0.044,0.085,0.568,"svm"
"213","70_7","prot_ctdd","M1",0.033,0.75,0.123,0.733,0.766,0.769,0.989,0,0.243,0.176,0.923,0.407,0.788,0.407,0.176,0.246,0.231,0.041,0.1,0.549,"svm"
"214","70_7","prot_ctdt","M1",0.033,0.772,0.09,0.756,0.788,0.769,0.333,0,0.11,0.084,0.98,0.553,0.78,0.553,0.084,0.146,0.231,0.019,0.035,0.532,"svm"
"215","70_7","prot_ctriad","M1",0.018,0.341,0.07,0.323,0.359,0.769,1,0,0.2,0.997,0.143,0.259,0.993,0.259,0.997,0.412,0.231,0.231,0.889,0.57,"svm"
"216","70_7","prot_pseaac","M1",0.036,0.812,0.301,0.796,0.826,0.769,0,0,0.391,0.246,0.982,0.804,0.812,0.804,0.246,0.377,0.231,0.057,0.071,0.614,"svm"
"217","70_7","cds_compbias","NA",0.015,0.407,0.094,0.388,0.426,0.769,1,0,0.381,0.921,0.252,0.27,0.913,0.27,0.921,0.418,0.231,0.213,0.788,0.586,"svm"
"218","70_7","nuc_2mer","NA",0.016,0.709,0.365,0.692,0.727,0.769,1,0,0.65,0.783,0.687,0.43,0.913,0.43,0.783,0.555,0.231,0.181,0.422,0.735,"svm"
"219","70_7","nuc_3mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.007,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5,"svm"
"220","70_7","nuc_3mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.007,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5,"svm"
"221","70_7","nuc_4mer","NA",0.021,0.751,-0.026,0.734,0.767,0.769,0.986,0,0.022,0.008,0.974,0.086,0.765,0.086,0.008,0.015,0.231,0.002,0.022,0.491,"svm"
"222","70_7","nuc_5mer","NA",0.01,0.29,-0.008,0.273,0.308,0.769,1,0,0.148,0.867,0.116,0.228,0.745,0.228,0.867,0.361,0.231,0.201,0.88,0.492,"svm"
"223","70_7","nuc_6mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.008,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5,"svm"
"224","70_7","nuc_6mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.008,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5,"svm"
"225","70_7","prot_2mer","NA",0.019,0.763,0.464,0.747,0.779,0.769,0.748,0,0.823,0.833,0.742,0.493,0.937,0.493,0.833,0.62,0.231,0.193,0.391,0.788,"svm"
"226","70_7","prot_ctdc","NA",0.006,0.421,0.042,0.402,0.44,0.769,1,0,0.425,0.749,0.322,0.25,0.81,0.25,0.749,0.374,0.231,0.173,0.695,0.535,"svm"
"227","70_7","prot_ctdd","NA",0.04,0.769,0.012,0.753,0.785,0.769,0.474,0,0.019,0.01,0.998,0.6,0.77,0.6,0.01,0.019,0.231,0.002,0.004,0.504,"svm"
"228","70_7","prot_ctdt","NA",0.023,0.551,0.074,0.532,0.57,0.769,1,0,0.511,0.55,0.551,0.27,0.803,0.27,0.55,0.362,0.231,0.127,0.472,0.551,"svm"
"229","70_7","prot_ctriad","NA",0.022,0.442,0.048,0.423,0.461,0.769,1,0,0.391,0.72,0.359,0.253,0.81,0.253,0.72,0.374,0.231,0.167,0.66,0.539,"svm"
"230","70_7","prot_pseaac","NA",0.017,0.767,0.472,0.75,0.783,0.769,0.601,0,0.784,0.841,0.744,0.498,0.94,0.498,0.841,0.625,0.231,0.195,0.391,0.793,"svm"
"231","70_7","cds_compbias","NP",0.016,0.654,0.173,0.636,0.672,0.769,1,0,0.665,0.503,0.7,0.335,0.824,0.335,0.503,0.403,0.231,0.116,0.347,0.602,"svm"
"232","70_7","nuc_2mer","NP",0.014,0.622,0.184,0.603,0.641,0.769,1,0,0.666,0.615,0.624,0.33,0.843,0.33,0.615,0.43,0.231,0.142,0.431,0.62,"svm"
"233","70_7","nuc_3mer","NP",0.013,0.597,0.241,0.578,0.615,0.769,1,0,0.669,0.837,0.524,0.346,0.914,0.346,0.837,0.49,0.231,0.194,0.559,0.68,"svm"
"234","70_7","nuc_4mer","NP",0.021,0.788,0.403,0.772,0.803,0.769,0.009,0.9,0.708,0.539,0.863,0.542,0.861,0.542,0.539,0.541,0.231,0.125,0.23,0.701,"svm"
"235","70_7","nuc_5mer","NP",0.016,0.631,0.113,0.613,0.65,0.769,1,0,0.571,0.443,0.688,0.3,0.804,0.3,0.443,0.358,0.231,0.103,0.342,0.566,"svm"
"236","70_7","nuc_6mer","NP",0.026,0.397,-0.239,0.378,0.416,0.769,1,0,0.186,0.223,0.449,0.109,0.658,0.109,0.223,0.146,0.231,0.052,0.475,0.336,"svm"
"237","70_7","prot_2mer","NP",0.023,0.774,0.492,0.758,0.79,0.769,0.254,0,0.876,0.871,0.745,0.507,0.95,0.507,0.871,0.641,0.231,0.201,0.397,0.808,"svm"
"238","70_7","prot_ctdc","NP",0.041,0.895,0.678,0.882,0.906,0.769,0,0,0.679,0.655,0.967,0.856,0.903,0.856,0.655,0.742,0.231,0.152,0.177,0.811,"svm"
