"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.013,0.871,0.673,0.857,0.883,0.769,0,0,0.924,0.88,0.868,0.667,0.96,0.667,0.88,0.759,0.231,0.204,0.305,0.874
"70_7","nuc_2mer","HA",0.006,0.815,0.573,0.8,0.83,0.769,0,0,0.813,0.909,0.787,0.563,0.966,0.563,0.909,0.695,0.231,0.21,0.374,0.848
"70_7","nuc_3mer","HA",0.016,0.951,0.867,0.942,0.959,0.769,0,0,0.959,0.939,0.955,0.863,0.981,0.863,0.939,0.899,0.231,0.217,0.252,0.947
"70_7","nuc_4mer","HA",0.002,0.741,0.444,0.724,0.757,0.769,1,0,0.81,0.885,0.697,0.468,0.953,0.468,0.885,0.613,0.231,0.205,0.437,0.791
"70_7","nuc_5mer","HA",0.012,0.915,0.781,0.904,0.926,0.769,0,0,0.922,0.942,0.907,0.754,0.981,0.754,0.942,0.837,0.231,0.218,0.289,0.925
"70_7","nuc_6mer","HA",0.009,0.712,0.385,0.695,0.729,0.769,1,0,0.733,0.83,0.677,0.436,0.93,0.436,0.83,0.572,0.231,0.192,0.44,0.753
"70_7","prot_2mer","HA",0.001,0.502,0.137,0.483,0.521,0.769,1,0,0.574,0.814,0.408,0.293,0.879,0.293,0.814,0.431,0.231,0.188,0.643,0.611
"70_7","prot_ctdc","HA",0.004,0.919,0.788,0.908,0.929,0.769,0,0,0.925,0.927,0.917,0.77,0.977,0.77,0.927,0.841,0.231,0.215,0.279,0.922
"70_7","prot_ctdd","HA",0.004,0.85,0.631,0.836,0.863,0.769,0,0,0.898,0.882,0.84,0.624,0.959,0.624,0.882,0.731,0.231,0.204,0.327,0.861
"70_7","prot_ctdt","HA",0.003,0.943,0.847,0.933,0.951,0.769,0,0,0.98,0.955,0.939,0.825,0.986,0.825,0.955,0.885,0.231,0.221,0.268,0.947
"70_7","prot_ctriad","HA",0.007,0.761,0.439,0.745,0.777,0.769,0.815,0,0.726,0.765,0.76,0.49,0.915,0.49,0.765,0.598,0.231,0.177,0.361,0.763
"70_7","prot_pseaac","HA",0.014,0.863,0.655,0.849,0.875,0.769,0,0,0.873,0.875,0.859,0.651,0.958,0.651,0.875,0.747,0.231,0.203,0.311,0.867
"70_7","cds_compbias","M1",0.025,0.813,0.516,0.797,0.827,0.769,0,0,0.734,0.722,0.84,0.576,0.909,0.576,0.722,0.641,0.231,0.167,0.29,0.781
"70_7","nuc_2mer","M1",0.013,0.576,0.215,0.557,0.595,0.769,1,0,0.587,0.825,0.501,0.333,0.905,0.333,0.825,0.474,0.231,0.191,0.574,0.663
