"focgene","featname","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD","fold"
"HA","cds_compbias","gini","5",12,0.971624465896503,0.566751854578141,0.00729866754966448,0.148108586519116,1
"HA","cds_compbias","gini","25",12,0.969657382497231,0.530906361561377,0.00757504471892791,0.176101545135558,1
"HA","cds_compbias","gini","45",12,0.969938281373635,0.539489946055897,0.0081602847668742,0.182155552253555,1
"HA","cds_compbias","gini","5",12,0.973307485361608,0.605082918190087,0.00786044235253043,0.158114526549443,2
"HA","cds_compbias","gini","25",12,0.971340401962336,0.556675299911156,0.00734821573181854,0.177709032690759,2
"HA","cds_compbias","gini","45",12,0.970779395473967,0.549601369222551,0.00727267103210219,0.178940307023112,2
"HA","cds_compbias","gini","5",12,0.97273381864219,0.563266786004894,0.00816369291281972,0.162162151792345,3
"HA","cds_compbias","gini","25",12,0.971608640607691,0.546071662423797,0.00693186835696534,0.141809058694191,3
"HA","cds_compbias","gini","45",12,0.969922456084824,0.526263368671392,0.00749001889800173,0.143245984185445,3
"HA","cds_compbias","gini","5",12,0.971618927045419,0.586588344007003,0.00570420724767645,0.0750799939822496,4
"HA","cds_compbias","gini","25",12,0.970214432663396,0.560392187696901,0.00500537850815949,0.0652661116394523,4
"HA","cds_compbias","gini","45",12,0.970495331539801,0.559745521292225,0.0050147688198976,0.0643463250233789,4
"HA","cds_compbias","gini","5",12,0.971327741731287,0.574572716211046,0.00816399776244281,0.150510526734943,5
"HA","cds_compbias","gini","25",12,0.970765943978478,0.56320532297006,0.00693029331560841,0.12328087239113,5
"HA","cds_compbias","gini","45",12,0.971610223136572,0.576653493039234,0.00695401903152894,0.124398826965597,5
"HA","nuc_2mer","gini","5",4,0.968815477132458,0.498305837396351,0.00741581680079839,0.158279946290993,1
"HA","nuc_2mer","gini","25",4,0.968253679379649,0.480405917113318,0.00712602195345056,0.161764692860425,1
"HA","nuc_2mer","gini","45",4,0.967973571767685,0.490183871679789,0.00849018612463904,0.180818666423712,1
"HA","nuc_2mer","gini","5",4,0.971341193226776,0.547306696878291,0.00865989633928468,0.19182704348241,2
"HA","nuc_2mer","gini","25",4,0.966845228675423,0.451990418743459,0.0078087466309313,0.197584122605097,2
