"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"60_6","cds_compbias","HA",0.768,0.712,0.108,0.694,0.729,0.769,1,0,0.377,0.246,0.852,0.334,0.79,0.334,0.246,0.283,0.231,0.057,0.17,0.549
"60_6","nuc_2mer","HA",0.985,0.926,0.776,0.915,0.935,0.769,0,0,0.783,0.743,0.981,0.922,0.927,0.922,0.743,0.823,0.231,0.172,0.187,0.862
"60_6","nuc_3mer","HA",0.851,0.67,0.042,0.652,0.688,0.769,1,0.055,0.381,0.241,0.8,0.266,0.778,0.266,0.241,0.253,0.231,0.056,0.21,0.52
"60_6","nuc_4mer","HA",0.959,0.772,0.03,0.756,0.788,0.769,0.333,0,0.032,0.021,0.999,0.812,0.772,0.812,0.021,0.041,0.231,0.005,0.006,0.51
"60_6","nuc_5mer","HA",0.666,0.242,-0.034,0.225,0.258,0.769,1,0,0.123,0.88,0.049,0.218,0.577,0.218,0.88,0.35,0.231,0.204,0.934,0.465
"60_6","nuc_6mer","HA",0.92,0.947,0.839,0.938,0.955,0.769,0,0,0.795,0.772,1,1,0.936,1,0.772,0.871,0.231,0.179,0.179,0.886
"60_6","prot_2mer","HA",0.72,0.356,0.07,0.338,0.375,0.769,1,0,0.206,0.963,0.173,0.26,0.939,0.26,0.963,0.409,0.231,0.223,0.858,0.568
"60_6","prot_ctdc","HA",0.735,0.638,-0.114,0.619,0.656,0.769,1,0,0.188,0.094,0.802,0.125,0.746,0.125,0.094,0.107,0.231,0.022,0.174,0.448
"60_6","prot_ctdd","HA",0.718,0.658,-0.014,0.639,0.676,0.769,1,0.003,0.299,0.188,0.799,0.22,0.766,0.22,0.188,0.202,0.231,0.043,0.198,0.493
"60_6","prot_ctdt","HA",0.72,0.46,0.051,0.441,0.479,0.769,1,0,0.384,0.691,0.39,0.254,0.807,0.254,0.691,0.372,0.231,0.16,0.628,0.541
"60_6","prot_ctriad","HA",0.68,0.228,-0.079,0.212,0.244,0.769,1,0,0.122,0.78,0.061,0.2,0.481,0.2,0.78,0.319,0.231,0.181,0.902,0.421
"60_6","prot_pseaac","HA",0.572,0.216,-0.117,0.2,0.232,0.769,1,0,0.077,0.699,0.07,0.185,0.436,0.185,0.699,0.292,0.231,0.162,0.876,0.385
"60_6","cds_compbias","M1",0.735,0.342,-0.055,0.324,0.36,0.769,1,0,0.376,0.657,0.247,0.208,0.705,0.208,0.657,0.316,0.231,0.152,0.731,0.452
"60_6","nuc_2mer","M1",0.999,0.936,0.802,0.926,0.945,0.769,0,0,0.775,0.725,1,1,0.923,1,0.725,0.841,0.231,0.168,0.168,0.862
"60_6","nuc_3mer","M1",0.853,0.664,0.185,0.645,0.682,0.769,1,0,0.578,0.503,0.712,0.345,0.826,0.345,0.503,0.409,0.231,0.116,0.338,0.608
"60_6","nuc_4mer","M1",0.892,0.782,0.437,0.766,0.798,0.769,0.051,0,0.705,0.655,0.82,0.523,0.888,0.523,0.655,0.582,0.231,0.152,0.29,0.738
"60_6","nuc_5mer","M1",0.794,0.285,-0.121,0.268,0.303,0.769,1,0,0.272,0.589,0.193,0.18,0.61,0.18,0.589,0.276,0.231,0.136,0.756,0.391
"60_6","nuc_6mer","M1",0.928,0.901,0.709,0.889,0.912,0.769,0,0,0.791,0.725,0.954,0.825,0.92,0.825,0.725,0.772,0.231,0.168,0.203,0.839
"60_6","prot_2mer","M1",0.746,0.821,0.312,0.806,0.836,0.769,0,0,0.234,0.228,1,1,0.811,1,0.228,0.372,0.231,0.053,0.053,0.614
"60_6","prot_ctdc","M1",0.631,0.792,0.151,0.776,0.807,0.769,0.002,0,0.113,0.105,0.999,0.97,0.788,0.97,0.105,0.19,0.231,0.024,0.025,0.552
"60_6","prot_ctdd","M1",0.706,0.735,0.137,0.718,0.751,0.769,1,0,0.233,0.231,0.886,0.38,0.793,0.38,0.231,0.288,0.231,0.054,0.141,0.559
"60_6","prot_ctdt","M1",0.79,0.821,0.31,0.806,0.835,0.769,0,0,0.235,0.227,1,1,0.811,1,0.227,0.369,0.231,0.052,0.052,0.613
"60_6","prot_ctriad","M1",0.76,0.821,0.308,0.806,0.835,0.769,0,0,0.232,0.225,1,1,0.811,1,0.225,0.367,0.231,0.052,0.052,0.612
"60_6","prot_pseaac","M1",0.62,0.553,-0.173,0.534,0.572,0.769,1,0,0.096,0.136,0.679,0.113,0.723,0.113,0.136,0.123,0.231,0.031,0.278,0.407
"60_6","cds_compbias","NA",0.684,0.433,0.018,0.414,0.452,0.769,1,0,0.489,0.667,0.362,0.239,0.783,0.239,0.667,0.352,0.231,0.154,0.645,0.514
"60_6","nuc_2mer","NA",1,0.936,0.802,0.926,0.945,0.769,0,0,0.808,0.725,1,1,0.923,1,0.725,0.841,0.231,0.168,0.168,0.862
"60_6","nuc_3mer","NA",0.807,0.791,0.514,0.775,0.806,0.769,0.003,0,0.845,0.851,0.772,0.53,0.945,0.53,0.851,0.653,0.231,0.197,0.372,0.812
"60_6","nuc_4mer","NA",0.852,0.471,0.151,0.452,0.49,0.769,1,0,0.436,0.932,0.332,0.296,0.942,0.296,0.932,0.449,0.231,0.216,0.729,0.632
"60_6","nuc_5mer","NA",0.802,0.923,0.805,0.912,0.933,0.769,0,0,0.936,0.985,0.904,0.757,0.995,0.757,0.985,0.856,0.231,0.228,0.301,0.945
"60_6","nuc_6mer","NA",0.838,0.807,0.575,0.791,0.822,0.769,0,0,0.934,0.979,0.755,0.546,0.992,0.546,0.979,0.701,0.231,0.227,0.415,0.867
"60_6","prot_2mer","NA",0.757,0.296,-0.024,0.279,0.314,0.769,1,0,0.216,0.812,0.141,0.222,0.714,0.222,0.812,0.348,0.231,0.188,0.848,0.477
"60_6","prot_ctdc","NA",0.747,0.758,0.181,0.741,0.774,0.769,0.912,0,0.309,0.236,0.915,0.455,0.799,0.455,0.236,0.311,0.231,0.055,0.12,0.575
"60_6","prot_ctdd","NA",0.722,0.673,0.051,0.655,0.691,0.769,1,0.054,0.265,0.248,0.802,0.273,0.78,0.273,0.248,0.26,0.231,0.057,0.21,0.525
"60_6","prot_ctdt","NA",0.829,0.633,-0.014,0.614,0.651,0.769,1,0.307,0.225,0.233,0.753,0.221,0.765,0.221,0.233,0.227,0.231,0.054,0.244,0.493
"60_6","prot_ctriad","NA",0.706,0.234,0.001,0.218,0.251,0.769,1,0,0.096,0.997,0.005,0.232,0.833,0.232,0.997,0.376,0.231,0.231,0.996,0.501
"60_6","prot_pseaac","NA",0.902,0.726,0.133,0.709,0.743,0.769,1,0,0.274,0.248,0.87,0.365,0.793,0.365,0.248,0.295,0.231,0.057,0.157,0.559
"60_6","cds_compbias","NP",0.755,0.26,-0.165,0.243,0.277,0.769,1,0,0.157,0.526,0.179,0.162,0.557,0.162,0.526,0.247,0.231,0.122,0.752,0.353
"60_6","nuc_2mer","NP",0.983,0.937,0.805,0.927,0.946,0.769,0,0,0.78,0.728,1,1,0.924,1,0.728,0.843,0.231,0.169,0.169,0.864
"60_6","nuc_3mer","NP",0.759,0.555,0.081,0.536,0.574,0.769,1,0,0.498,0.555,0.556,0.273,0.806,0.273,0.555,0.366,0.231,0.128,0.47,0.555
"60_6","nuc_4mer","NP",0.651,0.688,0.31,0.67,0.706,0.769,1,0,0.677,0.712,0.681,0.402,0.887,0.402,0.712,0.514,0.231,0.165,0.41,0.697
"60_6","nuc_5mer","NP",0.754,0.836,0.499,0.821,0.85,0.769,0,0,0.62,0.532,0.927,0.688,0.868,0.688,0.532,0.6,0.231,0.123,0.179,0.73
"60_6","nuc_6mer","NP",0.79,0.908,0.733,0.896,0.919,0.769,0,0,0.934,0.756,0.954,0.831,0.928,0.831,0.756,0.792,0.231,0.175,0.21,0.855
"60_6","prot_2mer","NP",0.824,0.698,0.06,0.68,0.715,0.769,1,0,0.246,0.209,0.845,0.289,0.78,0.289,0.209,0.242,0.231,0.048,0.167,0.527
"60_6","prot_ctdc","NP",0.726,0.961,0.885,0.953,0.968,0.769,0,0,0.863,0.838,0.999,0.994,0.953,0.994,0.838,0.91,0.231,0.194,0.195,0.918
"60_6","prot_ctdd","NP",0.964,0.757,-0.022,0.74,0.773,0.769,0.931,0,0.124,0.002,0.984,0.029,0.766,0.029,0.002,0.003,0.231,0,0.013,0.493
"60_6","prot_ctdt","NP",0.631,0.961,0.886,0.953,0.968,0.769,0,0,0.858,0.843,0.997,0.989,0.955,0.989,0.843,0.91,0.231,0.195,0.197,0.92
"60_6","prot_ctriad","NP",0.825,0.759,0.137,0.742,0.775,0.769,0.888,0,0.228,0.172,0.936,0.445,0.789,0.445,0.172,0.248,0.231,0.04,0.089,0.554
"60_6","prot_pseaac","NP",0.665,0.646,-0.061,0.627,0.664,0.769,1,0.001,0.146,0.147,0.796,0.178,0.756,0.178,0.147,0.161,0.231,0.034,0.191,0.472
"60_6","cds_compbias","NS1",0.74,0.737,0.103,0.72,0.754,0.769,1,0,0.285,0.18,0.905,0.363,0.786,0.363,0.18,0.24,0.231,0.042,0.115,0.542
"60_6","nuc_2mer","NS1",0.749,0.899,0.71,0.887,0.91,0.769,0,0.015,0.864,0.749,0.944,0.802,0.926,0.802,0.749,0.775,0.231,0.173,0.216,0.847
"60_6","nuc_3mer","NS1",0.666,0.69,0.297,0.672,0.707,0.769,1,0,0.717,0.673,0.695,0.399,0.876,0.399,0.673,0.501,0.231,0.156,0.39,0.684
"60_6","nuc_4mer","NS1",0.776,0.786,0.484,0.77,0.801,0.769,0.018,0,0.867,0.775,0.789,0.525,0.921,0.525,0.775,0.626,0.231,0.179,0.342,0.782
"60_6","nuc_5mer","NS1",0.729,0.717,0.35,0.699,0.734,0.769,1,0,0.745,0.71,0.719,0.432,0.892,0.432,0.71,0.537,0.231,0.164,0.381,0.715
"60_6","nuc_6mer","NS1",0.952,0.937,0.807,0.928,0.946,0.769,0,0,0.904,0.738,0.998,0.989,0.927,0.989,0.738,0.845,0.231,0.171,0.173,0.868
"60_6","prot_2mer","NS1",0.866,0.757,0.175,0.741,0.773,0.769,0.919,0,0.226,0.228,0.917,0.452,0.798,0.452,0.228,0.303,0.231,0.053,0.117,0.572
"60_6","prot_ctdc","NS1",0.843,0.92,0.787,0.909,0.93,0.769,0,0,0.919,0.908,0.923,0.781,0.971,0.781,0.908,0.84,0.231,0.21,0.269,0.916
"60_6","prot_ctdd","NS1",0.877,0.684,0.043,0.666,0.702,0.769,1,0,0.218,0.215,0.825,0.27,0.777,0.27,0.215,0.24,0.231,0.05,0.184,0.52
"60_6","prot_ctdt","NS1",0.835,0.603,0.019,0.584,0.621,0.769,1,0,0.292,0.34,0.682,0.243,0.774,0.243,0.34,0.284,0.231,0.079,0.323,0.511
"60_6","prot_ctriad","NS1",0.947,0.819,0.303,0.804,0.834,0.769,0,0,0.23,0.22,1,1,0.81,1,0.22,0.361,0.231,0.051,0.051,0.61
"60_6","prot_pseaac","NS1",0.865,0.695,0.035,0.677,0.713,0.769,1,0,0.198,0.181,0.85,0.267,0.775,0.267,0.181,0.216,0.231,0.042,0.157,0.516
"60_6","cds_compbias","PA",0.839,0.803,0.505,0.787,0.818,0.769,0,0,0.798,0.748,0.819,0.555,0.915,0.555,0.748,0.637,0.231,0.173,0.312,0.783
"60_6","nuc_2mer","PA",1,0.937,0.805,0.927,0.946,0.769,0,0,0.817,0.728,1,1,0.924,1,0.728,0.843,0.231,0.169,0.169,0.864
"60_6","nuc_3mer","PA",0.821,0.749,0.177,0.733,0.766,0.769,0.99,0,0.422,0.252,0.899,0.43,0.8,0.43,0.252,0.318,0.231,0.058,0.136,0.576
"60_6","nuc_4mer","PA",0.826,0.808,0.483,0.793,0.823,0.769,0,0.001,0.76,0.646,0.857,0.577,0.889,0.577,0.646,0.609,0.231,0.149,0.259,0.751
"60_6","nuc_5mer","PA",0.775,0.796,0.449,0.78,0.811,0.769,0,0.004,0.756,0.615,0.851,0.554,0.88,0.554,0.615,0.583,0.231,0.142,0.257,0.733
