"cluster_set","featset","focgene","subtype","accuracy"
"60_6","prot_ctdd","HA","H4N8",0.92436974789916
"60_6","prot_ctdd","HA","H5N1",0.708029197080292
"60_6","prot_ctdd","HA","H5N6",1
"60_6","prot_ctdd","HA","H7N3",1
"60_6","prot_ctdd","HA","H7N4",1
"60_6","prot_ctdd","HA","H7N7",1
"60_6","prot_ctdd","HA","H7N9",1
"60_6","prot_ctdd","HA","H8N4",0.947368421052632
"60_6","prot_ctdd","HA","H9N2",0.153846153846154
"60_6","prot_ctdt","HA","H10N8",0
"60_6","prot_ctdt","HA","H16N3",0.754716981132076
"60_6","prot_ctdt","HA","H3N8",0
"60_6","prot_ctdt","HA","H4N6",0.952040085898354
"60_6","prot_ctdt","HA","H4N8",0.995798319327731
"60_6","prot_ctdt","HA","H5N1",0.81021897810219
"60_6","prot_ctdt","HA","H5N6",0.666666666666667
"60_6","prot_ctdt","HA","H7N3",0
"60_6","prot_ctdt","HA","H7N4",1
"60_6","prot_ctdt","HA","H7N7",1
"60_6","prot_ctdt","HA","H7N9",0.993303571428571
"60_6","prot_ctdt","HA","H8N4",0.717105263157895
"60_6","prot_ctdt","HA","H9N2",0
"60_6","prot_ctriad","HA","H10N8",1
"60_6","prot_ctriad","HA","H16N3",0.924528301886792
"60_6","prot_ctriad","HA","H3N8",0
"60_6","prot_ctriad","HA","H4N6",0.385110952040086
"60_6","prot_ctriad","HA","H4N8",0.197478991596639
"60_6","prot_ctriad","HA","H5N1",0.941605839416058
"60_6","prot_ctriad","HA","H5N6",1
"60_6","prot_ctriad","HA","H7N3",1
"60_6","prot_ctriad","HA","H7N4",1
"60_6","prot_ctriad","HA","H7N7",1
"60_6","prot_ctriad","HA","H7N9",0.738839285714286
"60_6","prot_ctriad","HA","H8N4",0
"60_6","prot_ctriad","HA","H9N2",0.692307692307692
"60_6","prot_pseaac","HA","H10N8",1
"60_6","prot_pseaac","HA","H16N3",0.988679245283019
"60_6","prot_pseaac","HA","H3N8",0
"60_6","prot_pseaac","HA","H4N6",0.98353614889048
"60_6","prot_pseaac","HA","H4N8",0.978991596638655
"60_6","prot_pseaac","HA","H5N1",0.875912408759124
"60_6","prot_pseaac","HA","H5N6",1
"60_6","prot_pseaac","HA","H7N3",1
"60_6","prot_pseaac","HA","H7N4",1
"60_6","prot_pseaac","HA","H7N7",1
"60_6","prot_pseaac","HA","H7N9",1
"60_6","prot_pseaac","HA","H8N4",0
"60_6","prot_pseaac","HA","H9N2",0
"60_6","cds_compbias","M1","H10N8",1
"60_6","cds_compbias","M1","H16N3",0.99622641509434
"60_6","cds_compbias","M1","H3N8",0.5
"60_6","cds_compbias","M1","H4N6",0.995705082319256
"60_6","cds_compbias","M1","H4N8",0.987394957983193
"60_6","cds_compbias","M1","H5N1",0.0218978102189781
"60_6","cds_compbias","M1","H5N6",0.833333333333333
"60_6","cds_compbias","M1","H7N3",0
"60_6","cds_compbias","M1","H7N4",0
"60_6","cds_compbias","M1","H7N7",0
"60_6","cds_compbias","M1","H7N9",1
"60_6","cds_compbias","M1","H8N4",0.993421052631579
"60_6","cds_compbias","M1","H9N2",0.923076923076923
"60_6","nuc_2mer","M1","H10N8",1
"60_6","nuc_2mer","M1","H16N3",0.977358490566038
"60_6","nuc_2mer","M1","H3N8",1
"60_6","nuc_2mer","M1","H4N6",0.947029348604152
"60_6","nuc_2mer","M1","H4N8",0.920168067226891
"60_6","nuc_2mer","M1","H5N1",0.700729927007299
"60_6","nuc_2mer","M1","H5N6",0.833333333333333
"60_6","nuc_2mer","M1","H7N3",0
"60_6","nuc_2mer","M1","H7N4",0
"60_6","nuc_2mer","M1","H7N7",0
"60_6","nuc_2mer","M1","H7N9",1
"60_6","nuc_2mer","M1","H8N4",0.927631578947368
"60_6","nuc_2mer","M1","H9N2",0.846153846153846
"60_6","nuc_3mer","M1","H10N8",1
"60_6","nuc_3mer","M1","H16N3",0.950943396226415
"60_6","nuc_3mer","M1","H3N8",1
"60_6","nuc_3mer","M1","H4N6",0.945597709377237
"60_6","nuc_3mer","M1","H4N8",0.966386554621849
"60_6","nuc_3mer","M1","H5N1",0.437956204379562
"60_6","nuc_3mer","M1","H5N6",0.833333333333333
"60_6","nuc_3mer","M1","H7N3",0
"60_6","nuc_3mer","M1","H7N4",0
"60_6","nuc_3mer","M1","H7N7",0
"60_6","nuc_3mer","M1","H7N9",1
"60_6","nuc_3mer","M1","H8N4",0.967105263157895
"60_6","nuc_3mer","M1","H9N2",0.923076923076923
"60_6","nuc_4mer","M1","H10N8",1
"60_6","nuc_4mer","M1","H16N3",0.109433962264151
"60_6","nuc_4mer","M1","H3N8",1
"60_6","nuc_4mer","M1","H4N6",0.893342877594846
