"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"HA","cds_compbias",0.973,0.603,0.967,0.977,0.958,0,0,0.954,0.992,0.524,0.979,0.748,0.979,0.992,0.986,0.958,0.951,0.971,0.758
"HA","nuc_2mer",0.973,0.58,0.967,0.977,0.958,0,0,0.943,0.994,0.476,0.977,0.788,0.977,0.994,0.986,0.958,0.953,0.975,0.735
"HA","nuc_3mer",0.971,0.575,0.966,0.976,0.958,0,0,0.957,0.992,0.492,0.978,0.736,0.978,0.992,0.985,0.958,0.951,0.972,0.742
"HA","nuc_4mer",0.974,0.633,0.969,0.978,0.958,0,0,0.955,0.992,0.567,0.981,0.752,0.981,0.992,0.986,0.958,0.95,0.968,0.779
"HA","nuc_5mer",0.974,0.633,0.969,0.978,0.958,0,0,0.958,0.991,0.572,0.981,0.743,0.981,0.991,0.986,0.958,0.95,0.968,0.782
"HA","nuc_6mer",0.973,0.629,0.968,0.978,0.958,0,0,0.958,0.991,0.567,0.981,0.741,0.981,0.991,0.986,0.958,0.95,0.968,0.779
"HA","prot_2mer",0.977,0.644,0.972,0.981,0.958,0,0,0.957,0.997,0.524,0.979,0.875,0.979,0.997,0.988,0.958,0.955,0.975,0.76
"HA","prot_ctdc",0.977,0.649,0.972,0.981,0.958,0,0,0.956,0.996,0.54,0.98,0.849,0.98,0.996,0.988,0.958,0.954,0.973,0.768
"HA","prot_ctdd",0.976,0.621,0.971,0.98,0.958,0,0,0.956,0.997,0.497,0.978,0.869,0.978,0.997,0.987,0.958,0.955,0.976,0.747
"HA","prot_ctdt",0.976,0.637,0.971,0.981,0.958,0,0,0.955,0.996,0.519,0.979,0.866,0.979,0.996,0.988,0.958,0.955,0.975,0.758
"HA","prot_ctriad",0.977,0.649,0.972,0.981,0.958,0,0,0.958,0.996,0.54,0.98,0.849,0.98,0.996,0.988,0.958,0.954,0.973,0.768
"HA","prot_pseaac",0.975,0.606,0.971,0.98,0.958,0,0,0.948,0.998,0.471,0.977,0.898,0.977,0.998,0.987,0.958,0.956,0.978,0.734
"M1","cds_compbias",0.967,0.502,0.962,0.972,0.958,0.001,0,0.949,0.992,0.417,0.975,0.684,0.975,0.992,0.983,0.958,0.95,0.974,0.704
"M1","nuc_2mer",0.969,0.502,0.963,0.973,0.958,0,0,0.943,0.993,0.401,0.974,0.728,0.974,0.993,0.984,0.958,0.952,0.977,0.697
"M1","nuc_3mer",0.969,0.515,0.964,0.974,0.958,0,0,0.95,0.994,0.412,0.975,0.74,0.975,0.994,0.984,0.958,0.952,0.977,0.703
"M1","nuc_4mer",0.969,0.526,0.964,0.974,0.958,0,0,0.953,0.993,0.428,0.975,0.734,0.975,0.993,0.984,0.958,0.951,0.975,0.711
"M1","nuc_5mer",0.969,0.506,0.963,0.973,0.958,0,0,0.954,0.993,0.406,0.974,0.724,0.974,0.993,0.984,0.958,0.951,0.976,0.7
"M1","nuc_6mer",0.968,0.505,0.962,0.973,0.958,0,0,0.95,0.992,0.412,0.975,0.706,0.975,0.992,0.983,0.958,0.951,0.975,0.702
"M1","prot_2mer",0.971,0.568,0.966,0.976,0.958,0,0,0.937,0.993,0.476,0.977,0.748,0.977,0.993,0.985,0.958,0.951,0.973,0.734
"M1","prot_ctdc",0.972,0.576,0.967,0.977,0.958,0,0,0.926,0.994,0.476,0.977,0.774,0.977,0.994,0.986,0.958,0.952,0.974,0.735
"M1","prot_ctdd",0.973,0.585,0.967,0.977,0.958,0,0,0.922,0.994,0.487,0.978,0.778,0.978,0.994,0.986,0.958,0.952,0.974,0.74
"M1","prot_ctdt",0.971,0.541,0.966,0.976,0.958,0,0,0.928,0.996,0.422,0.975,0.806,0.975,0.996,0.985,0.958,0.954,0.978,0.709
"M1","prot_ctriad",0.972,0.566,0.966,0.976,0.958,0,0,0.922,0.994,0.465,0.977,0.77,0.977,0.994,0.985,0.958,0.952,0.975,0.73
"M1","prot_pseaac",0.971,0.567,0.966,0.976,0.958,0,0,0.919,0.993,0.471,0.977,0.759,0.977,0.993,0.985,0.958,0.952,0.974,0.732
"NA","cds_compbias",0.973,0.616,0.968,0.978,0.958,0,0,0.952,0.993,0.535,0.98,0.763,0.98,0.993,0.986,0.958,0.951,0.971,0.764
"NA","nuc_2mer",0.97,0.546,0.965,0.975,0.958,0,0,0.939,0.993,0.449,0.976,0.743,0.976,0.993,0.985,0.958,0.951,0.975,0.721
"NA","nuc_3mer",0.974,0.617,0.969,0.979,0.958,0,0,0.946,0.994,0.524,0.979,0.79,0.979,0.994,0.987,0.958,0.952,0.972,0.759
"NA","nuc_4mer",0.973,0.609,0.968,0.977,0.958,0,0,0.954,0.992,0.535,0.98,0.746,0.98,0.992,0.986,0.958,0.95,0.97,0.763
"NA","nuc_5mer",0.972,0.601,0.967,0.977,0.958,0,0,0.953,0.992,0.524,0.979,0.742,0.979,0.992,0.986,0.958,0.95,0.97,0.758
"NA","nuc_6mer",0.972,0.601,0.967,0.977,0.958,0,0,0.951,0.992,0.529,0.98,0.733,0.98,0.992,0.986,0.958,0.95,0.97,0.76
"NA","prot_2mer",0.977,0.642,0.972,0.981,0.958,0,0,0.957,0.996,0.524,0.979,0.867,0.979,0.996,0.988,0.958,0.955,0.975,0.76
"NA","prot_ctdc",0.975,0.594,0.97,0.979,0.958,0,0,0.949,0.998,0.455,0.977,0.904,0.977,0.998,0.987,0.958,0.956,0.979,0.726
"NA","prot_ctdd",0.976,0.626,0.971,0.98,0.958,0,0,0.952,0.997,0.497,0.978,0.886,0.978,0.997,0.988,0.958,0.955,0.976,0.747
"NA","prot_ctdt",0.976,0.628,0.971,0.98,0.958,0,0,0.956,0.996,0.508,0.979,0.864,0.979,0.996,0.988,0.958,0.955,0.975,0.752
"NA","prot_ctriad",0.977,0.644,0.972,0.981,0.958,0,0,0.95,0.998,0.513,0.979,0.906,0.979,0.998,0.988,0.958,0.956,0.976,0.756
"NA","prot_pseaac",0.975,0.602,0.97,0.979,0.958,0,0,0.94,0.996,0.481,0.978,0.849,0.978,0.996,0.987,0.958,0.954,0.976,0.739
"NP","cds_compbias",0.97,0.509,0.964,0.974,0.958,0,0,0.953,0.995,0.396,0.974,0.771,0.974,0.995,0.984,0.958,0.953,0.978,0.695
"NP","nuc_2mer",0.966,0.451,0.96,0.971,0.958,0.003,0,0.943,0.993,0.353,0.972,0.687,0.972,0.993,0.982,0.958,0.951,0.978,0.673
"NP","nuc_3mer",0.967,0.479,0.961,0.972,0.958,0.001,0,0.954,0.992,0.385,0.974,0.692,0.974,0.992,0.983,0.958,0.951,0.977,0.689
"NP","nuc_4mer",0.968,0.519,0.963,0.973,0.958,0,0,0.953,0.992,0.433,0.976,0.698,0.976,0.992,0.984,0.958,0.95,0.974,0.712
"NP","nuc_5mer",0.968,0.501,0.962,0.973,0.958,0,0,0.951,0.992,0.412,0.975,0.694,0.975,0.992,0.983,0.958,0.95,0.975,0.702
"NP","nuc_6mer",0.968,0.516,0.962,0.973,0.958,0,0,0.951,0.991,0.439,0.976,0.678,0.976,0.991,0.983,0.958,0.949,0.973,0.715
"NP","prot_2mer",0.973,0.557,0.968,0.977,0.958,0,0,0.945,0.997,0.428,0.975,0.851,0.975,0.997,0.986,0.958,0.955,0.979,0.712
"NP","prot_ctdc",0.971,0.519,0.966,0.976,0.958,0,0,0.923,0.997,0.385,0.974,0.857,0.974,0.997,0.985,0.958,0.955,0.981,0.691
"NP","prot_ctdd",0.974,0.566,0.969,0.978,0.958,0,0,0.936,0.998,0.428,0.975,0.889,0.975,0.998,0.986,0.958,0.956,0.98,0.713
"NP","prot_ctdt",0.973,0.554,0.968,0.978,0.958,0,0,0.942,0.998,0.412,0.975,0.906,0.975,0.998,0.986,0.958,0.956,0.981,0.705
"NP","prot_ctriad",0.972,0.531,0.966,0.976,0.958,0,0,0.935,0.997,0.401,0.974,0.843,0.974,0.997,0.985,0.958,0.955,0.98,0.699
"NP","prot_pseaac",0.972,0.547,0.967,0.977,0.958,0,0,0.93,0.997,0.417,0.975,0.848,0.975,0.997,0.986,0.958,0.955,0.979,0.707
"NS1","cds_compbias",0.97,0.566,0.964,0.975,0.958,0,0,0.962,0.991,0.497,0.978,0.699,0.978,0.991,0.984,0.958,0.949,0.97,0.744
"NS1","nuc_2mer",0.97,0.545,0.964,0.974,0.958,0,0,0.949,0.992,0.46,0.977,0.717,0.977,0.992,0.984,0.958,0.95,0.973,0.726
