"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0,0.791,0.511,0.775,0.806,0.769,0.003,0,0.866,0.835,0.778,0.531,0.94,0.531,0.835,0.649,0.231,0.193,0.364,0.806
"70_7","nuc_2mer","HA",0,0.564,-0.017,0.545,0.583,0.769,1,0,0.453,0.351,0.629,0.222,0.763,0.222,0.351,0.272,0.231,0.081,0.367,0.49
"70_7","nuc_3mer","HA",0,0.61,0.185,0.591,0.629,0.769,1,0,0.646,0.652,0.597,0.328,0.851,0.328,0.652,0.436,0.231,0.151,0.46,0.625
"70_7","nuc_4mer","HA",0,0.769,0.488,0.753,0.785,0.769,0.474,0,0.843,0.882,0.735,0.501,0.954,0.501,0.882,0.639,0.231,0.204,0.407,0.809
"70_7","nuc_5mer","HA",0,0.561,0.2,0.542,0.58,0.769,1,0,0.649,0.827,0.481,0.324,0.902,0.324,0.827,0.466,0.231,0.191,0.59,0.654
"70_7","nuc_6mer","HA",0,0.417,-0.058,0.398,0.436,0.769,1,0,0.434,0.526,0.384,0.205,0.729,0.205,0.526,0.295,0.231,0.122,0.595,0.455
"70_7","prot_2mer","HA",0,0.879,0.68,0.866,0.891,0.769,0,0,0.871,0.83,0.894,0.702,0.946,0.702,0.83,0.761,0.231,0.192,0.274,0.862
"70_7","prot_ctdc","HA",0,0.842,0.603,0.828,0.856,0.769,0,0,0.91,0.828,0.846,0.618,0.942,0.618,0.828,0.708,0.231,0.192,0.31,0.837
"70_7","prot_ctdd","HA",0,0.44,-0.034,0.421,0.459,0.769,1,0,0.483,0.537,0.411,0.215,0.747,0.215,0.537,0.308,0.231,0.124,0.577,0.474
"70_7","prot_ctdt","HA",0,0.752,0.346,0.735,0.768,0.769,0.981,0,0.654,0.56,0.809,0.469,0.859,0.469,0.56,0.511,0.231,0.13,0.276,0.685
"70_7","prot_ctriad","HA",0,0.852,0.637,0.838,0.865,0.769,0,0,0.905,0.892,0.84,0.626,0.963,0.626,0.892,0.736,0.231,0.206,0.33,0.866
"70_7","prot_pseaac","HA",0,0.789,0.467,0.773,0.804,0.769,0.007,0,0.788,0.706,0.814,0.533,0.902,0.533,0.706,0.607,0.231,0.163,0.306,0.76
"70_7","cds_compbias","M1",0,0.665,0.27,0.647,0.683,0.769,1,0,0.716,0.693,0.656,0.378,0.876,0.378,0.693,0.489,0.231,0.16,0.424,0.674
"70_7","nuc_2mer","M1",0,0.706,0.282,0.689,0.724,0.769,1,0,0.7,0.579,0.745,0.406,0.855,0.406,0.579,0.477,0.231,0.134,0.33,0.662
"70_7","nuc_3mer","M1",0,0.834,0.567,0.82,0.848,0.769,0,0,0.901,0.749,0.86,0.617,0.919,0.617,0.749,0.677,0.231,0.173,0.281,0.805
"70_7","nuc_4mer","M1",0,0.87,0.678,0.857,0.883,0.769,0,0,0.945,0.909,0.859,0.66,0.969,0.66,0.909,0.765,0.231,0.21,0.319,0.884
"70_7","nuc_5mer","M1",0,0.805,0.504,0.789,0.82,0.769,0,0,0.78,0.73,0.827,0.56,0.91,0.56,0.73,0.634,0.231,0.169,0.301,0.779
"70_7","nuc_6mer","M1",0,0.861,0.628,0.847,0.874,0.769,0,0,0.873,0.772,0.888,0.675,0.928,0.675,0.772,0.72,0.231,0.179,0.265,0.83
"70_7","prot_2mer","M1",0.02,0.924,0.762,0.913,0.933,0.769,0,0,0.704,0.693,0.993,0.968,0.915,0.968,0.693,0.808,0.231,0.16,0.166,0.843
"70_7","prot_ctdc","M1",0.021,0.925,0.762,0.914,0.934,0.769,0,0,0.714,0.678,0.999,0.995,0.912,0.995,0.678,0.807,0.231,0.157,0.158,0.839
"70_7","prot_ctdd","M1",0.022,0.923,0.757,0.912,0.933,0.769,0,0,0.709,0.672,0.999,0.995,0.91,0.995,0.672,0.802,0.231,0.155,0.156,0.835
"70_7","prot_ctdt","M1",0.037,0.921,0.749,0.91,0.931,0.769,0,0,0.692,0.663,0.999,0.993,0.908,0.993,0.663,0.795,0.231,0.154,0.155,0.831
"70_7","prot_ctriad","M1",0.02,0.928,0.779,0.918,0.938,0.769,0,0,0.744,0.72,0.991,0.959,0.922,0.959,0.72,0.823,0.231,0.167,0.174,0.855
"70_7","prot_pseaac","M1",0.029,0.912,0.716,0.901,0.923,0.769,0,0,0.696,0.623,1,0.997,0.898,0.997,0.623,0.767,0.231,0.144,0.145,0.811
"70_7","cds_compbias","NA",0,0.231,-0.041,0.215,0.247,0.769,1,0,0.12,0.879,0.036,0.215,0.493,0.215,0.879,0.346,0.231,0.203,0.945,0.457
"70_7","nuc_2mer","NA",0,0.382,0.002,0.364,0.401,0.769,1,0,0.38,0.725,0.279,0.232,0.771,0.232,0.725,0.352,0.231,0.168,0.722,0.502
"70_7","nuc_3mer","NA",0.122,0.749,-0.036,0.732,0.765,0.769,0.993,0,0.063,0.002,0.974,0.018,0.764,0.018,0.002,0.003,0.231,0,0.021,0.488
"70_7","nuc_4mer","NA",0,0.52,0.14,0.501,0.539,0.769,1,0,0.513,0.777,0.442,0.296,0.868,0.296,0.777,0.428,0.231,0.18,0.608,0.61
"70_7","nuc_5mer","NA",0,0.783,0.438,0.767,0.798,0.769,0.042,0,0.716,0.654,0.822,0.525,0.887,0.525,0.654,0.582,0.231,0.151,0.288,0.738
"70_7","nuc_6mer","NA",0,0.765,0.452,0.748,0.781,0.769,0.686,0,0.736,0.786,0.758,0.495,0.922,0.495,0.786,0.607,0.231,0.182,0.368,0.772
"70_7","prot_2mer","NA",0,0.669,0.042,0.651,0.687,0.769,1,0.08,0.241,0.243,0.798,0.265,0.778,0.265,0.243,0.254,0.231,0.056,0.212,0.52
"70_7","prot_ctdc","NA",0,0.471,-0.186,0.452,0.49,0.769,1,0,0.203,0.22,0.546,0.127,0.699,0.127,0.22,0.161,0.231,0.051,0.4,0.383
"70_7","prot_ctdd","NA",0,0.649,0.28,0.63,0.667,0.769,1,0,0.642,0.772,0.612,0.374,0.899,0.374,0.772,0.504,0.231,0.179,0.477,0.692
"70_7","prot_ctdt","NA",0,0.594,0.1,0.575,0.613,0.769,1,0,0.597,0.505,0.621,0.287,0.806,0.287,0.505,0.366,0.231,0.117,0.408,0.563
"70_7","prot_ctriad","NA",0.001,0.644,-0.111,0.626,0.662,0.769,1,0,0.148,0.089,0.811,0.124,0.747,0.124,0.089,0.104,0.231,0.021,0.166,0.45
"70_7","prot_pseaac","NA",0,0.488,0.135,0.469,0.508,0.769,1,0,0.492,0.843,0.382,0.291,0.89,0.291,0.843,0.433,0.231,0.195,0.67,0.612
"70_7","cds_compbias","NP",0,0.699,0.274,0.681,0.716,0.769,1,0,0.675,0.587,0.732,0.398,0.855,0.398,0.587,0.474,0.231,0.136,0.342,0.66
"70_7","nuc_2mer","NP",0,0.672,0.234,0.653,0.689,0.769,1,0,0.651,0.584,0.698,0.368,0.848,0.368,0.584,0.452,0.231,0.135,0.367,0.641
"70_7","nuc_3mer","NP",0,0.622,0.117,0.603,0.64,0.769,1,0,0.591,0.476,0.666,0.3,0.808,0.3,0.476,0.368,0.231,0.11,0.367,0.571
"70_7","nuc_4mer","NP",0,0.782,0.456,0.766,0.798,0.769,0.051,0,0.771,0.71,0.804,0.521,0.902,0.521,0.71,0.601,0.231,0.164,0.315,0.757
"70_7","nuc_5mer","NP",0,0.887,0.707,0.874,0.898,0.769,0,0,0.935,0.882,0.888,0.703,0.961,0.703,0.882,0.782,0.231,0.204,0.29,0.885
"70_7","nuc_6mer","NP",0,0.87,0.679,0.857,0.883,0.769,0,0,0.931,0.914,0.857,0.659,0.971,0.659,0.914,0.766,0.231,0.212,0.321,0.886
"70_7","prot_2mer","NP",0,0.783,0.499,0.767,0.799,0.769,0.038,0,0.877,0.843,0.765,0.519,0.942,0.519,0.843,0.643,0.231,0.195,0.376,0.804
"70_7","prot_ctdc","NP",0,0.87,0.655,0.857,0.883,0.769,0,0,0.888,0.803,0.89,0.688,0.937,0.688,0.803,0.741,0.231,0.186,0.27,0.846
"70_7","prot_ctdd","NP",0,0.734,0.388,0.717,0.75,0.769,1,0,0.728,0.743,0.731,0.454,0.904,0.454,0.743,0.564,0.231,0.172,0.379,0.737
"70_7","prot_ctdt","NP",0,0.799,0.486,0.784,0.814,0.769,0,0,0.768,0.706,0.827,0.552,0.903,0.552,0.706,0.619,0.231,0.163,0.296,0.766
"70_7","prot_ctriad","NP",0.003,0.605,0.076,0.586,0.623,0.769,1,0,0.415,0.435,0.656,0.276,0.794,0.276,0.435,0.338,0.231,0.101,0.365,0.546
"70_7","prot_pseaac","NP",0,0.846,0.623,0.832,0.86,0.769,0,0,0.908,0.877,0.837,0.619,0.958,0.619,0.877,0.726,0.231,0.203,0.328,0.857
"70_7","cds_compbias","NS1",0,0.763,0.424,0.746,0.779,0.769,0.762,0,0.802,0.712,0.778,0.492,0.9,0.492,0.712,0.582,0.231,0.165,0.335,0.745
"70_7","nuc_2mer","NS1",0,0.734,0.389,0.717,0.751,0.769,1,0,0.792,0.744,0.731,0.455,0.905,0.455,0.744,0.564,0.231,0.172,0.379,0.738
"70_7","nuc_3mer","NS1",0,0.736,0.362,0.718,0.752,0.769,1,0,0.749,0.665,0.757,0.452,0.882,0.452,0.665,0.538,0.231,0.154,0.341,0.711
"70_7","nuc_4mer","NS1",0,0.684,0.311,0.666,0.702,0.769,1,0,0.756,0.73,0.671,0.4,0.892,0.4,0.73,0.517,0.231,0.169,0.422,0.7
"70_7","nuc_5mer","NS1",0,0.857,0.639,0.843,0.87,0.769,0,0,0.929,0.856,0.857,0.643,0.952,0.643,0.856,0.734,0.231,0.198,0.308,0.856
"70_7","nuc_6mer","NS1",0,0.773,0.445,0.757,0.789,0.769,0.284,0,0.759,0.722,0.789,0.507,0.904,0.507,0.722,0.596,0.231,0.167,0.329,0.755
"70_7","prot_2mer","NS1",0.001,0.86,0.62,0.846,0.873,0.769,0,0.001,0.769,0.749,0.893,0.679,0.922,0.679,0.749,0.712,0.231,0.173,0.255,0.821
"70_7","prot_ctdc","NS1",0,0.851,0.634,0.836,0.864,0.769,0,0,0.931,0.888,0.839,0.625,0.961,0.625,0.888,0.733,0.231,0.206,0.329,0.864
"70_7","prot_ctdd","NS1",0,0.87,0.67,0.856,0.882,0.769,0,0,0.949,0.874,0.868,0.667,0.958,0.667,0.874,0.756,0.231,0.202,0.303,0.871
"70_7","prot_ctdt","NS1",0,0.843,0.621,0.828,0.856,0.769,0,0,0.933,0.896,0.827,0.609,0.964,0.609,0.896,0.725,0.231,0.207,0.341,0.861
