"","param","s1","subtype"
"84","xgb_prot_ctdd_PB2",-0.278017037850578,"H5N1"
"85","svmlin_prot_ctdc_HA",-0.241750330175154,"H5N1"
"86","svmlin_prot_ctdc_M1",-0.196743849521805,"H5N1"
"87","svmlin_prot_ctdt_NP",-0.149267873780994,"H5N1"
"88","svmlin_prot_pseaac_M1",-0.000108907713757639,"H5N1"
"89","lambda",0.01,"H5N1"
"90","(Intercept)",3.84738720709961,"H5N6"
"91","glmnet_nuc_5mer_PB2",-0.558402137851054,"H5N6"
"92","xgb_cds_compbias_PB2",-0.316467886711592,"H5N6"
"93","xgb_nuc_6mer_NA",-0.247533342449265,"H5N6"
"94","xgb_nuc_6mer_PB2",-0.158364189105283,"H5N6"
"95","xgb_prot_ctriad_NA",-0.221424909178375,"H5N6"
"96","svmlin_prot_ctdc_M1",-0.533408911505837,"H5N6"
"97","lambda",0.01,"H5N6"
"98","(Intercept)",2.84266850058323,"H7N3"
"99","rf_cds_compbias_NS1",0,"H7N3"
"100","rf_prot_ctdc_NS1",0,"H7N3"
"101","rf_prot_ctriad_PB1",0,"H7N3"
"102","rf_prot_ctriad_PB2",-0.114931061282563,"H7N3"
"103","glmnet_cds_compbias_NP",0,"H7N3"
"104","glmnet_nuc_4mer_PB2",0,"H7N3"
"105","glmnet_nuc_5mer_PB2",-0.0140182049955595,"H7N3"
"106","glmnet_nuc_6mer_HA",0,"H7N3"
"107","glmnet_nuc_6mer_PB1",0,"H7N3"
"108","glmnet_prot_2mer_M1",0,"H7N3"
"109","glmnet_prot_pseaac_HA",0,"H7N3"
"110","xgb_cds_compbias_PB2",-0.134075545202908,"H7N3"
"111","xgb_nuc_5mer_PB1",0,"H7N3"
"112","xgb_nuc_6mer_NA",-0.186502167716844,"H7N3"
"113","xgb_nuc_6mer_PB2",-0.254088096318266,"H7N3"
"114","xgb_prot_2mer_HA",-0.0621471664090668,"H7N3"
"115","xgb_prot_ctdd_PB2",-0.00235894678249335,"H7N3"
"116","svmlin_prot_pseaac_M1",0,"H7N3"
"117","svm_prot_pseaac_NA",-0.0616380445286012,"H7N3"
"118","lambda",0.1,"H7N3"
"119","(Intercept)",4.01018233148723,"H7N4"
"120","rf_nuc_5mer_NS1",-0.0870647924024854,"H7N4"
"121","glmnet_cds_compbias_NP",-0.15016657088149,"H7N4"
"122","glmnet_nuc_5mer_PB2",-0.533895323028576,"H7N4"
"123","glmnet_nuc_6mer_HA",-0.349179443481945,"H7N4"
"124","glmnet_prot_ctdd_HA",-0.0435936320508248,"H7N4"
"125","xgb_cds_compbias_PB2",-0.202162505826054,"H7N4"
"126","xgb_nuc_4mer_HA",-0.00558100090804591,"H7N4"
"127","xgb_nuc_5mer_PB1",-0.00281231480848244,"H7N4"
"128","xgb_nuc_6mer_NA",-0.0384992278286711,"H7N4"
"129","xgb_nuc_6mer_NP",-0.0222875481749078,"H7N4"
"130","xgb_nuc_6mer_PB2",-0.139859050229115,"H7N4"
"131","xgb_prot_ctdd_PB2",-0.0579162031028663,"H7N4"
"132","svmlin_prot_ctdc_M1",-0.239036374872673,"H7N4"
"133","svmlin_prot_pseaac_M1",-0.278841019072496,"H7N4"
"134","lambda",0.01,"H7N4"
"135","(Intercept)",4.48842480172468,"H7N7"
"136","rf_prot_ctdd_M1",-0.435866621804983,"H7N7"
"137","glmnet_cds_compbias_NP",-0.122819737784157,"H7N7"
"138","glmnet_nuc_5mer_PB2",-0.605204423816601,"H7N7"
"139","glmnet_nuc_6mer_HA",-0.266942425929412,"H7N7"
"140","xgb_cds_compbias_PB2",-0.168401783822613,"H7N7"
"141","xgb_nuc_4mer_NA",-0.137185578559675,"H7N7"
"142","xgb_nuc_5mer_NA",-0.0205016155670748,"H7N7"
"143","xgb_nuc_5mer_PB1",-0.0821390508186384,"H7N7"
"144","xgb_nuc_6mer_PB2",-0.151318663329524,"H7N7"
"145","xgb_prot_ctdd_PB2",-0.16744150176908,"H7N7"
"146","svmlin_nuc_4mer_NP",-0.0331314582931875,"H7N7"
"147","svmlin_prot_ctdc_M1",-0.085908527666241,"H7N7"
"148","svmlin_prot_pseaac_M1",-0.38255373607401,"H7N7"
"149","lambda",0.001,"H7N7"
"150","(Intercept)",4.4685732177113,"H7N9"
"151","rf_nuc_4mer_PB1",-0.0200208919574691,"H7N9"
"152","rf_prot_pseaac_NS1",-0.0315381281101817,"H7N9"
"153","glmnet_cds_compbias_NP",-0.00739557616169562,"H7N9"
"154","glmnet_nuc_3mer_NP",-0.0661669012958206,"H7N9"
"155","glmnet_nuc_5mer_HA",-0.110798544188984,"H7N9"
"156","glmnet_nuc_6mer_PB1",-0.32591045296683,"H7N9"
"157","glmnet_prot_2mer_M1",-0.0996056057297205,"H7N9"
"158","xgb_cds_compbias_PA",-0.0810544302816226,"H7N9"
"159","xgb_nuc_4mer_HA",-0.0277120254623955,"H7N9"
"160","xgb_nuc_5mer_NA",-0.0203536803302213,"H7N9"
"161","xgb_nuc_5mer_NP",-0.0323378276656835,"H7N9"
"162","xgb_nuc_5mer_PB1",-0.0768014590210391,"H7N9"
"163","xgb_nuc_6mer_PA",-0.0200399459990932,"H7N9"
"164","xgb_nuc_6mer_PB2",-0.127197787186013,"H7N9"
"165","svmlin_prot_ctdc_HA",-0.12143298172464,"H7N9"
"166","lambda",0.01,"H7N9"
"167","(Intercept)",3.92322995631407,"H8N4"
"168","rf_nuc_4mer_NS1",-0.0844592192862436,"H8N4"
"169","glmnet_cds_compbias_NP",-0.127466030496125,"H8N4"
"170","glmnet_nuc_4mer_PB2",-0.200593983579389,"H8N4"
"171","glmnet_nuc_5mer_PB2",-0.273175898189752,"H8N4"
