"cluster_set","featset","focgene","subtype","accuracy"
"70_7","cds_compbias","HA","H10N8",0
"70_7","cds_compbias","HA","H16N3",0.932075471698113
"70_7","cds_compbias","HA","H3N8",0
"70_7","cds_compbias","HA","H4N6",0.838224767358626
"70_7","cds_compbias","HA","H4N8",0.957983193277311
"70_7","cds_compbias","HA","H5N1",0.635036496350365
"70_7","cds_compbias","HA","H5N6",0.666666666666667
"70_7","cds_compbias","HA","H7N3",0
"70_7","cds_compbias","HA","H7N4",0
"70_7","cds_compbias","HA","H7N7",1
"70_7","cds_compbias","HA","H7N9",0.997767857142857
"70_7","cds_compbias","HA","H8N4",0.934210526315789
"70_7","cds_compbias","HA","H9N2",0.230769230769231
"70_7","nuc_2mer","HA","H10N8",0
"70_7","nuc_2mer","HA","H16N3",0.324528301886792
"70_7","nuc_2mer","HA","H3N8",0
"70_7","nuc_2mer","HA","H4N6",0.506800286327845
"70_7","nuc_2mer","HA","H4N8",0.659663865546218
"70_7","nuc_2mer","HA","H5N1",0.868613138686131
"70_7","nuc_2mer","HA","H5N6",0.5
"70_7","nuc_2mer","HA","H7N3",0
"70_7","nuc_2mer","HA","H7N4",0
"70_7","nuc_2mer","HA","H7N7",1
"70_7","nuc_2mer","HA","H7N9",0.566964285714286
"70_7","nuc_2mer","HA","H8N4",0.460526315789474
"70_7","nuc_2mer","HA","H9N2",0.461538461538462
"70_7","nuc_3mer","HA","H10N8",1
"70_7","nuc_3mer","HA","H16N3",0.0264150943396226
"70_7","nuc_3mer","HA","H3N8",0
"70_7","nuc_3mer","HA","H4N6",0.929133858267717
"70_7","nuc_3mer","HA","H4N8",0.890756302521008
"70_7","nuc_3mer","HA","H5N1",0.598540145985402
"70_7","nuc_3mer","HA","H5N6",1
"70_7","nuc_3mer","HA","H7N3",0
"70_7","nuc_3mer","HA","H7N4",0
"70_7","nuc_3mer","HA","H7N7",1
"70_7","nuc_3mer","HA","H7N9",0.966517857142857
"70_7","nuc_3mer","HA","H8N4",0.328947368421053
"70_7","nuc_3mer","HA","H9N2",0.153846153846154
"70_7","nuc_4mer","HA","H10N8",1
"70_7","nuc_4mer","HA","H16N3",0.0264150943396226
"70_7","nuc_4mer","HA","H3N8",0
"70_7","nuc_4mer","HA","H4N6",0.84251968503937
"70_7","nuc_4mer","HA","H4N8",0.348739495798319
"70_7","nuc_4mer","HA","H5N1",1
"70_7","nuc_4mer","HA","H5N6",0.916666666666667
"70_7","nuc_4mer","HA","H7N3",0
"70_7","nuc_4mer","HA","H7N4",1
"70_7","nuc_4mer","HA","H7N7",1
"70_7","nuc_4mer","HA","H7N9",0.848214285714286
"70_7","nuc_4mer","HA","H8N4",0.881578947368421
"70_7","nuc_4mer","HA","H9N2",1
"70_7","nuc_5mer","HA","H10N8",0.5
"70_7","nuc_5mer","HA","H16N3",0.547169811320755
"70_7","nuc_5mer","HA","H3N8",0
"70_7","nuc_5mer","HA","H4N6",0.657122405153901
"70_7","nuc_5mer","HA","H4N8",0.73109243697479
"70_7","nuc_5mer","HA","H5N1",0.591240875912409
"70_7","nuc_5mer","HA","H5N6",0.75
"70_7","nuc_5mer","HA","H7N3",0
"70_7","nuc_5mer","HA","H7N4",1
"70_7","nuc_5mer","HA","H7N7",1
"70_7","nuc_5mer","HA","H7N9",0.9375
"70_7","nuc_5mer","HA","H8N4",0.789473684210526
"70_7","nuc_5mer","HA","H9N2",0.846153846153846
"70_7","nuc_6mer","HA","H10N8",0
"70_7","nuc_6mer","HA","H16N3",0.569811320754717
"70_7","nuc_6mer","HA","H3N8",0
"70_7","nuc_6mer","HA","H4N6",0.904795991410165
"70_7","nuc_6mer","HA","H4N8",0.92436974789916
"70_7","nuc_6mer","HA","H5N1",0.64963503649635
"70_7","nuc_6mer","HA","H5N6",0.916666666666667
"70_7","nuc_6mer","HA","H7N3",0
"70_7","nuc_6mer","HA","H7N4",0
"70_7","nuc_6mer","HA","H7N7",0
"70_7","nuc_6mer","HA","H7N9",0.901785714285714
"70_7","nuc_6mer","HA","H8N4",0.796052631578947
"70_7","nuc_6mer","HA","H9N2",0.538461538461538
"70_7","prot_2mer","HA","H10N8",1
"70_7","prot_2mer","HA","H16N3",1
"70_7","prot_2mer","HA","H3N8",0
"70_7","prot_2mer","HA","H4N6",0.923407301360057
"70_7","prot_2mer","HA","H4N8",0.995798319327731
"70_7","prot_2mer","HA","H5N1",1
"70_7","prot_2mer","HA","H5N6",0.75
"70_7","prot_2mer","HA","H7N3",0
"70_7","prot_2mer","HA","H7N4",0
"70_7","prot_2mer","HA","H7N7",1
"70_7","prot_2mer","HA","H7N9",0.895089285714286
"70_7","prot_2mer","HA","H8N4",0.342105263157895
