"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.012,0.681,0.354,0.663,0.699,0.769,1,0,0.712,0.866,0.625,0.41,0.939,0.41,0.866,0.557,0.231,0.2,0.488,0.745
"70_7","nuc_2mer","HA",0.007,0.283,-0.015,0.266,0.3,0.769,1,0,0.156,0.862,0.108,0.226,0.723,0.226,0.862,0.358,0.231,0.2,0.885,0.485
"70_7","nuc_3mer","HA",0.022,0.722,-0.016,0.704,0.739,0.769,1,0,0.112,0.07,0.918,0.204,0.766,0.204,0.07,0.104,0.231,0.016,0.079,0.494
"70_7","nuc_4mer","HA",0.017,0.553,-0.189,0.534,0.572,0.769,1,0.005,0.128,0.115,0.685,0.099,0.72,0.099,0.115,0.106,0.231,0.027,0.269,0.4
"70_7","nuc_5mer","HA",0.011,0.451,0.048,0.432,0.47,0.769,1,0,0.443,0.702,0.375,0.253,0.807,0.253,0.702,0.372,0.231,0.163,0.643,0.539
"70_7","nuc_6mer","HA",0.022,0.718,-0.072,0.701,0.735,0.769,1,0,0.033,0.018,0.929,0.071,0.759,0.071,0.018,0.028,0.231,0.004,0.058,0.474
"70_7","prot_2mer","HA",0.024,0.657,-0.058,0.639,0.675,0.769,1,0,0.136,0.131,0.816,0.176,0.757,0.176,0.131,0.15,0.231,0.03,0.172,0.473
"70_7","prot_ctdc","HA",0.011,0.675,0.322,0.657,0.693,0.769,1,0,0.716,0.796,0.638,0.399,0.912,0.399,0.796,0.531,0.231,0.184,0.462,0.717
"70_7","prot_ctdd","HA",0.023,0.654,-0.087,0.636,0.672,0.769,1,0,0.136,0.102,0.82,0.146,0.752,0.146,0.102,0.12,0.231,0.024,0.162,0.461
"70_7","prot_ctdt","HA",0.018,0.622,-0.073,0.603,0.64,0.769,1,0.637,0.224,0.17,0.758,0.174,0.752,0.174,0.17,0.172,0.231,0.039,0.225,0.464
"70_7","prot_ctriad","HA",0.012,0.829,0.605,0.814,0.843,0.769,0,0,0.806,0.939,0.796,0.581,0.977,0.581,0.939,0.718,0.231,0.217,0.374,0.867
"70_7","prot_pseaac","HA",0.006,0.518,0.185,0.499,0.537,0.769,1,0,0.505,0.908,0.401,0.313,0.935,0.313,0.908,0.466,0.231,0.21,0.671,0.654
"70_7","cds_compbias","M1",0.025,0.804,0.504,0.789,0.819,0.769,0,0,0.792,0.731,0.827,0.559,0.911,0.559,0.731,0.634,0.231,0.169,0.303,0.779
"70_7","nuc_2mer","M1",0.013,0.593,0.261,0.574,0.612,0.769,1,0,0.619,0.905,0.5,0.352,0.946,0.352,0.905,0.507,0.231,0.209,0.594,0.702
"70_7","nuc_3mer","M1",0.028,0.734,0.263,0.717,0.751,0.769,1,0.388,0.553,0.445,0.821,0.428,0.831,0.428,0.445,0.437,0.231,0.103,0.24,0.633
"70_7","nuc_4mer","M1",0.024,0.851,0.566,0.837,0.865,0.769,0,0.001,0.792,0.626,0.919,0.7,0.891,0.7,0.626,0.661,0.231,0.145,0.207,0.773
"70_7","nuc_5mer","M1",0.017,0.643,0.28,0.625,0.661,0.769,1,0,0.761,0.791,0.598,0.372,0.905,0.372,0.791,0.506,0.231,0.183,0.492,0.695
"70_7","nuc_6mer","M1",0.021,0.386,0.015,0.368,0.405,0.769,1,0,0.351,0.749,0.277,0.238,0.786,0.238,0.749,0.361,0.231,0.173,0.729,0.513
