"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","prot_2mer","M1",0.017,0.307,0.04,0.289,0.325,0.769,1,0,0.162,0.977,0.105,0.247,0.939,0.247,0.977,0.395,0.231,0.226,0.914,0.541
"70_7","prot_ctdc","M1",0.042,0.771,0.173,0.754,0.787,0.769,0.402,0,0.212,0.189,0.946,0.513,0.795,0.513,0.189,0.277,0.231,0.044,0.085,0.568
"70_7","prot_ctdd","M1",0.033,0.75,0.123,0.733,0.766,0.769,0.989,0,0.243,0.176,0.923,0.407,0.788,0.407,0.176,0.246,0.231,0.041,0.1,0.549
"70_7","prot_ctdt","M1",0.033,0.772,0.09,0.756,0.788,0.769,0.333,0,0.11,0.084,0.98,0.553,0.78,0.553,0.084,0.146,0.231,0.019,0.035,0.532
"70_7","prot_ctriad","M1",0.018,0.341,0.07,0.323,0.359,0.769,1,0,0.2,0.997,0.143,0.259,0.993,0.259,0.997,0.412,0.231,0.231,0.889,0.57
"70_7","prot_pseaac","M1",0.036,0.812,0.301,0.796,0.826,0.769,0,0,0.391,0.246,0.982,0.804,0.812,0.804,0.246,0.377,0.231,0.057,0.071,0.614
"70_7","cds_compbias","NA",0.015,0.407,0.094,0.388,0.426,0.769,1,0,0.381,0.921,0.252,0.27,0.913,0.27,0.921,0.418,0.231,0.213,0.788,0.586
"70_7","nuc_2mer","NA",0.016,0.709,0.365,0.692,0.727,0.769,1,0,0.65,0.783,0.687,0.43,0.913,0.43,0.783,0.555,0.231,0.181,0.422,0.735
"70_7","nuc_3mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.007,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_3mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.007,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_4mer","NA",0.021,0.751,-0.026,0.734,0.767,0.769,0.986,0,0.022,0.008,0.974,0.086,0.765,0.086,0.008,0.015,0.231,0.002,0.022,0.491
"70_7","nuc_5mer","NA",0.01,0.29,-0.008,0.273,0.308,0.769,1,0,0.148,0.867,0.116,0.228,0.745,0.228,0.867,0.361,0.231,0.201,0.88,0.492
"70_7","nuc_6mer","NA",Inf,0.5,0,0.481,0.519,0.769,1,0,0.008,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","nuc_6mer","NA",-Inf,0.5,0,0.481,0.519,0.769,1,0,0.008,0.5,0.5,0.231,0.769,0.231,0.5,0.316,0.231,0.116,0.5,0.5
"70_7","prot_2mer","NA",0.019,0.763,0.464,0.747,0.779,0.769,0.748,0,0.823,0.833,0.742,0.493,0.937,0.493,0.833,0.62,0.231,0.193,0.391,0.788
"70_7","prot_ctdc","NA",0.006,0.421,0.042,0.402,0.44,0.769,1,0,0.425,0.749,0.322,0.25,0.81,0.25,0.749,0.374,0.231,0.173,0.695,0.535
"70_7","prot_ctdd","NA",0.04,0.769,0.012,0.753,0.785,0.769,0.474,0,0.019,0.01,0.998,0.6,0.77,0.6,0.01,0.019,0.231,0.002,0.004,0.504
"70_7","prot_ctdt","NA",0.023,0.551,0.074,0.532,0.57,0.769,1,0,0.511,0.55,0.551,0.27,0.803,0.27,0.55,0.362,0.231,0.127,0.472,0.551
"70_7","prot_ctriad","NA",0.022,0.442,0.048,0.423,0.461,0.769,1,0,0.391,0.72,0.359,0.253,0.81,0.253,0.72,0.374,0.231,0.167,0.66,0.539
"70_7","prot_pseaac","NA",0.017,0.767,0.472,0.75,0.783,0.769,0.601,0,0.784,0.841,0.744,0.498,0.94,0.498,0.841,0.625,0.231,0.195,0.391,0.793
"70_7","cds_compbias","NP",0.016,0.654,0.173,0.636,0.672,0.769,1,0,0.665,0.503,0.7,0.335,0.824,0.335,0.503,0.403,0.231,0.116,0.347,0.602
"70_7","nuc_2mer","NP",0.014,0.622,0.184,0.603,0.641,0.769,1,0,0.666,0.615,0.624,0.33,0.843,0.33,0.615,0.43,0.231,0.142,0.431,0.62
"70_7","nuc_3mer","NP",0.013,0.597,0.241,0.578,0.615,0.769,1,0,0.669,0.837,0.524,0.346,0.914,0.346,0.837,0.49,0.231,0.194,0.559,0.68
"70_7","nuc_4mer","NP",0.021,0.788,0.403,0.772,0.803,0.769,0.009,0.9,0.708,0.539,0.863,0.542,0.861,0.542,0.539,0.541,0.231,0.125,0.23,0.701
"70_7","nuc_5mer","NP",0.016,0.631,0.113,0.613,0.65,0.769,1,0,0.571,0.443,0.688,0.3,0.804,0.3,0.443,0.358,0.231,0.103,0.342,0.566
"70_7","nuc_6mer","NP",0.026,0.397,-0.239,0.378,0.416,0.769,1,0,0.186,0.223,0.449,0.109,0.658,0.109,0.223,0.146,0.231,0.052,0.475,0.336
"70_7","prot_2mer","NP",0.023,0.774,0.492,0.758,0.79,0.769,0.254,0,0.876,0.871,0.745,0.507,0.95,0.507,0.871,0.641,0.231,0.201,0.397,0.808
"70_7","prot_ctdc","NP",0.041,0.895,0.678,0.882,0.906,0.769,0,0,0.679,0.655,0.967,0.856,0.903,0.856,0.655,0.742,0.231,0.152,0.177,0.811
"70_7","prot_ctdd","NP",0.042,0.848,0.566,0.834,0.862,0.769,0,0.136,0.739,0.647,0.909,0.681,0.895,0.681,0.647,0.664,0.231,0.15,0.22,0.778
"70_7","prot_ctdt","NP",0.038,0.905,0.716,0.893,0.916,0.769,0,0,0.719,0.71,0.963,0.854,0.917,0.854,0.71,0.776,0.231,0.164,0.193,0.837
"70_7","prot_ctriad","NP",0.043,0.874,0.61,0.861,0.887,0.769,0,0,0.659,0.595,0.958,0.811,0.887,0.811,0.595,0.687,0.231,0.138,0.17,0.777
"70_7","prot_pseaac","NP",0.036,0.809,0.477,0.793,0.823,0.769,0,0.034,0.713,0.626,0.864,0.58,0.885,0.58,0.626,0.602,0.231,0.145,0.25,0.745
"70_7","cds_compbias","NS1",0.013,0.613,0.203,0.594,0.631,0.769,1,0,0.657,0.686,0.591,0.335,0.862,0.335,0.686,0.451,0.231,0.159,0.473,0.638
"70_7","nuc_2mer","NS1",0.014,0.619,0.178,0.6,0.638,0.769,1,0,0.624,0.61,0.622,0.327,0.841,0.327,0.61,0.426,0.231,0.141,0.432,0.616
"70_7","nuc_3mer","NS1",0.027,0.663,-0.058,0.644,0.68,0.769,1,0,0.263,0.123,0.825,0.175,0.757,0.175,0.123,0.144,0.231,0.028,0.163,0.474
"70_7","nuc_4mer","NS1",0.022,0.695,0.219,0.677,0.712,0.769,1,0,0.551,0.482,0.759,0.376,0.83,0.376,0.482,0.422,0.231,0.112,0.297,0.62
"70_7","nuc_5mer","NS1",0.015,0.396,-0.035,0.377,0.414,0.769,1,0,0.444,0.613,0.33,0.216,0.739,0.216,0.613,0.32,0.231,0.142,0.657,0.472
"70_7","nuc_6mer","NS1",0.029,0.423,-0.178,0.404,0.442,0.769,1,0,0.207,0.293,0.462,0.141,0.685,0.141,0.293,0.19,0.231,0.068,0.481,0.378
"70_7","prot_2mer","NS1",0.022,0.83,0.589,0.815,0.844,0.769,0,0,0.906,0.864,0.82,0.591,0.952,0.591,0.864,0.702,0.231,0.2,0.339,0.842
"70_7","prot_ctdc","NS1",0.037,0.763,0.377,0.746,0.779,0.769,0.776,0,0.703,0.589,0.815,0.489,0.868,0.489,0.589,0.535,0.231,0.136,0.279,0.702
"70_7","prot_ctdd","NS1",0.04,0.914,0.738,0.903,0.924,0.769,0,0,0.806,0.707,0.976,0.899,0.917,0.899,0.707,0.792,0.231,0.164,0.182,0.842
"70_7","prot_ctdt","NS1",0.027,0.745,0.404,0.728,0.761,0.769,0.998,0,0.764,0.739,0.747,0.468,0.905,0.468,0.739,0.573,0.231,0.171,0.366,0.743
"70_7","prot_ctriad","NS1",0.025,0.693,0.277,0.675,0.71,0.769,1,0,0.705,0.615,0.716,0.395,0.861,0.395,0.615,0.481,0.231,0.142,0.36,0.666
"70_7","prot_pseaac","NS1",0.029,0.73,0.331,0.712,0.746,0.769,1,0,0.716,0.612,0.765,0.44,0.867,0.44,0.612,0.512,0.231,0.142,0.322,0.688
"70_7","cds_compbias","PA",0.028,0.592,-0.145,0.573,0.61,0.769,1,0.928,0.219,0.121,0.733,0.121,0.735,0.121,0.121,0.121,0.231,0.028,0.233,0.427
"70_7","nuc_2mer","PA",0.018,0.485,-0.001,0.466,0.505,0.769,1,0,0.481,0.526,0.473,0.231,0.768,0.231,0.526,0.321,0.231,0.122,0.527,0.5
"70_7","nuc_3mer","PA",0.033,0.713,-0.024,0.696,0.73,0.769,1,0,0.129,0.076,0.905,0.194,0.765,0.194,0.076,0.109,0.231,0.018,0.091,0.491
"70_7","nuc_4mer","PA",0.025,0.658,-0.069,0.639,0.676,0.769,1,0,0.202,0.118,0.82,0.165,0.755,0.165,0.118,0.138,0.231,0.027,0.166,0.469
"70_7","nuc_5mer","PA",0.026,0.708,-0.022,0.69,0.725,0.769,1,0,0.246,0.087,0.895,0.2,0.765,0.2,0.087,0.122,0.231,0.02,0.101,0.491
"70_7","nuc_6mer","PA",0.052,0.776,0.046,0.759,0.791,0.769,0.198,0,0.1,0.031,1,1,0.774,1,0.031,0.06,0.231,0.007,0.007,0.515
"70_7","prot_2mer","PA",0.022,0.785,0.479,0.769,0.801,0.769,0.02,0,0.831,0.764,0.792,0.525,0.918,0.525,0.764,0.622,0.231,0.177,0.337,0.778
"70_7","prot_ctdc","PA",0.037,0.834,0.506,0.819,0.848,0.769,0,0,0.618,0.563,0.915,0.667,0.874,0.667,0.563,0.611,0.231,0.13,0.196,0.739
"70_7","prot_ctdd","PA",0.039,0.878,0.646,0.865,0.89,0.769,0,0.001,0.712,0.689,0.935,0.762,0.909,0.762,0.689,0.724,0.231,0.16,0.209,0.812
"70_7","prot_ctdt","PA",0.038,0.834,0.53,0.82,0.848,0.769,0,0.476,0.73,0.629,0.896,0.646,0.889,0.646,0.629,0.638,0.231,0.146,0.225,0.763
"70_7","prot_ctriad","PA",0.038,0.861,0.6,0.848,0.874,0.769,0,0.019,0.722,0.663,0.921,0.717,0.901,0.717,0.663,0.689,0.231,0.154,0.214,0.792
"70_7","prot_pseaac","PA",0.034,0.856,0.587,0.842,0.869,0.769,0,0.074,0.829,0.66,0.915,0.701,0.899,0.701,0.66,0.68,0.231,0.153,0.218,0.788
"70_7","cds_compbias","PB1",0.017,0.639,0.156,0.621,0.658,0.769,1,0,0.59,0.508,0.679,0.323,0.821,0.323,0.508,0.395,0.231,0.118,0.364,0.593
"70_7","nuc_2mer","PB1",0.018,0.688,0.294,0.67,0.706,0.769,1,0,0.695,0.672,0.693,0.398,0.875,0.398,0.672,0.499,0.231,0.155,0.391,0.682
"70_7","nuc_3mer","PB1",0.023,0.639,0.275,0.621,0.658,0.769,1,0,0.718,0.791,0.594,0.37,0.904,0.37,0.791,0.504,0.231,0.183,0.496,0.692
"70_7","nuc_4mer","PB1",0.024,0.791,0.437,0.775,0.807,0.769,0.003,0.002,0.745,0.608,0.846,0.544,0.878,0.544,0.608,0.574,0.231,0.141,0.259,0.727
"70_7","nuc_5mer","PB1",0.024,0.672,0.044,0.653,0.689,0.769,1,0.043,0.434,0.241,0.801,0.268,0.778,0.268,0.241,0.254,0.231,0.056,0.209,0.521
"70_7","nuc_6mer","PB1",0.029,0.751,0.127,0.734,0.768,0.769,0.983,0,0.246,0.178,0.924,0.414,0.789,0.414,0.178,0.249,0.231,0.041,0.1,0.551
"70_7","prot_2mer","PB1",0.022,0.817,0.58,0.802,0.832,0.769,0,0,0.931,0.926,0.785,0.564,0.972,0.564,0.926,0.701,0.231,0.214,0.38,0.855
"70_7","prot_ctdc","PB1",0.038,0.887,0.663,0.874,0.898,0.769,0,0,0.686,0.678,0.949,0.801,0.907,0.801,0.678,0.734,0.231,0.157,0.196,0.814
"70_7","prot_ctdd","PB1",0.029,0.846,0.606,0.831,0.859,0.769,0,0,0.917,0.811,0.856,0.629,0.938,0.629,0.811,0.709,0.231,0.188,0.298,0.833
"70_7","prot_ctdt","PB1",0.038,0.9,0.692,0.888,0.911,0.769,0,0,0.667,0.663,0.971,0.872,0.905,0.872,0.663,0.754,0.231,0.154,0.176,0.817
"70_7","prot_ctriad","PB1",0.026,0.859,0.644,0.845,0.872,0.769,0,0,0.944,0.858,0.86,0.648,0.952,0.648,0.858,0.738,0.231,0.199,0.306,0.859
"70_7","prot_pseaac","PB1",0.026,0.709,0.337,0.691,0.726,0.769,1,0,0.719,0.707,0.71,0.423,0.889,0.423,0.707,0.529,0.231,0.164,0.387,0.708
"70_7","cds_compbias","PB2",0.013,0.608,0.168,0.589,0.627,0.769,1,0,0.638,0.617,0.606,0.32,0.84,0.32,0.617,0.421,0.231,0.143,0.446,0.611
"70_7","nuc_2mer","PB2",0.014,0.53,-0.02,0.511,0.549,0.769,1,0,0.514,0.406,0.568,0.221,0.76,0.221,0.406,0.286,0.231,0.094,0.426,0.487
"70_7","nuc_3mer","PB2",0.018,0.575,0.059,0.556,0.594,0.769,1,0,0.529,0.468,0.607,0.264,0.791,0.264,0.468,0.337,0.231,0.108,0.41,0.537
"70_7","nuc_4mer","PB2",0.021,0.744,0.248,0.727,0.761,0.769,0.999,0.004,0.513,0.385,0.852,0.44,0.822,0.44,0.385,0.411,0.231,0.089,0.203,0.619
"70_7","nuc_5mer","PB2",0.016,0.707,0.303,0.689,0.724,0.769,1,0,0.705,0.626,0.731,0.413,0.867,0.413,0.626,0.497,0.231,0.145,0.351,0.679
"70_7","nuc_6mer","PB2",0.031,0.796,0.216,0.78,0.811,0.769,0,0,0.234,0.175,0.983,0.755,0.798,0.755,0.175,0.284,0.231,0.04,0.054,0.579
"70_7","prot_2mer","PB2",0.018,0.847,0.624,0.833,0.86,0.769,0,0,0.907,0.875,0.838,0.62,0.957,0.62,0.875,0.726,0.231,0.203,0.327,0.857
"70_7","prot_ctdc","PB2",0.038,0.841,0.553,0.827,0.855,0.769,0,0.884,0.767,0.654,0.898,0.658,0.896,0.658,0.654,0.656,0.231,0.151,0.23,0.776
"70_7","prot_ctdd","PB2",0.028,0.866,0.655,0.852,0.879,0.769,0,0,0.918,0.841,0.873,0.667,0.948,0.667,0.841,0.744,0.231,0.195,0.292,0.857
"70_7","prot_ctdt","PB2",0.031,0.828,0.519,0.814,0.843,0.769,0,0.889,0.74,0.633,0.887,0.629,0.889,0.629,0.633,0.631,0.231,0.146,0.233,0.76
"70_7","prot_ctriad","PB2",0.025,0.864,0.659,0.85,0.877,0.769,0,0,0.921,0.879,0.86,0.653,0.959,0.653,0.879,0.749,0.231,0.203,0.311,0.869
"70_7","prot_pseaac","PB2",0.018,0.796,0.502,0.78,0.811,0.769,0,0,0.827,0.775,0.802,0.541,0.922,0.541,0.775,0.637,0.231,0.179,0.331,0.789
