"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"HA","cds_compbias",0.971,0.581,0.966,0.976,0.958,0,0,0.952,0.503,0.992,0.729,0.978,0.729,0.503,0.595,0.042,0.021,0.029,0.747
"HA","nuc_2mer",0.972,0.57,0.967,0.977,0.958,0,0,0.943,0.465,0.994,0.784,0.977,0.784,0.465,0.584,0.042,0.02,0.025,0.73
"HA","nuc_3mer",0.971,0.578,0.966,0.976,0.958,0,0,0.953,0.497,0.992,0.732,0.978,0.732,0.497,0.592,0.042,0.021,0.029,0.745
"HA","nuc_4mer",0.974,0.629,0.969,0.978,0.958,0,0,0.955,0.561,0.992,0.75,0.981,0.75,0.561,0.642,0.042,0.024,0.031,0.777
"HA","nuc_5mer",0.974,0.637,0.969,0.978,0.958,0,0,0.958,0.578,0.991,0.745,0.982,0.745,0.578,0.651,0.042,0.024,0.033,0.784
"HA","nuc_6mer",0.973,0.629,0.968,0.978,0.958,0,0,0.957,0.567,0.991,0.741,0.981,0.741,0.567,0.642,0.042,0.024,0.032,0.779
"HA","prot_2mer",0.977,0.647,0.972,0.981,0.958,0,0,0.957,0.524,0.997,0.883,0.979,0.883,0.524,0.658,0.042,0.022,0.025,0.761
"HA","prot_ctdc",0.977,0.649,0.972,0.981,0.958,0,0,0.953,0.54,0.996,0.849,0.98,0.849,0.54,0.66,0.042,0.023,0.027,0.768
"HA","prot_ctdd",0.977,0.642,0.972,0.981,0.958,0,0,0.958,0.519,0.997,0.882,0.979,0.882,0.519,0.653,0.042,0.022,0.025,0.758
"HA","prot_ctdt",0.977,0.64,0.972,0.981,0.958,0,0,0.954,0.519,0.997,0.874,0.979,0.874,0.519,0.651,0.042,0.022,0.025,0.758
"HA","prot_ctriad",0.977,0.649,0.972,0.981,0.958,0,0,0.957,0.54,0.996,0.849,0.98,0.849,0.54,0.66,0.042,0.023,0.027,0.768
"HA","prot_pseaac",0.976,0.628,0.971,0.981,0.958,0,0,0.947,0.497,0.997,0.894,0.978,0.894,0.497,0.639,0.042,0.021,0.023,0.747
"M1","cds_compbias",0.968,0.512,0.962,0.973,0.958,0,0,0.949,0.428,0.992,0.69,0.975,0.69,0.428,0.528,0.042,0.018,0.026,0.71
"M1","nuc_2mer",0.969,0.506,0.963,0.974,0.958,0,0,0.944,0.401,0.994,0.743,0.974,0.743,0.401,0.521,0.042,0.017,0.023,0.697
"M1","nuc_3mer",0.969,0.517,0.964,0.974,0.958,0,0,0.95,0.412,0.994,0.748,0.975,0.748,0.412,0.531,0.042,0.017,0.023,0.703
"M1","nuc_4mer",0.969,0.527,0.964,0.974,0.958,0,0,0.952,0.433,0.993,0.723,0.976,0.723,0.433,0.542,0.042,0.018,0.025,0.713
"M1","nuc_5mer",0.969,0.531,0.963,0.974,0.958,0,0,0.954,0.444,0.992,0.709,0.976,0.709,0.444,0.546,0.042,0.019,0.026,0.718
"M1","nuc_6mer",0.969,0.527,0.963,0.973,0.958,0,0,0.95,0.444,0.992,0.697,0.976,0.697,0.444,0.542,0.042,0.019,0.027,0.718
"M1","prot_2mer",0.971,0.568,0.966,0.976,0.958,0,0,0.937,0.476,0.993,0.748,0.977,0.748,0.476,0.582,0.042,0.02,0.027,0.734
"M1","prot_ctdc",0.972,0.577,0.966,0.976,0.958,0,0,0.916,0.487,0.993,0.752,0.978,0.752,0.487,0.591,0.042,0.02,0.027,0.74
"M1","prot_ctdd",0.973,0.59,0.968,0.977,0.958,0,0,0.921,0.492,0.994,0.78,0.978,0.78,0.492,0.603,0.042,0.021,0.027,0.743
"M1","prot_ctdt",0.971,0.552,0.966,0.976,0.958,0,0,0.927,0.449,0.994,0.764,0.976,0.764,0.449,0.566,0.042,0.019,0.025,0.722
"M1","prot_ctriad",0.972,0.565,0.967,0.977,0.958,0,0,0.921,0.455,0.995,0.794,0.977,0.794,0.455,0.578,0.042,0.019,0.024,0.725
"M1","prot_pseaac",0.971,0.567,0.966,0.976,0.958,0,0,0.919,0.471,0.993,0.759,0.977,0.759,0.471,0.581,0.042,0.02,0.026,0.732
"NA","cds_compbias",0.973,0.609,0.968,0.978,0.958,0,0,0.951,0.529,0.992,0.756,0.98,0.756,0.529,0.623,0.042,0.022,0.029,0.761
"NA","nuc_2mer",0.971,0.548,0.965,0.975,0.958,0,0,0.939,0.449,0.993,0.75,0.976,0.75,0.449,0.562,0.042,0.019,0.025,0.721
"NA","nuc_3mer",0.974,0.613,0.969,0.978,0.958,0,0,0.943,0.519,0.994,0.789,0.979,0.789,0.519,0.626,0.042,0.022,0.028,0.756
"NA","nuc_4mer",0.973,0.614,0.968,0.978,0.958,0,0,0.954,0.535,0.992,0.758,0.98,0.758,0.535,0.627,0.042,0.022,0.03,0.764
"NA","nuc_5mer",0.973,0.627,0.968,0.978,0.958,0,0,0.955,0.567,0.991,0.736,0.981,0.736,0.567,0.64,0.042,0.024,0.032,0.779
"NA","nuc_6mer",0.973,0.618,0.968,0.977,0.958,0,0,0.951,0.556,0.991,0.732,0.981,0.732,0.556,0.632,0.042,0.023,0.032,0.774
"NA","prot_2mer",0.977,0.642,0.972,0.981,0.958,0,0,0.955,0.524,0.996,0.867,0.979,0.867,0.524,0.653,0.042,0.022,0.025,0.76
"NA","prot_ctdc",0.975,0.599,0.97,0.979,0.958,0,0,0.95,0.471,0.997,0.871,0.977,0.871,0.471,0.611,0.042,0.02,0.023,0.734
"NA","prot_ctdd",0.977,0.644,0.972,0.981,0.958,0,0,0.953,0.519,0.997,0.89,0.979,0.89,0.519,0.655,0.042,0.022,0.025,0.758
"NA","prot_ctdt",0.976,0.626,0.971,0.98,0.958,0,0,0.956,0.508,0.996,0.856,0.979,0.856,0.508,0.638,0.042,0.021,0.025,0.752
"NA","prot_ctriad",0.977,0.644,0.972,0.981,0.958,0,0,0.95,0.513,0.998,0.906,0.979,0.906,0.513,0.655,0.042,0.022,0.024,0.756
"NA","prot_pseaac",0.975,0.602,0.97,0.979,0.958,0,0,0.941,0.481,0.996,0.849,0.978,0.849,0.481,0.614,0.042,0.02,0.024,0.739
"NP","cds_compbias",0.97,0.511,0.964,0.975,0.958,0,0,0.953,0.396,0.995,0.779,0.974,0.779,0.396,0.525,0.042,0.017,0.021,0.695
"NP","nuc_2mer",0.967,0.465,0.961,0.972,0.958,0.002,0,0.943,0.369,0.993,0.69,0.973,0.69,0.369,0.481,0.042,0.016,0.022,0.681
"NP","nuc_3mer",0.967,0.474,0.961,0.972,0.958,0.001,0,0.954,0.38,0.992,0.689,0.973,0.689,0.38,0.49,0.042,0.016,0.023,0.686
"NP","nuc_4mer",0.967,0.484,0.962,0.972,0.958,0.001,0,0.953,0.39,0.992,0.695,0.974,0.695,0.39,0.5,0.042,0.016,0.024,0.691
"NP","nuc_5mer",0.968,0.526,0.962,0.973,0.958,0,0,0.951,0.449,0.991,0.683,0.976,0.683,0.449,0.542,0.042,0.019,0.028,0.72
"NP","nuc_6mer",0.969,0.55,0.964,0.974,0.958,0,0,0.952,0.476,0.991,0.695,0.977,0.695,0.476,0.565,0.042,0.02,0.029,0.733
"NP","prot_2mer",0.973,0.561,0.968,0.978,0.958,0,0,0.944,0.422,0.998,0.888,0.975,0.888,0.422,0.572,0.042,0.018,0.02,0.71
"NP","prot_ctdc",0.972,0.55,0.967,0.977,0.958,0,0,0.924,0.422,0.996,0.84,0.975,0.84,0.422,0.562,0.042,0.018,0.021,0.709
"NP","prot_ctdd",0.973,0.563,0.968,0.977,0.958,0,0,0.935,0.439,0.996,0.837,0.976,0.837,0.439,0.575,0.042,0.018,0.022,0.717
"NP","prot_ctdt",0.973,0.554,0.968,0.978,0.958,0,0,0.941,0.412,0.998,0.906,0.975,0.906,0.412,0.566,0.042,0.017,0.019,0.705
"NP","prot_ctriad",0.972,0.528,0.966,0.976,0.958,0,0,0.935,0.396,0.997,0.851,0.974,0.851,0.396,0.54,0.042,0.017,0.02,0.696
