"","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",5.95340859050664,NA,NA,NA,NA,NA,NA,NA
"X2",4.3731035407396,5.92315040015789,NA,NA,NA,NA,NA,NA
"X3",4.22373121148918,4.19823357682097,5.62651971356499,NA,NA,NA,NA,NA
"X4",3.70633477848252,3.69747769753598,3.58591602074143,5.04906818335919,NA,NA,NA,NA
"X5",4.21691525176103,4.19788635058269,4.0655431797951,3.58563208381786,5.66928713446007,NA,NA,NA
"X6",3.62380775662733,3.62787502480489,3.48784242514603,3.54892760168593,3.5027038049838,5.04393292317607,NA,NA
"X7",3.47265490952781,3.46030771855921,3.40765697950492,3.10722188185434,3.40442910035426,2.98516956368645,4.50521642274406,NA
"X8",3.70525411096329,3.71206039853983,3.62628124905211,3.18655911056802,3.60680385795922,3.14133606319907,3.11221855779205,5.03542928125662
